"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","minimumElevationInMeters","maximumElevationInMeters","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","dayIdentified","fieldNumber","individualCount"
"1","2016-09-30 00:25:00-03","NY","NYBG","1017800","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Dias de Moraes","E. Pereira","8246","1964","01","13","South America","Brazil","Paraná","Lagoa Dourada.","-50.048917","-25.240899","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223389' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017800","NY01017800_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","818592","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii",NA,"O. dos S. Ribas","2605","1998","02","08","South America","Brazil","Mato Grosso do Sul","Rod. MS-178, 20km S de Bodoquena.","-56.715","-20.5386","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=865067' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818592","NY00818592_01","(Baker) M.D.Moraes","Bodoquena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1017798","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Dias de Moraes","P. K. H. Dusén","7610","1909","01","20","South America","Brazil","Paraná","Desvio Ribas.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223381' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017798","NY01017798_01","(Baker) M.D.Moraes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00952014","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Dias de Moraes","G. G. Hatschbach","37086","1975","09","18","South America","Brazil","Paraná","Lageado 5 Reis.","-49.7058","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1212357' target='other'> <mi>dwc_moreinfo</mi></a>","NY00952014","NY00952014_01","(Baker) M.D.Moraes","Jaguariaiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1017801","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Dias de Moraes","J. C. Lindeman","4814","1967","03","13","South America","Brazil","Paraná","Fazenda Reserva, 85 km SW of Guarapuava, stony campo above Rio Reserva.","-52.0758963","-25.9309469","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223390' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017801","NY01017801_01","(Baker) M.D.Moraes",NA,"800","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1017799","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","M. Dias de Moraes","P. K. H. Dusén","16008","1917","11","19","South America","Brazil","Paraná","Jaguariahyva app.","-49.7056","-24.2511","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1223387' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017799","NY01017799_01","(Baker) M.D.Moraes","Jaguariaíva","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","274410","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Verbesina","arnottii","Verbesina arnottii tomentosa",NA,"E. Hassler","6591",NA,NA,NA,"South America","Paraguay",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=722562' target='other'> <mi>dwc_moreinfo</mi></a>","NY00274410","NY00274410_01","Chodat",NA,NA,NA,"tomentosa","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-10-09 11:10:21-03","UFBA","ALCB","88155","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","Alves, M","Silva, JM; Barbosa, E","5241","2006","11","11","Southern America","Brasil","Mato Grosso do Sul","Fazenda Santa Virgem","-55.7256011962891","-22.5361003875732",NA,"ereta, 80 cm, capítulo amarelo.",NA,NA,"(Baker) M.D.Moraes","Ponta Porã",NA,NA,NA,NA,"2015","01","102608","auto",NA,NA,NA,NA,NA,NA,NA
"9","2019-10-09 11:10:21-03","UFBA","ALCB","128933","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Dimerostemma","arnottii","Dimerostemma arnottii","Gaio, J","Gaio, J; Demeda, C; Gonzatti, F","517","2015","11","22","Southern America","Brasil","Rio Grande do Sul","Póximo à Lagoa do Horário - margem oeste","-50.233056","-29.906111",NA,"prostrada; Em solo arenoso bem drenado, local alterado","ALCB046470","ALCB046470","(Baker) M.D.Moraes","Osório","6","6",NA,NA,"2016","01",NA,NA,"-50.233056","-29.906111",NA,NA,NA,NA,NA
"10","2020-02-08 08:47:37-03","NBC","NL-BOTANY","U.1099042","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Angelphytum","arnottii","Angelphytum arnottii","Dematteis M","Pedersen TM",NA,"1972","03","28","Southern America","Paraguay","Cordillera","Itacurumbí de la Cordillera. Dep. Cordillera.",NA,NA,NA,"Bare hillside with rocky outcrops.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1099042 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1099042","NL-U1099042","(Baker) H.Rob.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0251679",NA,NA,NA
