"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2020-09-23 10:38:39-03","E","E","83125","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","Ribas, O.S. & Cordeiro, J.","681","1994","10","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:91656","<a href=http://data.rbge.org.uk/herb/E00083125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","569127","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","V. C. Souza","4709","1993","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132586' target='other'> <mi>dwc_moreinfo</mi></a>","NY00569127","Magnoliophyta","Poales","(Boeckeler) T.Koyama","W. W. Thomas","São Paulo","Itararé","Fazenda Espinho.","-49.2631","-24.2617","NY00569127_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","622953","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","L. B. Smith","8570","1956","12","11","South America","Brazil","sheet",NA,"LBS, RK, ES upper <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132590' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622953","Magnoliophyta","Poales","(Boeckeler) T.Koyama","M. T. Strong","Santa Catarina","Campo Alegre","Lower fazenda of Ernesto Scheide, Campo Alegre.","-49.2656","-26.1925","NY00622953_01","900","900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","622956","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","R. B. Pineschi","35","1987","12","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132585' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622956","Magnoliophyta","Poales","(Boeckeler) T.Koyama","W. W. Thomas","Rio de Janeiro",NA,"Resende, nascentes do Rio Airuoca.","-44.680009","-22.372007","NY00622956_01","2500","2500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","622957","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","J. R. Pirani","1382","1985","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132589' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622957","Magnoliophyta","Poales","(Boeckeler) T.Koyama","M. T. Strong","São Paulo","Campos do Jordao","Parque Estadual, camino para Sao José dos Alpes.","-45.455385","-22.725628","NY00622957_01","2000","2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","622954","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","G. G. Hatschbach","23049","1969","11","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622954","Magnoliophyta","Poales","(Boeckeler) T.Koyama","M. T. Strong","Paraná","Sao José dos Pinhais","Rio Pequeno.","-49.2064","-25.5347","NY00622954_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","622955","PreservedSpecimen","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","J. N. Rose","20488","1915","07","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=132588' target='other'> <mi>dwc_moreinfo</mi></a>","NY00622955","Magnoliophyta","Poales","(Boeckeler) T.Koyama","M. T. Strong","Rio de Janeiro",NA,"Vicinity of Itatiaya.","-44.637876","-22.374281","NY00622955_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:19:32-03","UFRJ","RFA","23008","PreservedSpecimen","Plantae","Cyperaceae","Cladium","ensifolium","Cladium ensifolium","F. Segadas-Vianna; L.Dau, W.T.Ormond & G.C.Machline","1138","1953","11",NA,NA,"Brasil",NA,NA,NA,"RFA30146",NA,NA,"Benth. & Hook.f.",NA,"Rio de Janeiro","Resende","Serra do Itatiaia, base das Agulhas Negras.","-44.4467010498047","-22.468900680542",NA,NA,NA,"36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-06-29 11:30:00-03","UFRJ","RFA","31057","PreservedSpecimen","Plantae","Cyperaceae","Cladium","ensifolium","Cladium ensifolium","K. T. Ribeiro; B. Medina","196","1999","06","29",NA,"Brasil",NA,NA,"Em moita de solo raso. Indivíduos coletados estavam isolados","RFA51607",NA,NA,"Benth. & Hook.f.",NA,"Rio de Janeiro","Itatiaia","Planalto do Itatiaia, Parque Nacional do Itatiaia, Maciço das Prateleiras","-44.666667","-22.5",NA,"2400","2400",NA,NA,"44º40'W","22º30'S",NA,NA,NA,NA,NA,NA,NA
"10","2019-12-04 15:26:29-03","PUCPR","HUCP","7305","S","Plantae","Cyperaceae","Machaerina","ensifolia","Machaerina ensifolia","Cordeiro, J; Ribas, OS","681","1994","10","20",NA,"Brasil",NA,NA,NA,NA,"Monocotiledonea",NA,"(Boeckeler) T.Koyama.","Hatschbach, GG","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
