"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","country","county","locality","barcode","year","month","stateProvince","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","recordNumber","day","verbatimLongitude","verbatimLatitude","occurrenceRemarks","phylum","identifiedBy","yearIdentified","monthIdentified","dayIdentified","continentOcean","imagecode","infraspecificEpithet","class","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","individualCount","fieldNumber","sex"
"1","2020-06-29 11:30:49-03","UFRJ","RFA","2781","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","major","Najas major","All.","Dr. Marsson","Alemanha","Mecklembourg","Wolgast","RFA52942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-06-29 11:30:49-03","UFRJ","RFA","39213","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Soares, A.R.; Nocchi, N.","Brasil","Macaé","PARNA Restinga de Jurubatiba, Lagoa de Cabiúnas.","RFA34263","2009","05","Rio de Janeiro","-41.7868995666504","-22.3708000183105","47209","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-06-29 11:30:49-03","UFRJ","RFA","38522","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","N. C. Machado; T. U. P. Konno","Brasil","Quissamã","PARNA Restinga de Jurubatiba. Próximo a lagoa Catingosa. Poça 15 (próximo a casa abandonada)","RFA33517","2010","05","Rio de Janeiro","-41.241944","-22.103611",NA,NA,"119","21","41º14'31''W","22º6'13''S","Erva aquática, típica de ambientes salinos e salobros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-29 11:30:49-03","UFRJ","RFA","38561","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","N. C. Machado; T. U. P. Konno","Brasil","Quissamã","PARNA Restinga de Jurubatiba, próximo a lagoa Catingosa. Perto de uma população de cactos","RFA34013","2010","08","Rio de Janeiro","-41.241944","-22.103611",NA,NA,"158","26","41º14'31''W","22º6'13''S","Erva submersa livre, margens e nervura central denteadas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-06-29 11:30:49-03","UFRJ","RFA","39236","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Soares, A.R.; Nocchi, N.","Brasil","Carapebus","PARNA Restinga de Jurubatiba, Lagoa Comprida.","RFA34259","2008","09","Rio de Janeiro","-41.6610984802246","-22.1872005462646","13257","auto","37","03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-30 12:52:30-03","EAO","IAN","92991","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Andrade-Lima, D de","Brasil",NA,"Amarração, em pequeno poço, entre dunas.","IAN092991","1954","07","Piauí",NA,NA,NA,NA,"1887","17",NA,NA,"Submersa","Monocotiledônea","Lowden, RM","1983","07","11","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-10-09 11:28:22-03","UFBA","ALCB","13960","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","major","Najas major","All.","s.col.","França","Paris","Canal Saint Denis","ALCB014295","1836","08",NA,NA,NA,NA,NA,"s/n",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,"ALCB014295",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 21:33:40-03","UFBA","ALCB","13959","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","major","Najas major muricata","All.","s.col.","França","Rethel",NA,"ALCB014294","1844","07","Ardennes",NA,NA,NA,NA,"PHs/n",NA,NA,NA,NA,"Monocotyledon",NA,NA,NA,NA,NA,"ALCB014294","muricata",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1445558","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Steyermark JA; Manara BJ; Morillo GN","Venezuela",NA,"Estado Sucre: Laguna de Patos, 3.5 Kms. al Suroeste de Cumana, en frente de Hotel Cumanagoto.","NL-U1445558","1973","09",NA,NA,NA,NA,NA,NA,"15",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1445558 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Southern America","NL-U1445558",NA,"Magnoliopsidae","Alismatales",NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1445559","PreservedSpecimen","Plantae","Najadaceae","Najas","marina","Najas marina","L.","Cumana LJ","Venezuela",NA,"Lagunas litorales de Cumana, Edo. Sucre-Venzla.","NL-U1445559","1974","01",NA,NA,NA,NA,NA,NA,"09",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1445559 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,"Southern America","NL-U1445559",NA,"Magnoliopsidae","Alismatales",NA,NA,NA,NA,NA,NA
"11","2021-01-14 15:31:11-03","MN","R","192806","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Santos, M.G. 525; Fevereiro, P.C.A.; Barcelos, J.I. & Vargas, Y.T.","Brasil",NA,"Restinga de Carapebus","R010069720","1995","10","Rio de Janeiro",NA,NA,NA,NA,NA,"18",NA,NA,"UFF 552",NA,"Lourenço, A.R.","2016","01","04",NA,"R010069720",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-01-14 15:31:11-03","MN","R","208100","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Bove, C.P. 744; Costa, W. & Costa, B.B.","Brasil",NA,"Lagoa Doce","R010069721,R010069722","2000","10","Rio de Janeiro",NA,NA,NA,NA,NA,"12",NA,NA,"Coleçao líquida e exsicata",NA,"Lourenço, A.R.","2019","01","04",NA,"R010069721 R010069722",NA,NA,NA,"100","100",NA,NA,NA,NA
"13","2021-01-14 15:31:11-03","MN","R","208284","PreservedSpecimen","Plantae","Hydrocharitaceae","Najas","marina","Najas marina","L.","Moreira, A. 96; Magalhães, C.; Ferreira, C.S., Souza, F.S.","Brasil",NA,"Parque Nacional da Restinga de Jurubatiba","R010069723,R010069586","2007","12","Rio de Janeiro",NA,NA,NA,NA,NA,"19",NA,NA,NA,NA,"Lourenço, A.R.","2019","01","04",NA,"R010069586 R010069723",NA,NA,NA,NA,NA,NA,NA,NA,NA
