"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","scientificNameAuthorship","county","identifiedBy","coordinatePrecision","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","fieldNumber","typeStatus"
"1","2016-10-01 00:47:00-03","NY","NYBG","02565376","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","L. R. Noblick","5282","2002","11","26","South America","Paraguay","Alto Paraná","Itaipu Reservior, Alto Parana River. Closest town: Pikyry, Refugio Biologico de Pikyry, in the vicinity of the Itaipu Reservior.","-54.51944","-25.21428","287","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2812754' target='other'> <mi>dwc_moreinfo</mi></a>","NY02565376","NY02565376_01 NY02565376_02 NY02565376_03 NY02565376_04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00567851","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis acanthocoma","R. Pardini","82","1992","07","15","South America","Brazil","Paraná","Pinho de Baixo","-50.6042","-25.23",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517814' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567851","NY00567851_01 NY00567851_02 NY00567851_03","acanthocoma","(Drude) Mattos","Imbituva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00567854","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","M. Rossato","11","1999","11","20","South America","Brazil","Rio Grande do Sul","Guaritas, Cacapava do Sul","-53.5163889","-30.83388889",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517811' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567854","NY00567854_01 NY00567854_02 NY00567854_03",NA,"Mart.","Caçapava do Sul","A. J. Henderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00567852","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis brasiliensis","A. Krapovickas","34220","1978","07","07","South America","Brazil","Rio Grande do Sul","74 Km. S. de Cacapava do Sul (BR 153, Km 84)","-54.1067","-31.3317",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567852","NY00567852_01 NY00567852_02 NY00567852_03 NY00567852_04","brasiliensis","Mart.","Bagé",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00567855","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis acanthocoma","M. Rossato","56","1999","03","19","South America","Brazil","Rio Grande do Sul","Margin do Rio Tainhas","-50.4166984558105","-28.6678009033203",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567855","NY00567855_01 NY00567855_02 NY00567855_03","acanthocoma","(Drude) Mattos","Bom Jesus",NA,"55856","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00567853","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis acanthocoma","M. Rossato","17","2001","01","04","South America","Brazil","Rio Grande do Sul",NA,"-49.72311","-29.3344",NA,"packeted","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=517812' target='other'> <mi>dwc_moreinfo</mi></a>","NY00567853","NY00567853_01 NY00567853_02 NY00567853_03 NY00567853_04","acanthocoma","(Drude) Mattos","Farroupilha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:45:36-03","NBC","NL-BOTANY","L.1408685","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Reitz R",NA,"1970","08","01","Southern America","Brazil",NA,"Santa Catarina, Morro dos Conventos, Araranguá.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1408685 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1408685","NL-L1408685",NA,"Mart.",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:45:36-03","NBC","NL-BOTANY","U.1140349","PreservedSpecimen","Plantae",NA,"Arecales","Palmae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Herter WGF",NA,"1936","03","01","Southern America","Uruguay","Soriano",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1140349 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1140349","NL-U1140349",NA,"Mart.",NA,NA,NA,NA,"Magnoliopsidae","U 0046033",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2015-07-02 14:03:33-03","JBP","HPL","11961","S","Plantae",NA,NA,"Palmae","Trithrinax","brasiliensis","Trithrinax brasiliensis","H. Lorenzi, K. Soares","6765","2009","11","05",NA,"Brasil","SP","IAC","-47.06","-22.9",NA,NA,NA,NA,NA,NA,NA,"Campinas","H. Lorenzi","23900","auto",NA,NA,"2009","11","05",NA,NA,NA,NA,NA,NA
"10","2019-08-27 13:26:42-03","IAP","PACA-AGP","63567","PreservedSpecimen","Plantae","Magnoliophyta","Arecales","Arecaceae","Trithrinax","brasiliensis","Trithrinax brasiliensis","Rambo, B.",NA,"1958","01","17",NA,"Brasil","RS","Rincão do Inferno",NA,NA,NA,NA,"Habitat: In rupestribus Fenofase: estéril","PACA063567",NA,NA,"Mart.","Lavras","K.P. Soares",NA,NA,"Liliopsida",NA,"2012","03","21",NA,NA,NA,NA,NA,NA
