"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","locality","phylum","order","scientificNameAuthorship","identifiedBy","county","decimalLongitude","decimalLatitude","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","class","coordinatePrecision","geoFlag","relatedCatalogItem","fieldNumber","individualCount"
"1","2020-09-23 10:37:43-03","E","E","433376","PreservedSpecimen","Plantae","Compositae","Hoehnephytum","trixoides","Hoehnephytum trixoides","unspecified kind of","Gardner, George","4938","1905","01","13","E. Tropical South America","BR","Minas Gerais","herbarium specimen of unspecif","BGBASE:466988","<a href=http://data.rbge.org.uk/herb/E00433376 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433376",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:43-03","E","E","433375","PreservedSpecimen","Plantae","Compositae","Hoehnephytum","trixoides","Hoehnephytum trixoides","unspecified kind of","Gardner, George","4938","1905","01","10","E. Tropical South America","BR","Goyaz","herbarium specimen of unspecif","BGBASE:466987","<a href=http://data.rbge.org.uk/herb/E00433375 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00433375","Piauhy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","908863","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"R. S. Santos","24119","1963","09","11","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=979192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00908863","Faz. S. José pr. Varjão.","Magnoliophyta","Asterales","(Gardner) Cabrera","B. R. Nordenstam","Varjao de Minas","-46.0317","-18.3781","NY00908863_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","797802","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"A. M. V. de Carvalho","6644","1998","08","29","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347081' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797802","Pico do Itubira. Cerca de 31 km SW da cidade, caminho para Mato Grosso","Magnoliophyta","Asterales","(Gardner) Cabrera","H. E. Robinson","Rio de Contas","-41.8969","-13.3889","NY00797802_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-09-29 21:14:00-03","NY","NYBG","859905","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"A. Macedo","3569","1952","07","21","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859905",NA,"Magnoliophyta","Asterales",NA,"G. M. Barroso","Anápolis","-48.9528","-16.3269","NY00859905_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-29 21:14:00-03","NY","NYBG","859901","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"G. M. Magalhaes","s.n.","1964","07","30","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859901","Rodovia Patos-Pirapora, km 60.","Magnoliophyta","Asterales",NA,"G. M. Barroso",NA,NA,NA,"NY00859901_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 21:14:00-03","NY","NYBG","859908","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"J. E. B. Warming","45",NA,NA,NA,"South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960342' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859908",NA,"Magnoliophyta","Asterales",NA,NA,"Lagoa Santa","-43.8894","-19.6272","NY00859908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 21:14:00-03","NY","NYBG","859906","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"A. G. de Andrade","1203","1961","09","09","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859906","Fazenda Corrego Bonito","Magnoliophyta","Asterales",NA,"G. M. Barroso","Carmo do Rio Claro","-46.1189","-20.9719","NY00859906_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","797803","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"H. S. Irwin","32422","1971","02","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=347084' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797803","Serra do Tombador. Dry middle slopes of Morro do Chapéu","Magnoliophyta","Asterales","(Gardner) Cabrera","G. M. Barroso","Morro do Chapéu","-41.1558","-11.5503","NY00797803_01","1125","1125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 21:14:00-03","NY","NYBG","859909","PreservedSpecimen","Plantae","Asteraceae","Hoehnephytum","trixoides","Hoehnephytum trixoides",NA,"L. Riedel","573","1824","09","20","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00859909",NA,"Magnoliophyta","Asterales",NA,NA,"Caeté","-43.6694","-19.88","NY00859909_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
