"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","infraspecificEpithet","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","sex"
"1","2016-09-29 17:46:00-03","NY","NYBG","639050","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","J. C. de Siqueira","R. Reitz","17861","1965","12","17","South America","Brazil","Paraná","Carambeí","Carambeí. Rio S. Joao, Castro","-50.152803","-24.908517","950","950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714655' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639050","NY00639050_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","493379","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","L. B. Smith","L. B. Smith","14473","1965","01","14","South America","Brazil","Paraná","Ponta Grossa","Vila Velha","-50.03","-25.22","890","920","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714654' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493379","NY00493379_01","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","493381","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"P. K. H. Dusén","10453","1910","10","25","South America","Brazil","Paraná","Jaguariaíva",NA,"-49.7056","-24.2511",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714656' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493381","NY00493381_01","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","493382","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","T. M. Pedersen","G. G. Hatschbach","20037","1968","10","12","South America","Brazil","Paraná","Arapoti","Fda. do Lobo","-49.8267","-24.1581",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714652' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493382","NY00493382_01","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","493380","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","T. M. Pedersen","G. G. Hatschbach","23044","1969","12","03","South America","Brazil","Paraná","Ponta Grossa","Rio Guavirova","-50.1617","-25.095",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=714653' target='other'> <mi>dwc_moreinfo</mi></a>","NY00493380","NY00493380_01","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-27 15:17:00-03","NY","NYBG","7166","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis paraguariensis",NA,"T. M. Pedersen","9539","1969","12","12","South America","Paraguay","Paraguarí",NA,"Near Coapucu [sp?]. Rocky outcrops",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=287395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00007166","NY00007166_01","Pedersen","paraguariensis","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:31-03","UNESP-IBB","BOTU","20044","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Marchiretto, M.S.","Bertoncini, A.P.","503","1994","12","02",NA,"Brasil","São Paulo","Agudos","Cia e Cervejaria Brahma",NA,NA,NA,NA,NA,"Erva, 0,8m, folhas membranáceas, flores alaranjadas, brácteas brancas de ápice avermelhado envolvendo a inflorescência.","BOTU020044","BOTU020044","R.E. Fr.",NA,NA,"2001","09","9999","9999",NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 11:28:44-03","UFRJ","RFA","8155","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"P. Occhioni","3433","1966","11","09",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"RFA27401",NA,"R.E.Fr.",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"9","2020-02-08 08:54:24-03","NBC","NL-BOTANY","L.1696424","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"Hatschbach GG",NA,"1963","11","23","Southern America","Brazil",NA,NA,"Est. Parana, Mun. Ponta Grossa, Vilha Velha.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1696424 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1696424","NL-L1696424","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2020-02-08 08:54:24-03","NBC","NL-BOTANY","U.1060431","PreservedSpecimen","Plantae",NA,"Caryophyllales","Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"Lindeman JC; Haas JH de",NA,"1966","10","20","Southern America","Brazil",NA,NA,"Brasiliae Australis. Est. Sao Paulo. km 158 of road from Sao Paulo to Londrina. Campo cerrado.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1060431 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1060431","NL-U1060431","R.E.Fr.",NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"11","2020-12-20 21:15:20-03","UFV","VIC","6145","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Siqueira, C.J.","Krieger, L.","7486","1969","12",NA,NA,"Brasil","Paraná","Vila Velha","Campo.",NA,NA,NA,NA,NA,"Brácteas maduras marron-claro.","VIC006145","VIC006145","R. E. Fries",NA,NA,"1985","04",NA,NA,NA,NA,NA,"10",NA,NA,NA
"12","2021-04-07 11:40:36-03","UFMS","CGMS","75515","PreservedSpecimen","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis",NA,"G. Hatschbach","3205","1952","12","21",NA,"Brasil","Paraná","Ponta Grossa","Parque Estadual de Vila Velha.","-50.1618995666504","-25.0949993133545",NA,NA,NA,"UPCB 22294.","CGMS1108469",NA,"R.E.Fr.",NA,NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"13","2019-08-20 10:02:22-03","UNICAMP","UEC","29671","S","Plantae","Magnoliopsida",NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","Siqueira, JC","Lima","s.n.","1943","11","12",NA,"Brazil","São Paulo","Itirapina",NA,"-47.8199996948242","-22.25",NA,NA,NA,"flor","UEC066953","UEC066953","R.E.Fr.",NA,NA,"1982","09",NA,NA,"22843","auto",NA,"28",NA,NA,NA
"14","2019-08-16 08:38:10-03","UTFPR","HCF","14343","S","Plantae",NA,NA,"Amaranthaceae","Gomphrena","paranensis","Gomphrena paranensis","J. Cordeiro & G. Felitto","J.M. Silva","8227","2012","03","19",NA,"Brasil","PR","Ponta Grossa","Parque Estadual de Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,"xilopodífera, flor zarcão. Campo recém queimado.",NA,NA,"R.E.Fries",NA,NA,"2012","04",NA,NA,"46557","auto",NA,NA,NA,NA,NA
