"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","yearIdentified","locality","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","408941","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Inga","lanceaefolia","Inga lanceaefolia","Benth.","A. F. M. Glaziou","7894","South America","Brazil","Rio de Janeiro","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=167395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408941","NY00408941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-18 09:29:44-03","UNESP-IBB","BOTU","24435","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","lanceifolia","Inga lanceifolia","Benth.","Pilla, M.A.C.","108",NA,"Brasil","São Paulo",NA,"Arbórea, flores em capítulo, brancas","BOTU024435",NA,"Tamashiro, J.Y.","2005","03","14","Natividade da Serra","-45.25","-23.416667","45°15'w","23°25's",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:39:57-03","EAO","IAN","93791","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","lanceifolia","Inga lanceifolia","Benth.","sc","16758","Southern America","Brasil","Rio de Janeiro",NA,NA,"IAN093791",NA,NA,"1988","02","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:39:57-03","EAO","IAN","156610","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Leguminosae-Caesalp.","Inga","lanceifolia","Inga lanceifolia","Benth.","Barros, WD de","47701","Southern America","Brasil","Rio de Janeiro",NA,NA,"IAN156610",NA,"Rodrigues, WA","1942","11","25","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"1978","Parque Nacional da Serra dos Orgaos.","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:09:25-03","NBC","NL-BOTANY","U.1304201","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","lanceifolia","Inga lanceifolia","Benth.","Ducke A",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304201 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304201","NL-U1304201",NA,"1928","11","29",NA,NA,NA,NA,NA,NA,"Rio de Janeiro an urbene in momte Bico do Papahaig.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:09:25-03","NBC","NL-BOTANY","U.1304202","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","lanceifolia","Inga lanceifolia","Benth.","Martinelli G; Simonis JE; Farney C",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304202 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304202","NL-U1304202",NA,"1983","02","09",NA,NA,NA,NA,NA,NA,"Brasil, estado do rio de Janeiro, Município de macaé, Pico do Frade de Maccaé, mata higrófila.",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:09:25-03","NBC","NL-BOTANY","U.1304203","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","lanceifolia","Inga lanceifolia","Benth.","Capanema",NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304203 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304203","NL-U1304203",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:09:25-03","NBC","NL-BOTANY","U.1304204","PreservedSpecimen","Plantae",NA,"Fabales","Leguminosae-Mim.","Inga","lanceifolia","Inga lanceifolia","Benth.","Constantino D; Occhioni P",NA,"Southern America","Brazil","Rio de Janeiro",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1304204 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1304204","NL-U1304204","Pennington TD","1921","10","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0136885",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:09:34-03","ESALQ","ESA","69131","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","lanceifolia","Inga lanceifolia","Benth.","Sampaio, P.S.P. ; Martins, S.E.","426.0",NA,"Brasil","São Paulo",NA,NA,"ESA069131","ESA069131",NA,"2000","02","03","Bertioga","-46.138599395752","-23.8544006347656",NA,NA,"2002",NA,"37616","auto",NA,NA,"05","10",NA,NA,NA,NA,NA
"10","2020-11-04 11:09:34-03","ESALQ","ESA","97411","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","lanceifolia","Inga lanceifolia","Benth.","Wesenberg, J.","937.0",NA,"Brasil","Rio de Janeiro",NA,NA,"ESA097411","ESA097411","Wesenberg, J.","2005","09","24","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:09:34-03","ESALQ","ESA","97410","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Fabaceae","Inga","lanceifolia","Inga lanceifolia","Benth.","Wesenberg, J. ; et. al.","1038.0",NA,"Brasil","Rio de Janeiro",NA,NA,"ESA097410","ESA097410","Wesenberg, J.","2005","04","01","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-12-20 21:17:26-03","UFV","VIC","19144","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Inga","lanceifolia","Inga lanceifolia","Benth.","Folli, D.A.","2689",NA,"Brasil","Espírito Santo",NA,"Fuste cilíndrico, altura 5 m. CAP: 42 cm.&nf;Superfície da casca áspera.&nf;Exsudação seiva incolor.&nf;Fruto maduro amarelo e imaturo verde-claro.&nf;Porte arbóreo terrestre. altura total: 10 m.&nf;Descamação: em escamas","VIC019144","VIC019144","Garcia, F.C.P.","1996","02","22","Linhares","-40.0722007751465","-19.3910999298096",NA,NA,"1999","Reserva Florestal de Linhares, Próximo ao aceiro. Estrada aceiro com Nivaldo - Ca. Mata ciliar","48094","auto",NA,NA,"02","03",NA,NA,NA,NA,NA
