"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","2554215","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","H. S. Irwin","22729","1969","01","27","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811257' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554215","NY02554215_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2554217","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","H. S. Irwin","22729","1969","01","27","South America","Brazil","Minas Gerais","Ca. 12 km NE of Diamantina, road to Mendanha. Serra do Espinhaço.","-43.55","-18.18","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811259' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554217","NY02554217_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2554213","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","J. Prado","1406","2002","01","07","South America","Brazil","Minas Gerais","Afloramento rochoso no lado direito da estrada indo para Milho Verde.","-43.5528","-18.3131","1132",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811255' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554213","NY02554213_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2554214","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","H. S. Irwin","20750","1968","02","24","South America","Brazil","Minas Gerais","Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811256' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554214","NY02554214_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2554216","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","G. G. Hatschbach","27977","1971","11","15","South America","Brazil","Minas Gerais","Biri-Biri","-43.6003","-18.2494",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811258' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554216","NY02554216_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02554212","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","J. Prado","1401","2002","01","05","South America","Brazil","Minas Gerais","Estrada de terra Diamantina-Biribiri.","-43.6147","-18.1481","1075",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811254' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554212","NY02554212_01","Diamantina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2554218","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","Y. E. J. Mexia","5814","1931","05","12","South America","Brazil","Minas Gerais","Flat near Rio Grande.","-43.6002998352051","-18.2493991851807","1240",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2811260' target='other'> <mi>dwc_moreinfo</mi></a>","NY02554218","NY02554218_01","Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02425741","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner ex Hook.) Christ","J. Prado","1398","2002","01","04","South America","Brazil","Minas Gerais","BR-367 entre Gouveia e Diamantina, afloramento rochoso no lado esquerdo da estrada indo para Diamantina","-43.6756","-18.2611","1408",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2711636' target='other'> <mi>dwc_moreinfo</mi></a>","NY02425741","NY02425741_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:50:49-03","EAO","IAN","79132","PreservedSpecimen","Plantae","Fern",NA,"Adiantaceae","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) C.Chr.","Williams, LO; Assis, V","7157","1945","06","06","Southern America","Brasil","Minas Gerais","In campo, Pico de Belo Horizonte.",NA,NA,"1300","1300",NA,"In campo.","IAN079132",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:50:49-03","EAO","IAN","79121","PreservedSpecimen","Plantae","Fern",NA,"Adiantaceae","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) C.Chr.","Assis, V","112","1945","11","20","Southern America","Brasil","Minas Gerais","Fazenda da Chicaca.","-43.8513984680176","-19.7696990966797","1100","1100",NA,"In mato.","IAN079121",NA,"Santa Luzia","19939","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-11-04 11:21:18-03","ESALQ","ESA","60172","PreservedSpecimen","Plantae","Pteridophyta",NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm","Souza, V.C. ; Souza, J.P.","22173.0","1999","03","14",NA,"Brasil","Minas Gerais","Estrada Diamantina - Conselheiro Mata, 3 - 6 Km da estrada Diamantina - Gouveia. Campo rupestre.","-43.6002998352051","-18.2493991851807",NA,NA,NA,"Erva.","ESA060172",NA,"Diamantina","101169","auto","Della, A.P.","2020","03","10",NA,NA,NA,NA,NA,NA
"12","2019-08-27 13:36:22-03","IAP","PACA-AGP","78940","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) Christ","H. S. Irwin","20750","1968","02","24",NA,"Brasil","MG","Serra do Espinhaco",NA,NA,NA,NA,NA,NA,"PACA078940",NA,"Lapinha",NA,NA,"A. Sehnem SJ","1976",NA,NA,"Filicopsida",NA,NA,NA,NA,NA
"13","2020-12-20 21:19:11-03","UFV","VIC","003448","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardn.) J.Sm.","Mexia, Y.","5814","1931","05","12",NA,"Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"VIC003448","VIC003448","Diamantina","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-12-20 21:19:11-03","UFV","VIC","027692","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardn.) J.Sm.","Valente, G.E.; et al.","1237","2013","04","26",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Campo rupestre.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Rupicola crescendo em fresta de pedras, a pleno sol.","VIC027692","VIC027692","Ouro Branco","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-20 21:19:11-03","UFV","VIC","033937","PreservedSpecimen","Plantae",NA,NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardn.) J.Sm.","Valente, G.E.; Azevedo, A.A.","2439","2009","02","14",NA,"Brasil","Minas Gerais","Serra de Ouro Branco, Campo rupestre.","-43.6918983459473","-20.5207996368408",NA,NA,NA,"Coletada em afloramento rochoso quartizitico.","VIC033937","VIC033937","Ouro Branco","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 14:54:29-03","UFJF","CESJ","26909","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","R.F. Novelino; N.L.Menezes","641","1989","03","13","América do Sul","Brasil","Minas Gerais","Estrada para Conselheiro Mata.",NA,NA,NA,NA,NA,"Na areia, saxícola, local úmido, no campo rupestre.","CESJ026909",NA,NA,NA,NA,"V.A.O. Dittrich","2019","02",NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 14:54:29-03","UFJF","CESJ","56835","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","A. Salino; N.F.O. Mota; P.L. Viana","9344","2003","08","07","América do Sul","Brasil","Minas Gerais","Parque Estadual do Rio Preto, entre a área da Lapa e do Pico Dois Irmãos, entre 1600 e 1700m de altitude, 18º12'25,2 S, 43º18'35,9 W","-43.3908004760742","-18.0041999816895",NA,NA,NA,"Terrestre entre rochas, no campo rupestre.","CESJ056835",NA,"São Gonçalo do Rio Preto","26697","auto","A. Salino","2019","02",NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:54:29-03","UFJF","CESJ","3276","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Ormopteris","gleichenioides","Ormopteris gleichenioides","(Gardner) J.Sm.","H.L. Mello Barreto","s.n.","1937","11","10","América do Sul","Brasil","Minas Gerais",NA,"-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,"CESJ003276",NA,"Diamantina","101169","auto","A. Salino; T.E. Almeida","2019","02",NA,NA,NA,NA,NA,NA,NA
"19","2021-03-01 16:43:57-03","UNICAMP","UEC","39197","S","Plantae","Pteridophyta",NA,"Pteridaceae","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) H.Christ","Tamashiro, JY; Leitão Filho, HF; Semir, J; Martins, FR","17214","1985","06","03",NA,"Brazil","Minas Gerais","Diamantina km 98","-43.88075","-18.425694",NA,NA,NA,"Samambaia sobre pedras.","UEC067681","UEC067681","Gouveia",NA,NA,"Prado, J","2009","08",NA,NA,"-43.88075","-18.425694",NA,NA,NA
"20","2015-09-04 02:50:29-03","MNHN","RECOLNAT_MNHN_P","P00252269","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) Christ","Schwacke, C.A.W.",NA,"1892","3","24",NA,"Brésil",NA,"Minas Geraes, Serra de Biribiny près Diamantina",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252269' target='other'> <mi>dwc_moreinfo</mi></a>","P00252269","P00252269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8021",NA,NA
"21","2015-09-04 02:50:29-03","MNHN","RECOLNAT_MNHN_P","P00252270","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) Christ","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,"Serra dos Cristaes près de Diamantina",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252270' target='other'> <mi>dwc_moreinfo</mi></a>","P00252270","P00252270_01",NA,NA,NA,"Prado",NA,NA,NA,NA,NA,NA,"20159",NA,NA
"22","2015-09-04 02:50:29-03","MNHN","RECOLNAT_MNHN_P","P00252271","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) Christ","Mexia, Y.",NA,"1931","5","12",NA,"Brazil",NA,"Diamantina. Flat near Rio Grande (Minas Geraes)",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252271' target='other'> <mi>dwc_moreinfo</mi></a>","P00252271","P00252271_01",NA,NA,NA,"Prado",NA,NA,NA,NA,NA,NA,"5814",NA,NA
"23","2016-01-29 17:15:46-02","MNHN","RECOLNAT_MNHN_P","P00252272","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Pellaea","gleichenioides","Pellaea gleichenioides","(Gardner) Christ","Glaziou, A.",NA,"1892","4","4",NA,"Brésil",NA,"Serra dos Cristaes près de Diamantina",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00252272' target='other'> <mi>dwc_moreinfo</mi></a>","P00252272","P00252272_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20159",NA,NA
