"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","678610","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","A. C. Brade","16527","1940","08","31","South America","Brazil","Rio de Janeiro","Flora da Serra dos Orgaos. Pedra Assú.","-43.065577","-22.483289","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810201' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678610","NY00678610_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","678608","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","A. C. Brade","9871","1929","11","03","South America","Brazil","Rio de Janeiro","Rio Roncador.","-42.9656","-22.4122","1750","1750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810196' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678608","NY00678608_01","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","678607","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Barrington","R. Reitz","3426","1956","07","17","South America","Brazil","Santa Catarina","Horto Florestal I. N. P., Ibirama","-49.5178","-27.0569","700","700","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810197' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678607","NY00678607_01","Ibirama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","891479","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","A. F. M. Glaziou","12383",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891479","NY00891479_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","678609","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","A. C. Brade","16527","1940","08","31","South America","Brazil","Rio de Janeiro","Flora da Serra dos Orgaos. Pedra Assú.","-43.065577","-22.483289","2000","2000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810200' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678609",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","891478","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","A. C. Brade","17091","1941","10",NA,"South America","Brazil","Minas Gerais","Serra do Caparaó",NA,NA,"1900","1900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=978359' target='other'> <mi>dwc_moreinfo</mi></a>","NY00891478","NY00891478_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","678611","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","A. F. M. Glaziou","4440","1870",NA,NA,"South America","Brazil","Rio de Janeiro","Serra dos Orgaos.","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678611","NY00678611_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","678612","PreservedSpecimen","Plantae","Pteridophyta","Cyatheales","Cyatheaceae","Alsophila","capensis","polypodioides","Alsophila capensis polypodioides","(Sw.) D.S.Conant","D. S. Conant","P. von Luetzelburg","18905","1915",NA,NA,"South America","Brazil","Rio de Janeiro","Serra dos Orgaos.","-43.073169","-22.496706",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=810204' target='other'> <mi>dwc_moreinfo</mi></a>","NY00678612","NY00678612_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:31-03","UFRJ","RFA","43069","PreservedSpecimen","Plantae",NA,NA,"Cyatheaceae","Alsophila","capensis",NA,"Alsophila capensis","(L.f.) J.Sm.","L.L. Almeida & D.A. Souza","L.L. Almeida; D.A. Souza","s.n.","2018","09","22",NA,"Brasil","Minas Gerais","Brejo da Lapa. Parque Nacional do Itatiaia","-44.736944","-22.356944","2157","2157",NA,NA,"RFA42931",NA,"Itamonte","2018","09","25","44º44'13''W","22º21'25''S",NA,NA,NA,NA,NA
"10","2019-12-04 15:26:11-03","PUCPR","HUCP","20841","S","Plantae","Monilofita",NA,"Cyatheaceae","Alsophila","capensis",NA,"Alsophila capensis","J. Sm.","Michelon, C","Michelon, C","575","2009","10","26",NA,"Brasil","Paraná",NA,"-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"HUCP00000296","HUCP00000296","Balsa Nova","2009","11","17",NA,NA,"27346","auto",NA,NA,NA
