"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","335332","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","isotype","M. A. Assis","466","1994","10","29","South America","Brazil","São Paulo","Ubatuba","Picinguaba","-44.833923","-23.380728","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=754225' target='other'> <mi>dwc_moreinfo</mi></a>","NY00335332","NY00335332_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:47:52-03","EAO","IAN","35537","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","isoparatipo","Kiehl, C; Franco, CM","5198","1939","10","18","Southern America","Brasil","São Paulo",NA,"Estrada rodagem Guará-Cunha.",NA,NA,NA,"Árvore.","IAN035537","IAN035537 IAN035537_e IAN035537_e1","Forr, D","1995","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:18:26-03","ESALQ","ESA","93457","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & semir",NA,"Ferreira, P.M.A.","2.0",NA,NA,NA,NA,"Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,"ESA093457","ESA093457","Ferreira, P. M.A.",NA,NA,"44778","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:15:58-03","ESALQ","ESA","132739","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis",NA,NA,"Souza, V.C.",NA,"2013","07","02",NA,"Brasil","São Paulo","Nova Odessa","Jardim Botânico Plantarum, Área de Estacionamento.","-47.2900009155273","-22.7700004577637",NA,"Árvore. Vegetativo.","ESA132739",NA,NA,NA,NA,"8440","auto","47,30o","22,78o",NA,NA,NA,NA,NA
"5","2021-01-14 15:33:23-03","MN","R","10498","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Glaziou, A.F.M.","6828","1873","10","30",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","São Cristovão","-43.2075004577637","-22.9027996063232",NA,"Plantas do Brasil Central","R000010498","R000010498_001","Castellões, R. O.","2006","02","57442","auto",NA,NA,"02",NA,NA,NA,NA
"6","2015-07-02 14:03:59-03","JBP","HPL","9497","S","Plantae",NA,NA,"Rubiaceae","Genipa","cf. infundibuliformis","Genipa cf. infundibuliformis",NA,NA,"R. Tsuji","2339","2007","11","28",NA,"Brasil","MG","Sabinópolis","Coletado na estrada Sabinópolis-Serro (BR-259), km 403.","-43.0839","-18.6661",NA,NA,NA,NA,NA,NA,NA,"29598","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-20 21:19:17-03","UFV","VIC","24425","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappis",NA,"Neto, E.T.","s.n.",NA,NA,NA,NA,"Brasil","Minas Gerais","Braúnas",NA,"-42.7155990600586","-19.0557994842529",NA,"Arbóreo","VIC024425",NA,NA,NA,NA,"19086","auto",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-24 17:09:53-03","UFES","SAMES","4947","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Rozário,E.M.; Ribeiro,M.;Fink,M.G.S.;Coelho,R.","1","2011","07","12",NA,"Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta alta de Tabuleiro, km 4.","-39.7322006225586","-18.5932998657227",NA,"Frutos verde claro. Habito: Árvore","SAMES04947",NA,NA,NA,NA,"41644","auto","-398050000.0","-182625000.0",NA,NA,NA,NA,NA
"9","2021-03-24 17:09:53-03","UFES","SAMES","4948","PreservedSpecimen","Plantae",NA,NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Ribeiro,M.; Giaretta,A.O.;Broggio,I.S.","426","2011","01","25",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Floresta Alta de Tabuleiro, Mata da Água Limpa.","-40.2132987976074","-18.3703002929688",NA,"Frutos verdes com algumas #?#pintas#?# pequenas de cor mais clara. Habito: Árvore","SAMES04948",NA,"Ribeiro,M.","2012","02","28525","auto","-401622222.0","-183625000.0","06",NA,NA,NA,NA
"10","2021-03-01 16:39:29-03","UNICAMP","UEC","113295","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Mansano, VF; Folli, DA; Rio, MC; Freitas, MF","102","1999","11","05",NA,"Brazil","Espírito Santo",NA,"Margens da Lagoa Juparanã.",NA,NA,NA,"Árvore 8m de alt, flores corola amarela, cálice verde.","UEC117105","UEC117105","Zappi, DC","2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-01 16:39:29-03","UNICAMP","UEC","113812","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Sanchez, M; Pedroni, F","618","1996","01","07",NA,"Brazil","São Paulo","Ubatuba","Picinguaba.","-44.8","-23.366667",NA,"Árvore 858 com 11 m de alt.","UEC117103","UEC117103","Sanchez, M",NA,NA,NA,NA,"-44.8","-23.366667",NA,NA,NA,NA,NA
"12","2021-03-01 16:39:29-03","UNICAMP","UEC","66145","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","paratypus","Harley, RM; Stannard, BL; Hind, DJN; Kameyama, C; Prado, J; Rudall, P; Simão, RC","25173","1988","10","18",NA,"Brazil","Minas Gerais","Pedra Azul","8 km ao O. da cidade, na estrada para a Rodovia BR116","-41.366667","-15.95",NA,"Árvore com 9-10 m. de altura. Flores creme e amareladas, frutos acastanhados com odor desagradável; Lajedo de rocha granítica. Na base dos grandes afloramentos rochosas","UEC012466","UEC012466","Marcondes-Ferreira, W","2011","11",NA,NA,"-41.366667","-15.95",NA,"650","650",NA,NA
"13","2021-03-01 16:39:29-03","UNICAMP","UEC","13427","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir","paratypus","Tamashiro, JY; Parentoni, R","8461","1978","09","30",NA,"Brazil","São Paulo","Campinas","Balão da Guanabara Restaurante Timbó","-47.060001373291","-22.8999996185303",NA,"Árvore de 6 m., flores amarelas","UEC012465","UEC012465","Marcondes-Ferreira, W","2011","11","23900","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-03-01 16:39:29-03","UNICAMP","UEC","104943","S","Plantae","Magnoliopsida",NA,"Rubiaceae","Genipa","infundibuliformis","Genipa infundibuliformis","Zappi & Semir",NA,"Cielo-Filho, R; Chiste, FS","35808","1998","09","25",NA,"Brazil","São Paulo","Campinas","Bosque dos Alemães","-47.060001373291","-22.8999996185303",NA,"Árvore de aproximadamente 14m crescendo no interior de Floresta Estacional Semidecidual. Tronco liso e flores amarelas quando maduras de odor agradável. Folhas inteiras na base da copa e lobadas no ápice. Indivíduo número 686.","UEC117104","UEC117104","Semir, J",NA,NA,"23900","auto",NA,NA,NA,NA,NA,NA,NA
