"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","barcode","phylum","class","order","typeStatus","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","occurrenceRemarks","continentOcean","monthIdentified","dayIdentified","imagecode"
"1","2019-11-13 11:26:47-03","USP","SPF","74107","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Sobral, M","1992","Simão-Bianchini, R","47","1988","10","10","Brasil","São Paulo","Juréia","SPF00074107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-10-07 09:35:20-03","UEFS","HUEFS","87418","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos",NA,NA,"Mattos, A.","15600","1969","07","29","Brasil","São Paulo","Peruíbe","HUEFS0087418","Angiospermae","Rosanae","Myrtales","Isótipo","Cerca de 2 Km ao sul de Peruíbe, da Prainha.","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,NA,NA,NA
"3","2019-10-07 09:35:20-03","UEFS","HUEFS","87417","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos",NA,NA,"Mattos, J.","15600","1969","07","29","Brasil","São Paulo","Peruíbe","HUEFS0087417","Angiospermae","Rosanae","Myrtales","Holótipo","Cerca de 2 Km ao sul de Peruíbe, da Prainha.","-46.9900016784668","-24.3199996948242","21922","auto",NA,NA,NA,NA,NA
"4","2019-10-03 10:04:13-03","UFSCar","SORO","6664","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","M. Sobral","1992",NA,"47","1988","10","10","Brasil","São Paulo","Juréia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Árvore +ou- 5m, frutos verdes com cheiro e sabor de goiaba.",NA,NA,NA,NA
"5","2019-10-03 10:04:13-03","UFSCar","SORO","4954","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos",NA,NA,"Mamede, M.C.H.; Rossi, L.; Catharino & Malvino E. L. M.","398","1991","03","19","Brasil","São Paulo","Iguape",NA,NA,NA,NA,NA,"Estação Ecológica Juréia-Itatins. Beira do Rio Verde, descendo em direção a foz. Mata.","-47.5499992370605","-24.7000007629395","55628","auto","Árvore com córtex espesso, atingindo 6cm. Folhas discolores, face abaxial verde claro. Frutos imaturos.",NA,NA,NA,NA
"6","2021-03-04 15:45:24-03","IF","SPSF","25328","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis",NA,"M.L.Kawasaki",NA,"O.Yano",NA,"1989","04","22","Brasil","SP","Iguape",NA,"Magnoliophyta","Magnoliopsida","Myrtales",NA,"Estação Ecológica Juréia-Itatins","-47.5499992370605","-24.7000007629395","55628","auto","COLETA: XLS: SPSFAntigo&nf;Arbusto 10m de altura, flores róseas, folhas grossas,verde escuras. N.V guapuaçu.; GEOGRAFIA: Costão da praia.;","América do Sul",NA,NA,NA
"7","2020-08-26 10:49:59-03","MCN-FZBRS","HAS","87578","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos",NA,NA,"Mattos, J.","15600","1969","07",NA,"Brasil","São Paulo","cerca de 2 km de Peruíbe,","HAS0087578","Magnoliophyta",NA,NA,"Holotypus","na Prainha",NA,NA,NA,NA,"Na mata virgem. Árvore com ca. de 5m de altura.",NA,NA,NA,NA
"8","2019-11-21 10:11:36-03","IBt","SP","248049","S","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Mazine, FF","2017","Mamede, MCH; et al.","398","1991","03","19","Brasil","São Paulo","Iguape",NA,NA,NA,NA,NA,"Estação Ecológica Juréia-Itatins, Beira do Rio Verde, descendo em direção a foz, mata","-47.5499992370605","-24.7000007629395","55628","auto","Árvore com córtex espesso, atingindo 6cm, folhas discolores, face abaxial verde-claro, frutos imaturos, os maiores com 4cm compr.",NA,"07","25",NA
"9","2019-11-28 09:18:17-03","IBt","SP","309928","S","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Kawasaki, ML",NA,"Melo, MMRF; Cordeiro, I","1267","1994","07","13","Brasil","São Paulo","Iguape",NA,NA,NA,NA,NA,"Estação Ecológica Juréia-Itatins, Margens do rio Verde, próximo ao alojamento","-47.5499992370605","-24.7000007629395","55628","auto",NA,NA,NA,NA,NA
"10","2019-11-21 10:11:36-03","IBt","SP","115862","S","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Mattos, JR","1970","Mattos, J","15600","1969","07","28","Brasil","São Paulo","Peruíbe","SP001337",NA,NA,NA,"Isotype","Ca. 2 km de Peruíbe, na Prainha. Na mata virgem","-46.9900016784668","-24.3199996948242","21922","auto","Árvore ca. 5 m alt.",NA,NA,NA,"SP001337"
"11","2019-11-21 10:11:36-03","IBt","SP","234222","S","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Kawasaki, ML","1995","Yano, O","s.n.","1989","04","22","Brasil","São Paulo","Peruíbe","SP028629",NA,NA,NA,NA,"Estação Ecológica Juréia-Itatins, Guarau, costão da Praia Guarauzinho","-46.9900016784668","-24.3199996948242","21922","auto","Arbusto de 10 alt., flores róseas, folhas grossas, verde escuras",NA,NA,NA,"SP028629"
"12","2019-11-21 10:11:36-03","IBt","SP","345789","S","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Kawasaki, ML",NA,"Mamede, MCH","595","1995","09","13","Brasil","São Paulo","Peruíbe","SP028631",NA,NA,NA,NA,"Estação Ecológica Juréia-Itatins, Serra do Guarauzinho, trilha para praia do Arpoador","-46.9900016784668","-24.3199996948242","21922","auto","Árvore 5-6m alt., tronco arqueado, cálice esverdeado, frutos imaturos verdes",NA,NA,NA,"SP028631"
"13","2019-11-21 10:11:36-03","IBt","SP","277204","S","Plantae","Myrtaceae","Eugenia","peruibensis","Eugenia peruibensis","Mattos","Kawasaki, ML","1996","Cordeiro, I; Melo, MMRF; Oliveira, RJ; Barros, M","1519","1994","06","22","Brasil","São Paulo","Peruíbe","SP028630",NA,NA,NA,NA,"Estação Ecológica Juréia-Itatins, Trilha através do Morro do Arpoador, mata pluvial tropical de encosta","-46.9900016784668","-24.3199996948242","21922","auto","Árvore do dossel da mata, ca. 15m alt., cálice verde claros, frutos ramífloros",NA,NA,NA,"SP028630"
