"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","individualCount","occurrenceRemarks","identifiedBy","yearIdentified","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","barcode","geoFlag","imagecode","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","continentOcean","fieldNumber","preparationType"
"1","2019-06-10 10:10:57-03","FZB-BH","CVJBFZB","2067","S","Plantae","Magnoliophyta","Equisetopsida","Asparagales","Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros.","Gabriel Fernandes;","1","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-13 09:20:35-03","UFRJ","RFA","9409","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Physosiphon","pubescens","Physosiphon pubescens","Barb.Rodr.","G.G. Hatschbach",NA,"Epífita, flor purpurea","G.F.J. Pabst","1970","23386","1969","10","23","Brasil","Paraná","Campina Grande do Sul","Serra Capivari Grande","-49.0553016662598","-25.3055992126465","55154","1500","1500","RFA31831","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:31-03","PUCPR","HUCP","25256","S","Plantae","Monocotiledonea",NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F. Barros","Oliveira, LRL",NA,NA,NA,NA,"23",NA,NA,NA,"Brasil","Santa Catarina","Corupá","Orquidário Seidel","-49.2430992126465","-26.4253005981445","23917",NA,NA,"HUCP00025256","auto","HUCP00025256",NA,NA,NA,NA,NA,NA,NA
"4","2016-07-05 11:14:14-03","FFCLRP","LBMBP","298","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F. Barros","E.R. Pansarin",NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo","Brotas",NA,"-48.116667","-22.283333",NA,NA,NA,NA,NA,NA,"48°07'W","22°17'S",NA,NA,NA,NA,NA
"5","2016-07-05 11:14:14-03","FFCLRP","LBMBP","351","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F. Barros","E.R. Pansarin",NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo","Itirapina",NA,"-47.816667","-22.25",NA,NA,NA,NA,NA,NA,"47°49'W","22°15'S",NA,NA,NA,NA,NA
"6","2016-07-05 11:14:14-03","FFCLRP","LBMBP","352","S","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F. Barros","E.R. Pansarin",NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,"Brasil","São Paulo","Itirapina",NA,"-47.816667","-22.25",NA,NA,NA,NA,NA,NA,"47°49'W","22°15'S",NA,NA,NA,NA,NA
"7","2021-03-01 16:20:16-03","UNICAMP","UEC","160536","S","Plantae","Liliopsida",NA,NA,"Orchidaceae","Pleurothallis","sarracenia","Pleurothallis sarracenia","Luer","Nakajima, JN; Romero, R; Zanini, E; Simão, DG",NA,"Epífita prostrada. Flores jovens com tépalas vinho. Flores maduras com tépalas amarelo-claro.; Afloramento rochoso da Cachoeira.","Ribeiro, JELS","1996","1531","1995","11","21","Brazil","Minas Gerais","São Roque de Minas","Cachoeira dos Rolinhos.","-46.3657989501953","-20.2453002929688","57119",NA,NA,"UEC017189","auto","UEC017189",NA,NA,"05","12",NA,NA,NA
"8","2020-10-14 10:03:51-03","FURB","FURB","15009","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Cadorin, T.J.; Schimitt, J.L. & Caglioni, E.",NA,"Epífita IFFSC e466a (Acima de 4m), forófito 4. Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","Mancinelli, WS","2010","237","2009","10","13","Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27",NA,"569","569","FURB34239",NA,"FURB34239","-49.2300000","-27.2700000","03","10",NA,NA,NA
"9","2020-10-14 10:03:51-03","FURB","FURB","29185","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.",NA,"Epífita IFFSC e01a (Acima de 4m). Forófito 1. Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita; flor verde","Ceolin, LM","2010","2075","2010","04","27","Brasil","Santa Catarina","Praia Grande","Trilha do Rio do Boi.","-50.0744445","-29.205",NA,"330","330","FURB34236",NA,"FURB34236","-50.0744445","-29.2050000","07","13",NA,NA,NA
"10","2020-10-14 10:03:51-03","FURB","FURB","31052","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Cadorin, T.J.; Grosch, B. & Zimmermann, R.",NA,"Epífita IFFSC e8005b (Acima de 4m) - sobre forófitos 8 e 9 Habitat: Floresta Ombrófila Densa; Estágio Médio; interior do fragmento Habito: epífita; Fruto com fruto;","Mancinelli, WS; Engels, ME; Smidt, EC","2012","2748","2010","06","21","Brasil","Santa Catarina","Florianópolis","Vargem Grande.","-48.43","-27.4791667",NA,"211","211","FURB34235",NA,"FURB34235","-48.4300000","-27.4791667","04",NA,NA,NA,NA
"11","2020-10-14 10:03:51-03","FURB","FURB","31119","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.",NA,"Epífita IFFSC e466c (Acima de 4m) - sobre forófito 1c Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: epífita de arbórea; Fruto verde;","Mancinelli, WS; Engels, ME; Smidt, EC","2012","2738","2010","06","10","Brasil","Santa Catarina","Botuverá","Cinema.","-49.23","-27.27",NA,"569","569","FURB34234",NA,"FURB34234","-49.2300000","-27.2700000","04",NA,NA,NA,NA
"12","2020-10-14 10:03:51-03","FURB","FURB","31156","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Cadorin, T.J.; Grosch, B. & Zimmermann, R.",NA,"Epífita IFFSC e8004b (Acima de 4m), forófito 3. Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","Mancinelli, WS; Engels, ME; Smidt, EC","2012","2693","2010","06","19","Brasil","Santa Catarina","Florianópolis","Morro da Lagoa.","-48.4755556","-27.5766667",NA,"444","444","FURB34237",NA,"FURB34237","-48.4755556","-27.5766667","04",NA,NA,NA,NA
"13","2019-11-08 08:54:12-03","FURB","FURB","36259","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Caetano, J.O.",NA,NA,"Caetano, JO","2011",NA,"2011","07","23","Brasil","Santa Catarina","Benedito Novo","BR-477 - Alto Benedito.","-49.3988889","-26.7830556",NA,"283","283","FURB02663",NA,"FURB02663","-49.3988889","-26.7830556","08","15",NA,NA,NA
"14","2019-11-08 08:54:12-03","FURB","FURB","40443","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Funez, L.A.",NA,NA,"Siqueira, CE","2013","1709","2013","02","06","Brasil","Santa Catarina","Blumenau","RPPN Bugerkopf, topo.","-49.0797223","-27.0086111",NA,"510","510","FURB34232",NA,"FURB34232","-49.0797223","-27.0086111","03","19",NA,NA,NA
"15","2020-12-21 16:38:13-03","MBM","MBM","401053","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Acianthera","bragae","Acianthera bragae","(Ruschi) F.Barros","Brotto, M.L.; Barboza, E.; Barboza, E.",NA,"Epífita no início da copa da árvore (aprox. 15m). Flor tubular com metade basal de cor vinosa e apical de cor acinzentada, interior do tubo de cor vinosa.; Floresta Ombrófila Densa Montana.","Smidt, E.C.","2015","2112","2015","10","27","Brazil","Paraná","Adrianópolis","Parque Estadual das Lauráceas","-48.713056","-24.854417",NA,"877","877","MBM401053",NA,"MBM401053","-48.713056","-24.854417","12","03","Southern America",NA,NA
"16","2020-12-21 16:38:44-03","MBM","MBM","5025","PreservedSpecimen","Plantae",NA,NA,NA,"Orchidaceae","Physosiphon","pubescens","Physosiphon pubescens","B. Rodr.","Hatschbach, G.",NA,"Epífita.","Pabst, G.",NA,"15147","1966","11","20","Brazil","Paraná","São José dos Pinhais","Colônia Santos Andrade","-49.2064018249512","-25.5347003936768","45291",NA,NA,"MBM005025","auto",NA,NA,NA,NA,NA,"Southern America",NA,NA
