"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","dayIdentified","individualCount","fieldNumber","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","805307","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.","J. F. Pruski","M. Sobral","4336","1985","09","South America","Brazil","Rio Grande do Sul","Cerro Agudo, Agudo.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800185' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805307","NY00805307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","805305","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.","J. F. Pruski","F. J. Fernández Casas","FC3718","1980","09","South America","Paraguay","Itapúa","Cerca de Yatytay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800173' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805305",NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","805308","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.",NA,"M. Sobral","5951","1988","11","South America","Brazil","Rio Grande do Sul","Estrada Faxinal do Soturno-Nova Treviso. Cerro Comprido, Faxinal do Soturno","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805308","NY00805308_01",NA,"-53.57","-29.53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-27 13:03:00-03","NY","NYBG","805310","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla",NA,NA,"T. M. Pedersen","16279","1997","04","South America","Uruguay","Salto","Paso Potrero","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800214' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805310",NA,"05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","805309","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.",NA,"L. B. Smith","12542","1964","10","South America","Brazil","Santa Catarina","Guatambú.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800219' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805309","NY00805309_01","15","-52.75","-27.1","Chapecó","350","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","805306","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.","J. F. Pruski","I. Guerra","4687","1988","10","South America","Brazil","Rio Grande do Sul","Carlos Barbosa - Arco Verde","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=800182' target='other'> <mi>dwc_moreinfo</mi></a>","NY00805306","NY00805306_01","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-02-18 09:28:53-03","UNESP-IBB","BOTU","7362","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.","Fernandes, A.C.",NA,"9","1979","12",NA,"Brasil","São Paulo","Ponte Grande na Serra do Itapeva",NA,NA,"BOTU007362",NA,"12",NA,NA,"Mogi das Cruzes",NA,NA,"2013","11","9999","9999",NA,NA,NA,NA,NA,NA
"8","2020-02-27 21:09:03-03","PUCPR","HUCP","22617","S","Plantae","Eudicotiledonea",NA,"Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Bittencourt) C. Presl","Barboza, E","Lozano, E; Petean, MP","799","2011","11",NA,"Brasil","São Paulo",NA,NA,NA,"HUCP00007783","HUCP00007783","26","-46.9099998474121","-23.6000003814697","Cotia",NA,NA,NA,NA,NA,NA,"23869","auto",NA,NA,NA,NA
"9","2019-10-09 11:11:01-03","UFBA","ALCB","128053","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt.) R.M.King & H.Rob.","Cordeiro, J","Caxambu, MG; Siqueira, EL; Chagas, MP","6843","2015","08","Southern America","Brasil","Paraná","Estação Ecológica Municipal Colombo.",NA,"ca. 2 m, semi-ciófila. Capítulos alvos.; Relevo: ondulado. Vegetação: Floresta Ombrófila Mista Montana.","ALCB045207","ALCB045207","27","-52.238611","-24.748611","Mato Rico","699","699","2017",NA,"-52.238611","-24.748611",NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:24:52-03","UNICAMP","UEC","34612","S","Plantae","Magnoliopsida",NA,"Asteraceae","Neocabreria","malachophylla","Neocabreria malachophylla","(Klatt) R.M.King & H.Rob.","Esteves, RL","Brown Jr, KS","15686","1983","12",NA,"Brazil","São Paulo","Bragança Paulista, SP.Km 26,7 Estrada de Amparo, 1200 m, subida de serra na caixa d' água a NE da estrada.",NA,"Arbusto alto, flores lilases claro.; Mata mexida.","UEC162130","UEC162130","31","-46.5400009155273","-22.9500007629395","Bragança Paulista",NA,NA,"2002","05",NA,NA,"17597","auto","10",NA,NA,NA
