"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","year","month","day","county","minimumElevationInMeters","maximumElevationInMeters","decimalLongitude","decimalLatitude","imagecode","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","dayIdentified","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:40:19-03","E","E","296747","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","isotype","Glaziou, Auguste Francois Marie","E. Tropical South America","BR","Rio de Janeiro","S. Christovão","herbarium specimen of unspecif","BGBASE:314881","<a href=http://data.rbge.org.uk/herb/E00296747 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00296747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","809959","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"M. Saldías Paz","South America","Bolivia","Santa Cruz","San Pablo, cerca de 60 km al NW de Concepción, sobre el camino a Monte Verde","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2577' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809959","Magnoliophyta","Ericales","R.Knuth","S. A. Mori","2532","1993","05","19","Ñuflo de Chávez","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","723","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","isotype","A. F. M. Glaziou","South America","Brazil","Rio de Janeiro",NA,"sheet",NA,"Two isotypes at NY, the other is barcode 345536. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=197737' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000723","Magnoliophyta","Ericales","R.Knuth",NA,"13883",NA,NA,NA,NA,NA,NA,"-43.33","-22.92","NY00000723_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00698510","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"M. J. Justiniano","South America","Bolivia",NA,"Concesión La Chonta a 20 km del aserradero, en el bloque de extracción de 97'","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00698510","Magnoliophyta","Ericales","R.Knuth","S. A. Mori","10","1997","10","01",NA,NA,NA,"-62.97","-15.75","NY00698510_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2423156","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"H. C. de Lima","South America","Brazil","Espírito Santo","Estrada para Ibituba, km 8, em frente ao Sitio da Fantasia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685373' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423156","Magnoliophyta","Ericales","R.Knuth",NA,"7847","2014","10","19","Baixo Guandu","62",NA,"-41.0133","-19.5381","NY02423156_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00698509","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"M. J. Justiniano","South America","Bolivia","Santa Cruz","Aserradero Nueva Esperanza a 15 km de concepción camino a San Javier.","sheet",NA,"This collection has duplicate sheets at NY. The other sheet is bar code 809960 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=830716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00698509","Magnoliophyta","Ericales","R.Knuth","S. A. Mori","12","1997","10","15","Ñuflo de Chávez",NA,NA,NA,NA,"NY00698509_01 NY00698509_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","809961","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"M. J. Justiniano","South America","Bolivia","Santa Cruz","Aserradero Nueva Esperanza a 15 km de concepción camino a San Javier.","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=811503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809961","Magnoliophyta","Ericales","R.Knuth","S. A. Mori","12","1997","10","15","Ñuflo de Chávez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2423161","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"H. C. de Lima","South America","Brazil","Espírito Santo","Estrada para Ibituba, km 8, em frente ao Sitio da Fantasia.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685378' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423161","Magnoliophyta","Ericales","R.Knuth",NA,"7847","2014","10","19","Baixo Guandu","62",NA,"-41.0133","-19.5381","NY02423161_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","809957","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis",NA,"M. J. Justiniano","South America","Bolivia","Santa Cruz","Concesión La Chonta a 20 km del aserradero en bloque de estracción 97.","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2566' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809957","Magnoliophyta","Ericales","R.Knuth","S. A. Mori","8",NA,NA,NA,"Guarayos",NA,NA,"-62.97","-15.75","NY00809957_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","345536","PreservedSpecimen","Plantae","Lecythidaceae","Cariniana","ianeirensis","Cariniana ianeirensis","isotype","A. F. M. Glaziou","South America","Brazil","Rio de Janeiro","S. Christovão [São Christovão]","sheet",NA,"Colelction Date on the label: 10 -8b-1882 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=249368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00345536","Magnoliophyta","Ericales","R.Knuth",NA,"13883","1882","10","10",NA,NA,NA,"-43.33","-22.92","NY00345536_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
