"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","previousCatalogNumber","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","class","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00856749","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","J. F. B. Pastore","H. S. Irwin","25798","1970","01","31","South America","Brazil","Minas Gerais","Serra dos Óculos, ca. 55 km N.E. of Patrocínio","-46.8","-18.66669","1050","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=930922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00856749","NY00856749_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","784324","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","J. F. B. Pastore","G. G. Hatschbach","27731","1971","11","11","South America","Brazil","Minas Gerais","Rod.Fernao Dias.","-44.1994","-20.1433",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710141' target='other'> <mi>dwc_moreinfo</mi></a>","NY00784324","NY00784324_01","Brumadinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:43:25-03","EAO","IAN","24986","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","juncoides","Polygala juncoides","Chodat",NA,"Lundell, CL","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN024986","IAN024986_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-08 17:43:25-03","EAO","IAN","26224","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","Benn.",NA,"Pohl, RW","377",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN026224","IAN026224_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-20 21:19:06-03","UFV","VIC","43300","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","V.F.Dutra & F.C.P.Garcia",NA,"Simon, M. .F.; et al.","1945","2013","08","21",NA,"Brasil","Minas Gerais","Estrada Vicinal entre Delfinópolis e Condominio de","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Flores roxas, freguente no local.","VIC043300","VIC043300","São Roque de Minas","57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:19:06-03","UFV","VIC","43309","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","V.F.Dutra & F.C.P.Garcia",NA,"Simon, M. .F.; et al.","1929","2013","08","20",NA,"Brasil","Minas Gerais","Fazenda do Ézio, a 4 km a Norte de Delfinópolis","-46.3657989501953","-20.2453002929688",NA,NA,NA,"Erva ereta de 50 cm, flores roxas.","VIC043309","VIC043309","São Roque de Minas","57119","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-27 16:44:17-03","UFSC","CTBS","1836","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Castro, N.M.","483","1995","03","24",NA,"Brasil","Minas Gerais","Estrada Lagoa Santa- Conceição do Mato Dentro. km 108.",NA,NA,NA,NA,NA,"Herbácea com flores lilás.",NA,NA,"Serra do cipó",NA,NA,"HUFU 12263",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-27 16:44:17-03","UFSC","CTBS","1827","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L; Pacheco, R.A.; Nakajima, J.N.; & Silva, S.M.","406","2002","07","05",NA,"Brasil","Minas Gerais","Trilha Escada de Pedras.","-46.633333","-20.434444","841","841",NA,"Cerrado rupestre. Herbácea 0,6m. Cálice e corola lilás, crista amarela.",NA,NA,"Delfinópolis",NA,NA,"HUFU 29541","2016","08","09","46°38'00W","20°26'04S",NA,NA,NA,NA
"9","2020-02-27 16:44:17-03","UFSC","CTBS","1903","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L.; Romero, R.; Pacheco, A.; Nakajima, J.N. & Faria, C.A.","6683","2003","03","09",NA,"Brasil","Minas Gerais","Estrada para gurita.","-46.871111","-20.281111","816","816",NA,"Cerrado rupestre. Herbácea 0,3m. Corola púrpura.",NA,NA,"Delfinópolis",NA,NA,"HUFU 30808","2016","08",NA,"46°52'16W","20°16'52S",NA,NA,NA,NA
"10","2020-02-27 16:44:17-03","UFSC","CTBS","1904","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L.; Romero, R.; Pacheco, A.; Nakajima, J.N. & Faria, C.A.","6451","2002","10","11",NA,"Brasil","Minas Gerais","Trilha escada de pedras, faz. josé antunes.","-46.741111","-20.301111","841","841",NA,"Campo rupestre. Herbácea 0,5m. Cálice e corola magenta, crista creme.",NA,NA,"Delfinópolis",NA,NA,"HUFU 28822","2016","08",NA,"46°44'28W","20°18'04S",NA,NA,NA,NA
"11","2020-02-27 16:44:17-03","UFSC","CTBS","1906","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L.; Romero, R.; Pacheco, A.; Nakajima, J.N. & Faria, C.A.","487","2003","03","10",NA,"Brasil","Minas Gerais","Trilha escada da pedra faz. josé antunes.","-46.741111","-20.301111","841","841",NA,"Campo rupestre, solo hidromórfico. Herbácea 0,4m. Cálice e corola púrpura.",NA,NA,"Delfinópolis",NA,NA,"HUFU 30941","2016","08",NA,"46°44'28W","20°18'04S",NA,NA,NA,NA
"12","2020-02-27 16:44:17-03","UFSC","CTBS","1912","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L.; Romero, R.; Pacheco, A. & Nakajima, J.N.","6279","2002","04","10",NA,"Brasil","Minas Gerais","Estrada para casa branca. Faz. paraíso, sete cidades.","-46.741111","-20.301111","1178","1178",NA,"Campo rupestre. Herbácea 0,3m. Cálice e corola púrpura, crista amarela.",NA,NA,"Delfinópolis",NA,NA,"HUFU 26836","2016","08",NA,"46°44'28W","20°18'04S",NA,NA,NA,NA
"13","2020-02-27 16:44:17-03","UFSC","CTBS","1907","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L.; Romero, R.; Pacheco, A.; Nakajima, J.N.; Hatorri, E.K.O & Santos, P.A.M.","6978","2003","11","26",NA,"Brasil","Minas Gerais","Faz. Zé Antunes- escada de pedras.","-46.741111","-20.301111","841","841",NA,"Campo rupestre. Herbácea 0,5m . Cálice e corola magenta, crista estaminal amarela.",NA,NA,"Delfinópolis",NA,NA,"HUFU 35688","2016","08",NA,"46°44'28W","20°18'04S",NA,NA,NA,NA
"14","2020-02-27 16:44:17-03","UFSC","CTBS","1913","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Volpi, R.L.; Silva, S.M.; Pacheco, A. & Nakajima, J.N.","3279","2002","12","04",NA,"Brasil","Minas Gerais","Paraíso Selvagem, trilha para salto solitário.","-46.741111","-20.301111","845","845",NA,"Campo rupestre. Herbácea ca. 0,5m. Cálice e coróla lilás, crista creme.",NA,NA,"Delfinópolis",NA,NA,"HUFU 29493","2016","08",NA,"46°44'28W","20°18'04S",NA,NA,NA,NA
"15","2020-02-27 16:44:17-03","UFSC","CTBS","1911","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Romero, R.; Lopes, D.S.; Oliveira, C.F.; Pinese, O.P. & Martins, J.M.E.","7103","2004","09","14",NA,"Brasil","Minas Gerais","Trilha da escada de pedras.","-46.790556","-20.330556","907","907",NA,"Campo sujo seco. Erva 1,20m. Corola roxa.",NA,NA,"Delfinópolis",NA,NA,"HUFU 37952","2016","08",NA,"46°47'26W","20°19'50S",NA,NA,NA,NA
"16","2020-02-27 16:44:17-03","UFSC","CTBS","1901","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Romero, R.; Nakajima, J.N.; Rezende, T.M.; Silva, M.A.O.; Vargas, B.C.","7277","2005","11","08",NA,"Brasil","Minas Gerais","Estrada para Vão da Gurita.","-46.871111","-20.281111","816","816",NA,"Campo rupestre. Erva ca. 0,4m. Corola purpúrea.",NA,NA,"Delfinópolis",NA,NA,"HUFU 44054","2016","08",NA,"46°52'16W","20°16'52S",NA,NA,NA,NA
"17","2020-02-27 16:44:17-03","UFSC","CTBS","1902","PreservedSpecimen","Plantae",NA,NA,"Polygalaceae","Polygala","nudicaulis","Polygala nudicaulis","A.W.Benn.","Pastore, J.","Nakajima, J.N.; Romero, R.; Andrade, T.; Casarotti, S.N.; Machado, A.B. & Rocha, F.A.","3839","2004","09","14",NA,"Brasil","Minas Gerais","Trilha da escada de pedras.","-46.7925","-20.331389","841","841",NA,"Campo rupestre. erva, ca 0,3m. Cálice e corola púrpura.",NA,NA,"Delfinópolis",NA,NA,"HUFU 38011","2016","08",NA,"46°47'33W","20°19'53S",NA,NA,NA,NA
