"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","stateProvince","yearIdentified","day","monthIdentified","dayIdentified","individualCount","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1104877","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Ditassa","hemipogonoides","Ditassa hemipogonoides","E.Fourn.","isotype","L. Riedel","977","1824","11","South America","Brazil","[From protologue: Brazil :In locis petrosis Serra da Lapa, m. Novembri 1824: Riedel n. 977.]","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1298088' target='other'> <mi>dwc_moreinfo</mi></a>","NY01104877","NY01104877_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","971848","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"A. F. M. Glaziou","19637","1892","04","South America","Brazil","Rio das Pedras.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1094717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971848","NY00971848_01","S. Liede","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-01-14 15:21:54-03","MN","R","11753","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E. Fourn.) T.U.P. Konno & Rapini",NA,"Glaziou, A.F.M.","19637","1892","04",NA,"Brasil","Serra do Cipó",NA,"Plantas do Brasil Central","R000011753","R000011753_001","Rapini, A.","Minas Gerais","2010","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-11-05 16:43:07-03","UFOP","OUPR","830","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini",NA,"Schwacke, C.A.W.","8181","1892","04",NA,"Brasil","Serra do Cipó",NA,NA,NA,NA,"J.Fontella","Minas Gerais","2012","22","11","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-24 20:19:40-03","MNHN","RECOLNAT_MNHN_P","P00140195","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini","isotype","Riedel, L.",NA,NA,NA,NA,"Brésil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00140195' target='other'> <mi>dwc_moreinfo</mi></a>","P00140195","P00140195_01","Liede-Schumann & Meve",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-17 18:56:22-03","MNHN","RECOLNAT_MNHN_P","P00643421","PreservedSpecimen",NA,NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E.Fourn.) T.U.P.Konno & Rapini","isotype","Riedel, L.",NA,NA,NA,NA,"Brésil","Brasilia","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00643421' target='other'> <mi>dwc_moreinfo</mi></a>","P00643421","P00643421_01","Rapini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-11 11:31:45-03","UFMG","BHCB","109","PreservedSpecimen","Plantae","Dicotyledon",NA,"Apocynaceae","Ditassa","hemipogonoides","Ditassa hemipogonoides","E.Fourn.",NA,"Schwacke, CAW","s.n.","1904",NA,"Southern America","Brasil","Serra do Cipó",NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2010-09-23 10:35:00-03","MO","MOBOT","100305946","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E. Fourn.) T.U.P. Konno & Rapini","Holotype","Ludwig Riedel","Riedel 977","1824","11","South America","Brazil","Serra da Lapa",NA,NA,NA,NA,NA,"Minas Gerais",NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2011-03-22 11:59:00-03","MO","MOBOT","428803","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides","(E. Fourn.) T.U.P. Konno & Rapini",NA,"Ludwig Riedel","Riedel 1124",NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-10 10:10:07-03","FZB-BH","BHZB","8636","S","Plantae",NA,NA,"Apocynaceae","Minaria","hemipogonoides","Minaria hemipogonoides",NA,NA,"Andrade, I.R. et al.","382","2012","05",NA,"Brasil","RPPN Brumas do Espinhaço e Ermo dos Gerais,",NA,"Ponto 105, 635291 7894912 1478m prostrada.Duplicata doada para Herbário HUEFS",NA,NA,"Rapini, , A.","MG","2012","16","10",NA,NA,"Santana do Riacho","-43.714444","-19.034167","43W 42' 52","19S 02' 03","1478","1478",NA,NA,NA,NA
