"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00995907","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","L. Riedel","1256","1828","01","South America","Brazil","Mato Grosso","Rio Guarporé.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995907","NY00995907_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1017638","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Tamberlik","s.n.",NA,NA,"South America","Brazil",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221265' target='other'> <mi>dwc_moreinfo</mi></a>","NY01017638","NY01017638_01","P. Acevedo-Rodríguez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00995905","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","H. S. Irwin","17595","1966","06","South America","Brazil","Goiás","Ca. 78 km. S. E. of Aragarças, road to Piranhas. Drainage of the Upper Rio Araguaia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098816' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995905","NY00995905_01","P. Acevedo-Rodríguez","22","Piranhas","-51.97","-16.42","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00995906","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","C. E. O. Kuntze","s.n.","1892","07","South America","Brazil","Mato Grosso","Villa Maria.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098819' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995906","NY00995906_01","L. A. T. Radlkofer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00995908","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","L. Riedel","1286","1824","01","South America","Brazil","Mato Grosso","Rio Guarporé.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098826' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995908","NY00995908_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","02431551","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Pohl","2512",NA,NA,"South America","Brazil",NA,"Ad Rio Claro e Caldas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2979374' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431551","NY02431551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00995909","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","B. M. T. Walter","1171","1992","04","South America","Brazil","Goiás","Ponte sobre o Rio Bagagem; distante 32.5 m da cidade de Niquelândia. Estrada Niquelândia/ Colinas do Sul. Planta frequente nas bordas de mata da região proxima ao local de coleta. Bacia de inundação da UHE Serra da Mesa.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098830' target='other'> <mi>dwc_moreinfo</mi></a>","NY00995909","NY00995909_01","P. Acevedo-Rodríguez","12","Niquelândia","-48.2","-14.37","450","450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","822233","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","W. Hoehne","s.n.","1950","04","South America","Brazil","São Paulo",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=910414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00822233","NY00822233_01","P. Acevedo-Rodríguez","13","Jales","-50.54","-20.2603",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:42-03","UNESP-IBB","BOTU","12392","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Gemtchújnicov, I.D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BOTU012392",NA,"Hoehne",NA,NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:49:00-03","EAO","IAN","125237","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Belém, RP","3594","1968","05","Southern America","Brasil","Bahia","Encruzilhada; margem do rio Pardo.",NA,"Cipó; flores brancas; estames brancos; anteras amarelas.","IAN125237",NA,"Somner, GV","23",NA,NA,NA,NA,NA,NA,NA,"1988","01",NA,NA,NA,NA,NA,NA,NA
"11","2021-03-30 12:49:00-03","EAO","IAN","135432","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Irwin, HS; Souza, R","17595","1966","06","Southern America","Brasil","Goiás","Creek margin, ca. 78km SE of Aragarças, road to Piranhas.",NA,"Liana ca. 5m long. Fruit green.","IAN135432",NA,NA,"22",NA,NA,NA,"700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-08 17:43:48-03","EAO","IAN","7323","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Pohl, RW","686",NA,NA,"Southern America","Brasil",NA,NA,NA,NA,"IAN007323","IAN007323_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-30 12:49:00-03","EAO","IAN","35444","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Santoro, J","649","1936","06","Southern America","Brasil","São Paulo","Fazenda Santa Elisa (cerca).",NA,"Trepadeira.","IAN035444","IAN035444 IAN035444_e IAN035444_e1","Somner, GV","16","Campinas","-47.060001373291","-22.8999996185303",NA,NA,NA,NA,"1988","01","23900","auto",NA,NA,NA,NA,NA
"14","2019-10-09 11:24:48-03","UFBA","ALCB","113514","PreservedSpecimen","Plantae","Dicotyledon",NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Coulleri, JP; Dematteis, M; Ferrucci, MS; Rojas Landivar, VD","3","2010","08","Southern America","Bolívia","Santa Cruz","12km W de San Javier, camino a San Ramón. 489 m.s.n.m.",NA,"Frutos maduros, sobre alambrado.","ALCB064115",NA,"Coulleri, JP","05","Ñuflo de Chávez","-62.510833","-16.308333",NA,NA,"-62.510833","-16.308333","2010",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-02-08 10:33:16-03","NBC","NL-BOTANY","L.4288598","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Macedo (Brazil) A",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4288598 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4288598","NL-L4288598",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2020-02-08 10:33:16-03","NBC","NL-BOTANY","U 0102868","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Raes N; Iraipi G",NA,"2003","06","Southern America","Bolivia","Santa Cruz",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200102868 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0102868",NA,"Raes N","12",NA,"-62.916667","-15.783333",NA,NA,"-62.916667","-15.783333",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-11-04 11:19:36-03","ESALQ","ESA","99538","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa",NA,"Santos, A.P.M.","261.0","2004","02",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA099538","ESA099538","Ferruci, M.S.","17","Uberlândia","-48.2771987915039","-18.9186000823975",NA,NA,NA,NA,"2006","02","58223","auto",NA,"15",NA,NA,NA
"18","2021-01-14 15:33:33-03","MN","R","8262","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Serjania","platycarpa","Serjania platycarpa","Benth.","Glaziou, A.F.M.","20859","1895","07",NA,"Brasil","Goiás",NA,NA,"Plantas do Brasil Central","R000008262","R000008262_001",NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
