"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","fieldNumber","verbatimLongitude","verbatimLatitude","class","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-15 16:37:00-03","NY","NYBG","1842922","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking","paratype","A. C. Brade","18087[= herb. RB 56709]","1946","05","06","South America","Brazil","Espírito Santo","Vitória","Vitória. Vila Velha","-40.3377990722656","-20.3194007873535","15291","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2078564' target='other'> <mi>dwc_moreinfo</mi></a>","NY01842922","NY01842922_01","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-10 15:32:59-03","UFES","VIES","35252","S","Plantae",NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Cardoso, W.C.; Santos, P.C. & Borges, W.S.","51","2011","12","17",NA,"Brasil","Espírito Santo","Vila Velha","Morro do Moreno.","-40.2924995422363","-20.3297004699707","27156",NA,NA,"VIES035252","VIES035252","auto","W.C. Cardoso","2020","08","04",NA,NA,NA,NA,NA,NA
"3","2015-10-12 08:17:09-03","MNHN","RECOLNAT_MNHN_P","P02141364","PreservedSpecimen",NA,NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking","type","Glaziou, A.",NA,NA,NA,NA,NA,"Brésil",NA,NA,"Rio Janeiro",NA,NA,NA,"hb","Herbier de A. Glaziou <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02141364' target='other'> <mi>dwc_moreinfo</mi></a>","P02141364","P02141364_01",NA,"Hekking",NA,NA,NA,"12425",NA,NA,NA,NA,NA
"4","2015-09-05 06:43:33-03","MNHN","RECOLNAT_MNHN_P","P04732286","PreservedSpecimen",NA,NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Galvão, R.",NA,"1880","4","1",NA,"Brasil","São Paulo","Itaóca",NA,"-48.8400001525879","-24.6399993896484","11789","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04732286' target='other'> <mi>dwc_moreinfo</mi></a>","P04732286","P04732286_01","auto",NA,NA,NA,NA,"422",NA,NA,NA,NA,NA
"5","2021-02-18 12:37:24-03","MBML","MBML-HERBARIO","44583",NA,"Plantae",NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking","PARATIPO","A. C. Brade; et al","18087","1946","05","06",NA,"Brasil","Espírito Santo","Vitória","Vila Velha","-40.3377990722656","-20.3194007873535","15291",NA,NA,"MBML044583","MBML044583","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-07 16:08:51-03","UENF","HUENF","10581","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Souza, T.P.; Areias, I.O.R.; Reis, M.P.",NA,"2011","02","07",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca.","-41.448056","-21.797222",NA,NA,"Torre 1, próximo à parcela 10 da Isabela","HUENF00011224",NA,NA,"T.P. Souza","2012",NA,NA,NA,"41º26'53''W","21º47'50''S",NA,NA,NA
"7","2021-02-09 10:14:19-03","UENF","HUENF","10475","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Souza, T.P.","330","2013","04","08",NA,"Brasil","Rio de Janeiro","Campos dos Goytacazes","Maciço do Itaoca.","-41.3244018554688","-21.7541999816895","62761",NA,"Parcela 5","HUENF00011130",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-09 10:14:19-03","UENF","HUENF","10800","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Archanjo, K.M.P.A.","4158","2010","02","11",NA,"Brasil","Rio de Janeiro","Natividade","Fazenda Nestoda.","-41.9733009338379","-21.042200088501","18409",NA,"Cheiro ruim, parece fezes de gato; RPPN","HUENF00011453",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-25 10:12:55-03","CVRD","CVRD","14523","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Flores, T.B & Romão, G.O","1291","2012","08","29","América do Sul","BRASIL","ES","Conceição da Barra",NA,"-39.848517","-18.35215",NA,NA,"<ll>dwc_commonname:</ll> Capitão seco","CVRD014523",NA,NA,"Nilda Marquete","2013","10","01",NA,"39°50'911W","18°21'129S","Magnoliopsida",NA,NA
"10","2021-02-25 10:12:55-03","CVRD","CVRD","14609","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking",NA,"Folli, D.A.","7131","2013","11","05","América do Sul","BRASIL","ES","Jaguaré",NA,"-40.076099395752","-18.9055995941162","43085",NA,"<ll>dwc_commonname:</ll> Capitão seco","CVRD014609",NA,"auto","Geovane S. Siqueira","2016","06","14",NA,NA,NA,"Magnoliopsida","68","68"
"11","2019-11-13 11:33:00-03","USP","SPF","203279","PreservedSpecimen","Plantae",NA,NA,"Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz. ex Hekking","paratype","Brade, AC","18087","1946","05","06",NA,"Brasil","Espírito Santo","Vitória",NA,"-40.3377990722656","-20.3194007873535","15291",NA,NA,"SPF00203279",NA,"auto","Brade, AC","1983",NA,NA,NA,NA,NA,NA,NA,NA
"12","2019-10-07 09:33:03-03","UEFS","HUEFS","251531","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Violaceae","Rinorea","ramiziana","Rinorea ramiziana","Glaz.ex Hekking",NA,"Peixoto, A.L.","1766","1983","04","20",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale do Rio Doce (particular).","-40.0722007751465","-19.3910999298096","48094",NA,"Sub Bosque da mata alta.","HUEFS0251531","HUEFS0251531","auto","J.F.C.Oliveira","2019","09",NA,NA,NA,NA,"Rosanae",NA,NA
