"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","individualCount"
"1","2016-09-30 08:51:00-03","NY","NYBG","1551162","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A. Quinet","A. C. S. Cavalcanti","288","2008","10","19","South America","Brazil","Espírito Santo","Floresta de restinga, próximo a área protegida pela marinha, estrada de Itaáca-Itapemirim, rodovia ES-060.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1912076' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551162","NY01551162_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02679556","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"C. Farney","4459","2001","12","03","South America","Brazil","Rio de Janeiro","Serra de Sapiatiba.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3181007' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679556","NY02679556_01","(Meisn.) Mez","São Pedro da Aldeia","-42.1027984619141","-22.8391990661621","20879","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","02679548","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"C. Farney","4174","2000","09","11","South America","Brazil","Rio de Janeiro","Serra de Sapiatiba, estrada para a Torre, mata de encosta,.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3180999' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679548","NY02679548_01","(Meisn.) Mez","São Pedro da Aldeia","-42.1027984619141","-22.8391990661621","20879","auto","100","300",NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-10-21 19:49:00-02","NY","NYBG","355697","PreservedSpecimen","Plantae","Magnoliophyta","Laurales","Lauraceae","Oreodaphne","confertiflora","Oreodaphne confertiflora",NA,"L. Riedel","s.n.","1832","06",NA,"South America","Brazil",NA,"In campis arenosis circa Macahé.","sheet","Com. ex Hb. Marti Imp. Petrop. 1862 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=34268' target='other'> <mi>dwc_moreinfo</mi></a>","NY00355697","NY00355697_01",NA,NA,NA,NA,NA,NA,NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA
"5","2021-03-24 17:09:16-03","UFES","SAMES","2869","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","Quinet,A.","Cavalcanti,A.C.S.; DeSá,C.F.C.;Araújo,D.S.D.;Pereira,M.C.A.","271","2008","10","17",NA,"Brasil","Espírito Santo","Praia das Neves. NULL.",NA,"Árvore com cerca de 4 metros, de ramos enegrecidos; folhas cartáceas verdes glabras de face abaxial verde clara fosca e adaxial verde brilhosa; botões florais esverdeados.","SAMES02869",NA,"(Meisn.) Mez","Sul do Estado",NA,NA,NA,NA,NA,NA,NA,"2011","02","01",NA,NA,NA,NA
"6","2019-06-27 10:25:23-03","UFES","VIES","24468","S","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Gomes, J.M.L; Vervloet, R.R","4304","2011","05","30",NA,"Brasil","Espírito Santo","Barra do Riacho, ao lado do TABR.",NA,NA,"VIES024468","VIES024468","(Meisn.) Mez","Aracruz","-40.2733001708984","-19.8202991485596","37987","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-06-27 10:25:23-03","UFES","VIES","33247","S","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Moreira, L.N.","9","2007","07","02",NA,"Brasil","Espírito Santo","Floresta Nacional Pacotuba.",NA,NA,"VIES033247","VIES033247","(Meisn.) Mez","Cachoeiro de Itapemirim","-41.1128005981445","-20.8488998413086","35694","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-06-29 09:30:36-03","UFRRJ","RBR","45991","S","Plantae",NA,NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora","A. Quinet","G.T.R. Alves","s/n","2014","02","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"RBR00045991",NA,"(Meisn.) Mez","São Pedro da Aldeia","-42.119722","-22.7925",NA,NA,"49","49",NA,"2018","05","23","42º7'11''W","22º47'33''S",NA,NA
"9","2013-04-01 09:18:49-03","IPT","BCTW","16372","S","Plantae","Magnoliophyta",NA,NA,"Ocotea","confertiflora","Ocotea confertiflora","Ida de Vattino","Mattos Filho, A. & Rizzini, C.T.","551","1972","07","09",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"(Meisn.) Mez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA
"10","2020-12-11 11:37:04-03","UFMG","BHCB","162317","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lauraceae","Ocotea","confertiflora","Ocotea confertiflora",NA,"Fanrey, C; Gomes, JC","4174","2000","09","11","Southern America","Brasil","Rio de Janeiro","Serra de Sapiatiba, estrada para a torre",NA,"Árvore de 6m alt.; folhas discolores verdes; folhas jovens vermelhas e frutos imaturos verdes. Floresta Estacional Semidecídua. Mata de encosta.; Árvore de 6m alt.; folhas discolores verdes; folhas jovens vermelhas e frutos imaturos ver","BHCB5524",NA,"(Meisn.) Mez","São Pedro da Aldeia","-42.1027984619141","-22.8391990661621","20879","auto","100","300",NA,"2012",NA,NA,NA,NA,NA,NA
