"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","individualCount","previousCatalogNumber","fieldNumber","sex","yearIdentified","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","573191","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.","P. J. M. Maas; H. Maas-van de Kamer","C. Figueiredo","238","1993","12","13","South America","Brazil","Acre","Xapuri","Reserva Chico Mendes. Seringal Floresta. Colocaçao Gafanhoto.","-68.5042","-10.6519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709758' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573191","NY00573191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","573522","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.","P. J. M. Maas","D. C. Daly","8720","1995","11","23","South America","Brazil","Acre","Tarauacá","Basin of Rio Juruá, Rio Tarauacá, left bank, Reserva Indígena Praia do Carapaná, Seringal Universo, Colocaçao Vai-quem-quer.","-71.2983","-8.4064","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709757' target='other'> <mi>dwc_moreinfo</mi></a>","NY00573522","NY00573522_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","26258","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"B. A. Krukoff","5315","1933","08","07","South America","Brazil","Acre","Sena Madureira","Basin of Rio Purus, near mouth of Rio Macauhan (tributary of Rio Yaco)","-68.72","-9.18","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=709760' target='other'> <mi>dwc_moreinfo</mi></a>","NY00026258","NY00026258_01 NY00026258_02","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","694744","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.","H. Rainer","D. C. Daly","10590","2000","12","10","South America","Brazil","Acre","Marechal Thaumaturgo","Basin of Rio Juruá, Rio Arara, right bank.","-72.7697","-9.0742","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=365139' target='other'> <mi>dwc_moreinfo</mi></a>","NY00694744","NY00694744_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:42:34-03","NBC","NL-BOTANY","L.1052693","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1052693 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1052693","NL-L1052693",NA,"Magnoliopsidae","-69.0","-9.333333","U 0050261 | Uw 19892",NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:42:34-03","NBC","NL-BOTANY","L.1052694","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1052694 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1052694","NL-L1052694","isotype","Magnoliopsidae","-69.0","-9.333333","Uw19892",NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:42:34-03","NBC","NL-BOTANY","L.1093944","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1093944 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1093944","NL-L1093944","isotype","Magnoliopsidae","-69.0","-9.333333",NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:42:34-03","NBC","NL-BOTANY","L.1093945","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1093945 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1093945","NL-L1093945","isotype","Magnoliopsidae","-69.0","-9.333333",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:42:34-03","NBC","NL-BOTANY","L.1093946","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1093946 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1093946","NL-L1093946","isotype","Magnoliopsidae","-69.0","-9.333333",NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U 0000388","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200000388 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0000388","NL-U0000388","isotype","Magnoliopsidae","-69.0","-9.333333","15859 A",NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U 0050262","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200050262 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0050262",NA,NA,"Magnoliopsidae","-69.0","-9.333333","Uw 19892",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U 0263114","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Krukoff BA",NA,"1933","08","07","Southern America","Brazil",NA,NA,"Basin of Rio SolimoesTerritory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco)","-69","-9.333333",NA,"On terra firma.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200263114 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0263114",NA,NA,"Magnoliopsidae","-69.0","-9.333333","Uw19892",NA,NA,NA,NA,NA,NA,NA
"13","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U.1085489","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.","Maas PJM; Westra LYT","Daly DC; et al.",NA,"1995","11","23","Southern America","Brazil","Acre",NA,"Brazil, Acre, Mun. Tarauacá, Basin of Rio Juruá, Rio Tarauacá, left bank, Reserva Indigena Praia do Caparaná, Seringal Universo, Colocacao Vai-quem-quer","-71.292333","-8.403833",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1085489 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1085489","NL-U1085489",NA,"Magnoliopsidae","-71.292333","-8.403833","U 0012025",NA,NA,NA,NA,NA,NA,NA
"14","2020-02-08 09:42:34-03","NBC","NL-BOTANY","U.1085490","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Figueiredo C",NA,"1993","12","13","Southern America","Brazil","Acre",NA,"Brasil. Acre, Mun. Xapuri: Reserva Chico Mendes.Seringal Floresta. Colocaçao Gafanhoto.",NA,NA,NA,"Terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1085490 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1085490","NL-U1085490",NA,"Magnoliopsidae",NA,NA,"U 0119722",NA,NA,NA,NA,NA,NA,NA
"15","2016-02-02 14:37:44-02","BGBM","B","B 10 0243145","S","Plantae",NA,NA,"Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"B. A. Krukoff","5315","1933","08","07","Middle and South America","Brazil",NA,NA,"Basin of Rio Purus, Territory of Acre: near mouth of Rio Macauhan (tributary of Rio Yaco).",NA,NA,NA,"B.A. Krukoff's 4th Expedition to Brazilian Amazonia <a href=http://herbarium.bgbm.org/object/B100243145 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100243145","B100243145","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2013-01-17 17:19:00-02","MO","MOBOT","3357122","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","calcarata","Annona calcarata","(R.E. Fr.) H. Rainer","H. Rainer","Douglas C. Daly","Daly 8720","1995","11","23","South America","Brazil","Acre",NA,"Mun. Tarauacá: Basin of Rio Juruá, Rio Tarauacá, left bank, Reserva Indígena Praia do Carapaná, Seringal Universo, Colocação Vai- quem-quer. Baixio -- forest subjected to periodic flooding in wet season.","-71.29833","-8.40638",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2013-01-17 17:20:00-02","MO","MOBOT","3393511","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","calcarata","Annona calcarata","(R.E. Fr.) H. Rainer","H. Rainer","Douglas C. Daly","Daly 10590","2000","12","10","South America","Brazil","Acre",NA,"Mun. Marechal Thaumaturgo: Basin of Rio Juruá, Rio Arara, right bank. Forest on relatively level terraces of different ages and elevation, open canopy. Some presence of tuboca (Guadua sarcocarpa). Sandy clay soil.","-72.76972","-9.07416",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2013-01-17 17:18:00-02","MO","MOBOT","1802884","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Annona","calcarata","Annona calcarata","(R.E. Fr.) H. Rainer","H. Rainer","Boris A. Krukoff","Krukoff 5315","1933","8","7","South America","Brazil","Acre",NA,"Basin of Rio Purus. On terra firma. Near mouth of Rio Macauhan (tributary of Rio Yaco).","-69","-9.33333",NA,NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-09-12 05:00:02-03","US","US","1662900","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E. Fr.",NA,"B. A. Krukoff","5315","1933","8","7","South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan, tributary of Rio Yaco.","-69","-9.3333",NA,NA,"US00098828","US00098828_01","Isotype","Dicotyledonae",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","USw9486","PreservedSpecimen","Plantae",NA,"Magnoliales","Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E. Fr.",NA,"B. A. Krukoff","5315",NA,NA,NA,"South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan, basin of Rio Purus",NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"21","2019-09-04 18:40:07-03","F","FMNH-SEEDPLANTS","V0047905F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Annonaceae","Rollinia","calcarata","Rollinia calcarata",NA,NA,"B. A. Krukoff","5315","1933","8","7","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0047905F","V0047905F_01","Isotype","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-08-23 10:58:43-03","NHMLondon","NHM-LONDON-BOT","BM000554007","S","Plantae",NA,NA,"Annonaceae","Rollinia","calcarata","Rollinia calcarata","R.E.Fr.",NA,"Boris Alexander Krukoff; b.1898; d.1983; Krukoff","5315","1933","08","07",NA,"Brasil","Acre",NA,NA,NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/6d323155dd0d73bedfb1c7d9a60dd47683776f10/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Isotype",NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4978544",NA,NA,NA,NA,NA
"23","2020-09-18 09:32:28-03","UFAC","UFACPZ",NA,"PreservedSpecimen","Plantae",NA,"Gentianales","Loganiaceae","Rollinia","calcarata","Rollinia calcarata","Chatron, L W",NA,"Silveira, M","1467",NA,NA,NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2010-08-16 16:42:53-03","A","HU-HERB","A 00039646","PreservedSpecimen","Plantae",NA,NA,"Annonaceae","Rollinia","calcarata","Rollinia calcarata","R. E. Fries",NA,"B. A. Krukoff","5315","1933","8","7","South America","Brazil","Acre",NA,"Near mouth of Rio Macauhan (tributary of Rio Yaco), 9°20'S, 69°W",NA,NA,"Sheet",NA,NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,"5315","undetermined",NA,NA,NA
"25","2014-09-23 10:56:39-03","G","G","G00226066","S","Plantae",NA,NA,"Annonaceae","Rollinia","calcarata","Rollinia calcarata","R. E. Fr.","Maas, P. J. M. & L. Y. T. Westra","Krukoff, B. A.","5315","1933","08","07","AMERIQUE DU SUD","Brazil","Acre",NA,NA,"-70.3225","-9.62305556",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: http://www.ville-ge.ch/musinfo/bd/cjb/chg/adetail.php?id=195473&base=img&lang=en","G00226066","G00226066","ISOTYPUS of Rollinia calcarata R. E. Fr.",NA,"-70.3225","-9.62305556",NA,NA,NA,NA,NA,"1988","01","01"
