"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"1","2021-04-05 14:25:43-03","UNESC","CRI","14053","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","Renato Colares","2018","10","18","San e Michele","2010","06","14","Brasil","Santa Catarina","Urussanga","Santana","-49.3175","-28.522778","49º19'3''W","28º31'22''S","Habitat: Terrestre Habito: Herbácea","CRI012703",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:50-03","UNESC","CRI","4900","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","Jorge Waechter","1996","08","06","Vanilde Citadini-Zanette","1995","01","16","Brasil","Santa Catarina","Morro Grande",NA,"-49.721667","-28.800833","49º43'18''W","28º48'3''S",NA,"CRI005873","CRI005873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:43-03","UNESC","CRI","11082","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","M. Verdi","2010","04","28","M. Verdi; N.L. de Souza, G. Klemz & D.H. Klettenberg","2010","04","10","Brasil","Santa Catarina","São Martinho","Estrada Geral São Luiz/SC - 407.","-48.979722","-28.165278","48º58'47''W","28º9'55''S","Floresta Ombrófila Densa Habito: erva terrícola","CRI005874","CRI005874","4322","89","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","414860","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","R. Vásquez Martínez",NA,NA,NA,"I. G. Vargas Caballero","1993","03","03","Bolivia","Santa Cruz",NA,"Prov. Florida. Parque Nacional Amboro. Río San Rafael, 10 km al NE de Mariana; pasando la Yunga. Parcela de estudio y áreas aledañas","-63.8717","-18.0383",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414860","NY00414860_01","2044","1500","1500","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","414859","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","F. N. Rasmussen",NA,NA,NA,"P. K. H. Dusén","1911","02","06","Brazil","Paraná","Paranaguá","Alexandra, Morro de Pavon","-48.62","-25.57",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118922' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414859","NY00414859_01","11574",NA,NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","414857","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","O. Handro",NA,NA,NA,"O. Handro","1972","04","28","Brazil","São Paulo","Sao Paulo","Sao Paulo, Serra da Cantareira, mata do Horto Forestal","-46.63","-23.5403",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414857","NY00414857_01","2204",NA,NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","414858","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","F. N. Rasmussen",NA,NA,NA,"F. C. Hoehne","1927","06","06","Brazil","São Paulo","Serra Negra","Serra Negra, Sao Paulo","-46.700581","-22.588987",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118921' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414858","NY00414858_01","31593",NA,NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","414864","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze",NA,NA,NA,NA,"B. J. Manara","1976","09","18","Venezuela",NA,NA,"Cerro El Avila; cerca de la :aja Urajal (entre Loma Serrano y Quebrada Chacaíto).",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118925' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414864","NY00414864_01","s.n.","1300",NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","414863","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze",NA,NA,NA,NA,"O. del Castillo","1995","02","23","Peru","Pasco",NA,"Oxapamba; Pusacno, hills above lower reaches of Río Paurcatambo and headwaters of Río Chontabamba",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118924' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414863","NY00414863_01","7026","2115","2115","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","414861","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","F. N. Rasmussen",NA,NA,NA,"E. P. Killip","1922","07","29","Colombia","Caldas",NA,"Cordillera Central. Río Santa Rita, Salento",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414861","NY00414861_01","8982","1600","1800","Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","414862","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","G. Carnevali Fernández-Concha",NA,NA,NA,"E. M. Zardini","1988","11","01","Paraguay",NA,NA,"Dept. Caazapa. Tavaí. East of Destacamento.","-55.45","-26.17",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=118913' target='other'> <mi>dwc_moreinfo</mi></a>","NY00414862","NY00414862_01","7893",NA,NA,"Magnoliophyta","Asparagales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9090","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze","Amaral Jr., A.","1973","02","13","Amaral Jr., A.","1973","02","13","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, mata localizada atrás da Igreja de Santo Antônio",NA,NA,"9999","9999",NA,"BOTU009090",NA,"1443",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","32724","PreservedSpecimen","Plantae","Orchidaceae","Corymborkis","flava","Corymborkis flava","(Sw.) Kuntze",NA,NA,NA,NA,"Amaral Jr., A.","1973","02","22","Brasil","São Paulo","Botucatu","Distrito de Rubião Júnior, morro da Igreja de Santo Antônio",NA,NA,"9999","9999",NA,"BOTU032724",NA,"1449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
