"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","identifiedBy","fieldNumber","individualCount","yearIdentified","monthIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","00527160","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","H. S. Irwin","28970","1971","01","23","South America","Brazil","Minas Gerais","Serra do Espinhaço. Steep rocky slopes of Serra da Caraça.","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=638957' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527160","NY00527160_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00857118","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","Martii Herbar. Florae Brasil.","1196",NA,NA,NA,"South America","Brazil","Minas Gerais","In montosis, Prov. Minas Gerais",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=936663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00857118","NY00857118_01","possible type",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00000625","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","P. Clausen","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=137796' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000625","NY00000625_01","probable isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2857817","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","claussenii","Hyptis claussenii","Benth.","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,"Florae Brasil.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2857817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2857817","NL-L2857817",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:32:24-03","NBC","NL-BOTANY","L.2857818","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","claussenii","Hyptis claussenii","Benth.","Martius CFP von",NA,NA,NA,NA,"Southern America","Brazil",NA,"Florae Brasil.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2857818 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2857818","NL-L2857818",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:32:24-03","NBC","NL-BOTANY","U.1353125","PreservedSpecimen","Plantae",NA,"Lamiales","Labiatae","Hyptis","claussenii","Hyptis claussenii","Benth.","Irwin HS; Harley RM; Onishi E",NA,"1971","01","23","Southern America","Brazil",NA,"Plants of the Planalto do Brasil. Estado de Minas Gerais. Serra do Espinhaço. Steep rocky lower slopes of Serra da Caraça, with plants mostly restricted to soil-filled crevices.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1353125 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1353125","NL-U1353125",NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:30:13-03","MBM","MBM","85769","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","claussenii","Hyptis claussenii","Benth.","Hensold, N.; et al.; et al.","s.n.","1982","03","06","Southern America","Brazil","Minas Gerais","Encosta norte do Monte Boa Vista",NA,NA,NA,NA,"MBM085769","MBM085769",NA,NA,"Harley, R.M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2003-06-05 10:12:40-03","MNHN","RECOLNAT_MNHN_P","P00737508","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Martius, C.F. von",NA,NA,NA,NA,NA,"Brésil",NA,"Brasil",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737508' target='other'> <mi>dwc_moreinfo</mi></a>","P00737508","P00737508_01",NA,NA,NA,"1196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-01-14 14:23:31-02","MNHN","RECOLNAT_MNHN_P","P00737509","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Claussen, P.",NA,NA,NA,NA,NA,"Brésil",NA,"Minas Geraes, Serra de Caraccu",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737509' target='other'> <mi>dwc_moreinfo</mi></a>","P00737509","P00737509_01",NA,NA,NA,"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-27 17:22:18-03","MNHN","RECOLNAT_MNHN_P","P00737510","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Claussen, P.",NA,NA,NA,NA,NA,"Brésil",NA,"Minas Geraes, Serra de Caraccu",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00737510' target='other'> <mi>dwc_moreinfo</mi></a>","P00737510","P00737510_01",NA,NA,NA,"182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2015-09-04 08:52:36-03","MNHN","RECOLNAT_MNHN_P","P02979909","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Glaziou, A.",NA,"1883","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02979909' target='other'> <mi>dwc_moreinfo</mi></a>","P02979909","P02979909_01",NA,NA,NA,"15286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2015-09-04 08:52:36-03","MNHN","RECOLNAT_MNHN_P","P02979910","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptidendron","claussenii","Hyptidendron claussenii","(Benth.) Harley","Glaziou, A.",NA,"1884","6","15",NA,"Brasil","Minas Gerais","Caraça.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02979910' target='other'> <mi>dwc_moreinfo</mi></a>","P02979910","P02979910_01",NA,NA,NA,"15286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
