"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","fieldNumber","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897734","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","A. M. Giulietti","N. M. Castro","CFSC7291","1981","04","17","South America","Brazil","Minas Gerais","Santana do Riacho","Km 110 da Rodovia Belo Horizonte-Conceição do Mato Dentro","-43.7142","-19.1692","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963021' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897734","NY00897734_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00897733","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","N. Hensold","N. Hensold","472","1982","02","16","South America","Brazil","Minas Gerais","Santana do Riacho","Morro do Breu.","-43.66389","-19.08056","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=963020' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897733","NY00897733_01","1300","1500",NA,NA,NA,NA,NA
"3","2021-03-30 12:52:23-03","EAO","IAN","104551","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","Moldenke, HN","Magalhães, MG","1558","1942","11","14","Southern America","Brasil","Minas Gerais","Caeté","Campo úmido, arenoso. Serra da caatinga. S.Geol. Itacoloni. B.Hidr.Sào Francisco.","-43.6697006225586","-19.8799991607666",NA,"Flor alva.","IAN104551",NA,NA,NA,"1950","22051","auto",NA,NA
"4","2021-03-30 12:52:23-03","EAO","IAN","104552","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","Moldenke, HN","Magalhães, MG","2559","1942","11","14","Southern America","Brasil","Minas Gerais","Caeté","Nas pedras do campo alto, seco, do Distrito União. Serra Quibingo. S.Geol. Itacoloni. B.Hidr. São francisco.","-43.6697006225586","-19.8799991607666",NA,"Flor alva","IAN104552",NA,NA,NA,"1950","22051","auto",NA,NA
"5","2020-12-20 21:16:54-03","UFV","VIC","008544","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silv.",NA,"Menezes, N.L.; et al.","387","1983","04","01",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,"Capítulos brancos, periclinio castanho.","VIC008544","VIC008544",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-20 21:16:54-03","UFV","VIC","008551","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silv.",NA,"Menezes, N.L.; et al.","367","1983","03","31",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó,km 10",NA,NA,NA,"Inflorescências de capítulos de flores brancas.","VIC008551","VIC008551",NA,NA,NA,NA,NA,NA,NA
"7","2020-12-21 16:23:35-03","MBM","MBM","139456","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","Hensold, N.","Hensold, N.","472","1982","02","16","Southern America","Brazil","Minas Gerais","Santana do Riacho","Morro do Breu","-43.7144012451172","-19.1688995361328",NA,NA,"MBM139456","MBM139456",NA,NA,NA,"26557","auto",NA,NA
"8","2015-09-17 17:44:20-03","MNHN","RECOLNAT_MNHN_P","P00570395","PreservedSpecimen",NA,NA,NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","Hensold","Hensold, N.",NA,"1982","2","16",NA,"Brésil",NA,NA,"Mun. Santana do Riacho : Morro do Breu, Minas Geraes","-43.65556","-19.07222","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00570395' target='other'> <mi>dwc_moreinfo</mi></a>","P00570395","P00570395_01 P00570395_02 P00570395_03 P00570395_04 P00570395_05 P00570395_06 P00570395_07 P00570395_08 P00570395_09 P00570395_10 P00570395_11 P00570395_12 P00570395_13 P00570395_14 P00570395_15 P00570395_16","1300","1500",NA,NA,NA,"472",NA
"9","2020-06-15 15:30:18-03","UNESP-RC","HRCB","4830","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira",NA,"Castro, N.M.","s.n.","1981","03","03",NA,"Brasil","Minas Gerais",NA,"Serra do Cipó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-08 15:43:54-03","MN","R-TIPOS","140561c","PreservedSpecimen","Plantae",NA,NA,"Eriocaulaceae","Paepalanthus","ater","Paepalanthus ater","Silveira","Hensold, N.","Silveira, A.A.","HS - 329","1905","04",NA,NA,"Brasil","Minas Gerais","Morro do Breu","Serra do Cipó",NA,NA,NA,NA,"R000140561c","R000140561c_001",NA,NA,"1986",NA,NA,NA,"Isotypus"
