"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","continentOcean","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","dayIdentified","relationshipType","relatedCatalogItem","individualCount","preparationType","typeStatus"
"1","2019-11-19 15:43:22-03","UNEB","HUNEB","11679","PreservedSpecimen","Plantae","Angiospermae","Dicotyledoneae","Florideophycidae","Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusen","Almeida, G.S.S.","687","2007","05","10","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi: Trilha da Lagoa Seca.","-43.5080986022949","-20.2875003814697","44599","HUNEB0011679","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-08 17:37:05-03","EAO","IAN","73594","PreservedSpecimen","Plantae","Dicotiledônea",NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Dusén, PKH","3467",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,"IAN073594",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:10:51-03","UFBA","ALCB","128914","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusen","Gaio, J; Demeda, C; Gonzatti, F","408","2015","07","11","Brasil","Rio Grande do Sul","Osório","Fazenda do arroio","-50.212778","-29.976944",NA,"ALCB046451",NA,"Southern America","Gaio, J","2015","08","-50.212778","-29.976944","8","8","In conferatum; bordo da mata paludosa","ALCB046451",NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:50:25-03","NBC","NL-BOTANY","U.1135692","PreservedSpecimen","Plantae",NA,"Magnoliopsidae","Asterales","Compositae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Alston AHG",NA,"1939","02","20","Colombia",NA,NA,"Plants of Colombia. Department of Norte de Santander. Paramo de Fontíbon, Pamplona.",NA,NA,NA,"NL-U1135692",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1135692 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1135692",NA,NA,NA,NA,NA,NA
"5","2019-12-19 08:15:10-03","FPS","FPS","2262","MachineObservation","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Schwirkowski, P.","1724","2016","05","26","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Ao longo da estrada de ferro, antes da igreja de Rio Natal.","-49.306505","-26.341356",NA,"FPS02262,CEN00104888,FURB51830",NA,NA,"Heiden, G.","2017","10","-49.306505","-26.341356",NA,NA,"<ll>dwc_commonname:</ll> Guaco","CEN00104888 FPS02262_v01 FPS02262_v02 FPS02262_v03 FPS02262_v04 FPS02262_v05 FPS02262_v06 FURB51830","09","voucher","FURB 51830, CEN 104888",NA,NA,NA
"6","2019-02-15 11:34:20-02","IPA","IPA","77057","S","Plantae","Plantae",NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Gaio, J.; Demeda, C.; Gonzatti, F.; Demeda, C.; Gonzatti, F.","408","2015","07","11","Brasil","Rio Grande do Sul","Osório","Fazenda do Arroio.","-50.212778","-29.976944",NA,"IPA0077057",NA,"Southern America","Gaio, J.","2015","08","-50.212778","-29.976944","8","8","Volúvel. In conferatum.; Borda de mata paludosa.","IPA0077057","04",NA,NA,NA,NA,NA
"7","2020-12-20 21:15:56-03","UFV","VIC","27606","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusen","Almeida, G.S.S.; et al.","687","2007","05","10","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Trilha da lagoa seca","-43.5080986022949","-20.2875003814697","44599","VIC027606","auto",NA,NA,NA,NA,NA,NA,NA,NA,"Liana, brácteas involucrais glandulosa pontuadas, flores creme, cipsela puberula glandulosa, papilho alvo.",NA,NA,NA,NA,NA,NA,NA
"8","2020-10-14 09:59:14-03","FURB","FURB","47309","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Chagas; Silva, F.","1336","1987","04","24","Brasil","Paraná","Londrina","Parque Estadual Mata dos Godoy.","-51.1627998352051","-23.3103008270264","63728","FURB18013","auto",NA,"Rossetto, EFS","2014","10",NA,NA,NA,NA,NA,"FURB18013",NA,NA,NA,NA,NA,NA
"9","2021-03-16 17:50:58-03","UCS","HUCS","43373","PreservedSpecimen","Plantae","Angiospermae",NA,"Asterales","Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Gaio, J.","408","2015","07","11","Brasil","Rio Grande do Sul","Osório","Fazenda do Arroio","-50.212778","-29.976944",NA,NA,NA,NA,"Gaio, J.","2015","08","-50.212778","-29.976944","8","8","volúvel. In conferatum; bordo de mata paludosa",NA,"04",NA,NA,NA,NA,NA
"10","2020-04-27 16:08:52-03","UFES","VIES","34786","S","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Zorzanelli, J.P.F.","1491","2016","03","29","Brasil","Espírito Santo","Iúna","Serra do Valentim: Floresta do Senhor Aristides, próximo à vegetação queimada.","-41.472222","-20.363611",NA,"VIES034786",NA,NA,"C.T. Oliveira","2016","04","41º28'20''W","20º21'49''S",NA,NA,NA,"VIES034786","22",NA,NA,NA,NA,NA
"11","2020-12-21 16:16:34-03","MBM","MBM","53318","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Hatschbach, G.","6218","1959","07","29","Brazil","Paraná","Paranaguá","Rio Perequê","-48.5092010498047","-25.5200004577637","24916","MBM053318","auto","Southern America","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,"MBM053318",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:16:34-03","MBM","MBM","116301","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Kummrow, R.; Cordeiro, J.; Cordeiro, J.","2908","1987","05","14","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375","17116","MBM116301","auto","Southern America","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,"MBM116301",NA,NA,NA,NA,NA,NA
"13","2020-12-21 16:16:34-03","MBM","MBM","123641","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Kummrow, R.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.","2838","1987","01","14","Brazil","Paraná","Quatro Barras","Morro Mãe Catira","-49.0769004821777","-25.3656005859375","17116","MBM123641","auto","Southern America","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,"MBM123641",NA,NA,NA,NA,NA,NA
"14","2020-12-21 16:16:34-03","MBM","MBM","135426","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Ribas, O.S.; Nicolack, V.; Nicolack, V.","299","1990","04","17","Brazil","Paraná","Quatro Barras","Morro Sete","-49.0769004821777","-25.3656005859375","17116","MBM135426","auto","Southern America","Ribas, O.S.",NA,NA,NA,NA,NA,NA,NA,"MBM135426",NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:16:34-03","MBM","MBM","301085","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Scheer, M.B.; et al.; et al.","623","2002","04","01","Brazil","Paraná","Campina Grande do Sul","Serra do Ibitiraquire","-49.0553016662598","-25.3055992126465","55154","MBM301085","auto","Southern America","Scheer, M.B.",NA,NA,NA,NA,NA,NA,NA,"MBM301085",NA,NA,NA,NA,NA,NA
"16","2020-12-21 16:16:34-03","MBM","MBM","150985","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Cordeiro, J.; Barboza, E.; Barboza, E.","911","1992","03","11","Brazil","Paraná","Quatro Barras","Morro Sete","-49.0769004821777","-25.3656005859375","17116","MBM150985","auto","Southern America","Hatschbach, G.",NA,NA,NA,NA,NA,NA,NA,"MBM150985",NA,NA,NA,NA,NA,NA
"17","2020-12-21 16:16:34-03","MBM","MBM","138438","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","54381","1990","07","19","Brazil","Santa Catarina","Laguna","Cabeçudas","-48.7807998657227","-28.4825000762939","21199","MBM138438","auto","Southern America","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,"MBM138438",NA,NA,NA,NA,NA,NA
"18","2020-12-21 16:16:34-03","MBM","MBM","143747","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Silva, J.M.","1012","1991","05","19","Brazil","Paraná","Guaratuba","Brejatuba","-48.5746994018555","-25.8827991485596","41937","MBM143747","auto","Southern America","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,"MBM143747",NA,NA,NA,NA,NA,NA
"19","2020-12-21 16:16:34-03","MBM","MBM","75789","PreservedSpecimen","Plantae",NA,NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén","Tessmann, G.","1182","1953","07","31","Brazil","Paraná","Paranaguá","Ilha do Mel","-48.5092010498047","-25.5200004577637","24916","MBM075789","auto","Southern America","Holmes, W.C.",NA,NA,NA,NA,NA,NA,NA,"MBM075789",NA,NA,NA,NA,NA,NA
"20","2020-12-11 11:33:14-03","UFMG","BHCB","132892","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Asteraceae","Mikania","clematidifolia","Mikania clematidifolia","Dusén.","Carmo, FF","2548","2008","02","21","Brasil","Minas Gerais","Nova Lima","PE Rola Moça","-44.333333","-20.6",NA,"BHCB006904",NA,"Southern America",NA,"2013","04","-44.333333","-20.6","1450","1450","Coletada em borda de capão. Afloramento de canga.",NA,NA,NA,NA,NA,NA,NA
