"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber"
"1","2020-09-23 10:37:01-03","E","E","399865","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Gardner, Martin Fraser & Knees, Sabina Georgina","5503","1993","02","12","Temperate South America","CL","Región VII [Maule]","Provincia de Talca","3 km south of Constitución on Highway 58","-72.466667","-35.416667","-72.466667","-35.416667","10","10","herbarium specimen of unspecif","BGBASE:444960","<a href=http://data.rbge.org.uk/herb/E00399865 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:37:01-03","E","E","399870","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Buchtien, Otto",NA,"1904","01","10","Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","Valdivia: In Felspalten am Meere bei Niebla",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:444965","<a href=http://data.rbge.org.uk/herb/E00399870 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:37:01-03","E","E","399872","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps",NA,NA,NA,NA,NA,"Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","Valdivia",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:444967","<a href=http://data.rbge.org.uk/herb/E00399872 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:37:01-03","E","E","399866","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Ball, John",NA,NA,NA,NA,"Temperate South America","CL","Región VIII [Biobío]","Provincia de Concepción","Ex collinis maritimus Chilensibus, prope Lota",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:444961","<a href=http://data.rbge.org.uk/herb/E00399866 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:37:01-03","E","E","399868","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Bridges, Thomas Charles","660","1905","01","07","Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","Valdivia",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:444963","<a href=http://data.rbge.org.uk/herb/E00399868 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:37:01-03","E","E","399871","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Buchtien, Otto",NA,"1903","01","06","Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","Valdivia: Ensenada bei Corral",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:444966","<a href=http://data.rbge.org.uk/herb/E00399871 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:37:01-03","E","E","399867","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","Bridges, Thomas Charles","660",NA,NA,NA,"Temperate South America","CL","Región X [Los Lagos]","Provincia de Valdivia","El Castillo del Amargo, Bay of Valdivia",NA,NA,NA,NA,NA,NA,"herbarium specimen of unspecif","BGBASE:444962","<a href=http://data.rbge.org.uk/herb/E00399867 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","565197","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","J. G. Kuhlmann","45790","1941","12","26","South America","Brazil","Rio de Janeiro",NA,"No Jardim Botanico",NA,NA,NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647877' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565197","Magnoliophyta","Asterales","L.f.","A. O. S. Vieira","NY00565197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","687344","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","A. O. S. Vieira","418","1992","04","20","South America","Brazil","São Paulo","Praia Grande","Rodovia Pedro Taques, retorno para Itanhaem","-46.4","-24",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=874286' target='other'> <mi>dwc_moreinfo</mi></a>","NY00687344","Magnoliophyta","Asterales","L.f.","A. O. S. Vieira","NY00687344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565198","PreservedSpecimen","Plantae","Campanulaceae","Lobelia","anceps","Lobelia anceps","G. Looser",NA,"1933","03","22","South America","Chile","Región Metropolitana de Santiago",NA,"Corral (puerto)",NA,NA,NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=647876' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565198","Magnoliophyta","Asterales","L.f.","T. G. Lammers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
