"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","phylum","order","continentOcean","preparationType","typeStatus","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","previousCatalogNumber","fieldNumber","individualCount","sex"
"1","2021-04-05 14:33:55-03","UNESC","CRI","12022","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Oliveira, AA","2010","08","18","Verdi, M; SOusa, NL de; Klemz G & Klettenberg, DH","2010","04","03","Brasil","Santa Catarina","Laguna","Laranjeiras","-48.839722","-28.4875","48º50'23''W","28º29'15''S","Habito: Arbustivo","CRI010168","CRI010168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:47-03","UNESC","CRI","1038","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar","1991","07","27","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI006167","CRI006167","1316","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:47-03","UNESC","CRI","13736","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Renato Colares","2018","05","24","Renato Colares","2016","11",NA,"Brasil","Santa Catarina","Siderópolis",NA,"-49.453889","-28.570278","49º27'14''W","28º34'13''S","Lote 42 Habitat: Terrestre Habito: Arbustivo","CRI012343",NA,NA,"120","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:47-03","UNESC","CRI","1153","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Ricardo Ribeiro Rodrigues","1992","04","07","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI006168","CRI006168","1403","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:47-03","UNESC","CRI","11850","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","E. Guimarães",NA,NA,NA,"M. Verdi; N.L. de Souza & G. Klemz","2010","03","30","Brasil","Santa Catarina","Orleans","Barracão.","-49.319167","-28.260833","49º19'9''W","28º15'39''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva","CRI006163","CRI006163","4103","314","314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:47-03","UNESC","CRI","12187","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Oliveira, AA","2010","08","18","Verdi, M; Souza, NL de; Klemz, G & Klettenberg, DH","2010","04","28","Brasil","Santa Catarina","Garopaba","Morro da Ressacada","-48.69","-28.08","48º41'24''W","28º4'48''S","Doação Herbário FURB (25245) Habito: Arbusto","CRI010365","CRI010365",NA,"147","147",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:47-03","UNESC","CRI","1027","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Alcides da Silveira","1991","04","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI006170","CRI006170","1305","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:55-03","UNESC","CRI","5444","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Daniel Rruschel",NA,NA,NA,"V. Citadini-Zanette; V. P. Boff","1996","09","19","Brasil","Santa Catarina","Urussanga","Santana.","-49.321111","-28.518333","49º19'16''W","28º31'6''S","Floresta Atlântica Habitat: interior da mata Habito: arbusto","CRI006171","CRI006171","2389","48","48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:25:47-03","UNESC","CRI","798","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini-Zanette; Aurélio José de Aguiar & Valdemar Piazza Boff","1991","09","12","Brasil","Santa Catarina","Orleans","Rio Novo.","-49.298889","-28.285278","49º17'56''W","28º17'7''S",NA,"CRI006166","CRI006166","1148","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:25:47-03","UNESC","CRI","7897","PreservedSpecimen","Plantae","Piperaceae","Piper","xylosteoides","Piper xylosteoides","(Kunth) Steud.","Vanilde Citadini- Zanette","2008","04","20","Jean Gabriel Cemin","2008","02","28","Brasil","Santa Catarina","Turvo",NA,"-49.679444","-28.926667","49º40'46''W","28º55'36''S",NA,"CRI006169","CRI006169",NA,"9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
