"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","year","month","locality","identifiedBy","day","stateProvince","decimalLongitude","decimalLatitude","county","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","1477504","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","graminifolium","Zygopetalum graminifolium","Rolfe","Collector unspecified","s.n.","South America","Brazil","photo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810248' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477504","NY01477504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","9458","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","hasslerianum","Zygopetalum hasslerianum","Kraenzl.","E. Hassler","9020","South America","Paraguay","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=691206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00009458","NY00009458_01","isotype","1905","02","Vicinis Caaguazu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","625817","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","P. K. H. Dusén","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209944' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625817","NY00625817_01",NA,"1916","04","Serra do Mar, Banhado.","P. K. H. Dusén","05","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","625815","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","F. C. Hoehne","3687","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625815","NY00625815_01",NA,"1920","03","Butantan.","F. C. Hoehne","15","São Paulo","-46.724373","-23.565521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","625818","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","G. G. Hatschbach","26356","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209945' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625818","NY00625818_01",NA,"1971","02","Reserva Indígena.","G. F. J. Pabst","19","Paraná","-52.5231","-25.8558","Chopinzinho",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","625816","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","P. K. H. Dusén","16868","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209943' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625816","NY00625816_01",NA,"1915","03",NA,"P. K. H. Dusén","24","Paraná","-49.7056","-24.2511","Jaguariaíva","740","740",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","1477503","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","Collector unspecified","s.n.","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1810242' target='other'> <mi>dwc_moreinfo</mi></a>","NY01477503","NY01477503_01",NA,"1843","09",NA,NA,"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","625814","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","G. Gardner","636","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=209947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00625814","NY00625814_01",NA,"1838",NA,"Ad montes Serra dos Orgaos.",NA,NA,NA,"-43.073169","-22.496706",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:30:23-03","UNESP-IBB","BOTU","6579","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","Amaral Jr., A.","1335",NA,"Brasil",NA,NA,"BOTU006579",NA,NA,"1973","01","Estrada Botucatu - Pardinho, a mais ou menos 15km de Botucatu","Santana, I.C.","02","São Paulo",NA,NA,"Botucatu",NA,NA,"1999","02","09","9999","9999",NA,NA,NA,NA,NA,NA
"10","2020-06-29 11:31:49-03","UFRJ","RFA","4365","PreservedSpecimen","Plantae",NA,NA,"Orchidaceae","Zygopetalum","maxillare","Zygopetalum maxillare","Lodd.","P. Occhioni","843",NA,"Brasil",NA,"Epífita, flor verde tigrada de marrom; labelo roxo","RFA31917",NA,NA,"1947","03","Parque Nacional do Itatiaia","J. C. Santana","07","Rio de Janeiro","-44.5633010864258","-22.4960994720459","Itatiaia",NA,NA,"2000","07","10",NA,NA,"19648","auto",NA,NA,NA,NA
