"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","imagecode","geoFlag","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","order","typeStatus"
"1","2020-09-23 10:41:47-03","E","E","202814","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","Chagas E Silva, F. & Soares E Silva, L.H.","2222","1998","01","22","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:217231","<a href=http://data.rbge.org.uk/herb/E00202814 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00202814",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:14:27-03","ESALQ","ESA","16734","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","Sakuragui, C.M.; Souza, V.C.; Capellari Jr. , L.; Bérgamo, P.",NA,"1993","10","01",NA,"Brasil",NA,NA,NA,"ESA016734","Magnoliophyta","Mattos.","Sobral, M.","2013","01","24","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729","ESA016734","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:14:27-03","ESALQ","ESA","26481","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","Souza, V.C. et al.",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,"ESA026481","Magnoliophyta","Mattos.","Sobral, M.","2013","01","24","São Paulo","Itararé","-49.3400001525879","-24.1100006103516","27729","ESA026481","auto",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 10:56:23-03","ESALQ","ESA","140308","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","A. Ferraro","191.0",NA,NA,NA,NA,"Brasil",NA,NA,NA,"ESA140308",NA,"Mattos","N. Pilon","2017",NA,NA,"São Paulo","Águas de Santa Bárbara","-49.238899230957","-22.8805999755859","18363",NA,"auto","Estação Ecológica de Águas de Santa Bárbara","49º13'09.1","22º48'01.3","645","645",NA,NA,NA
"5","2019-08-27 13:31:18-03","IAP","PACA-AGP","96957","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","C. Mondin & M. A. Farinaccio","3013","2004","12","16",NA,"Brasil",NA,NA,"HASU 17158&nf;Com cerca de 25 cm de altura. Frutos achatados com cerca de 3-5 cm de diâmetro Hábito: subarbusto","PACA096957","Magnoliophyta","Mattos",NA,NA,NA,NA,"RS","Rosário do Sul","-54.9141998291016","-30.25830078125","71660",NA,"auto","BR 290, Km 510",NA,NA,NA,NA,"Magnoliatae","Myrtales",NA
"6","2020-12-04 13:19:27-03","UDESC","LUSC","5424","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","C.B.Poliquesi; J.Cordeiro & E.Barbosa","634","1999","11","24",NA,"Brasil",NA,NA,"Campo limpo;;;. Habitat: afloramento de arenito Habito: arbusto","LUSC007131",NA,"Mattos",NA,NA,NA,NA,"Paraná","Ponta Grossa","-50.1618995666504","-25.0949993133545","46557","LUSC007131","auto","Buraco do Padre.",NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 09:31:27-03","UFRRJ","RBR","12186","S","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","A.L. Melo","10","2001","09","30",NA,"Brasil",NA,NA,NA,"RBR00012186",NA,"Mattos",NA,NA,NA,NA,"Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","RBR00012186","auto","Restinga da Marambaia, Duna da linha 4.",NA,NA,NA,NA,NA,NA,NA
"8","2020-12-21 16:36:24-03","MBM","MBM","8993","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","Hatschbach, G.","19969","1968","10","10","Southern America","Brazil",NA,NA,NA,"MBM008993",NA,"Mattos","Sobral, M.",NA,NA,NA,"Paraná","Arapoti","-49.8266983032227","-24.1578006744385","41852","MBM008993","auto","Rio das Cinzas",NA,NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:36:24-03","MBM","MBM","256451","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","Linsingen, L. von","513","2001","03","15","Southern America","Brazil",NA,NA,NA,"MBM256451",NA,"Mattos","Sobral, M.",NA,NA,NA,"Paraná","Jaguariaíva","-49.7057991027832","-24.2511005401611","44368","MBM256451","auto","Parque Estadual do Cerrado",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-21 16:36:24-03","MBM","MBM","115744","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","arenosa","Eugenia arenosa","Sobral, M.; et al.; et al.","4405","1986","10",NA,"Southern America","Brazil",NA,NA,NA,"MBM115744",NA,"Mattos","Sobral, M.",NA,NA,NA,"Rio Grande do Sul","Alegrete","-55.7919006347656","-29.7831001281738","89305","MBM115744","auto","Cerro do Tigre",NA,NA,NA,NA,NA,NA,NA
