"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","fieldNumber","individualCount","sex"
"1","2021-04-05 14:34:06-03","UNESC","CRI","6339","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","J. Silvano","J. Silvano; Z. P. Topanotti, R. dos Santos e C. M. Steiner","1998","07","22","Brasil","Santa Catarina","Criciúma","Mina União.","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI009400","CRI009400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:26:02-03","UNESC","CRI","9676","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","A. Korte","A. Korte; A. Kniess","2009","12","10","Brasil",NA,"Brasil","Mirador.","-49.590556","-27.090278","49º35'26''W","27º5'25''S","CRI009601","CRI009601","2009","12","10","1459","792","792","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:34:06-03","UNESC","CRI","11342","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","Guilherme Alves Elias","Gabriel Waterkemper Girardi; Guilherme Alves Elias, Peterson Teodoro Padilha e Renato Colares Pereira","2015","09","08","Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S","CRI009597","CRI009597","2015","09","08",NA,"58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:26:02-03","UNESC","CRI","13116","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","Korte, A","Korte, A.; Kniess, A.","2010","05","21","Brasil","Santa Catarina","Indaial","Parque Nacional da Serra do Itajaí. Parque Nacional da Serra do Itajaí.","-49.230833","-27.09","49º13'51''W","27º5'24''S","CRI011672",NA,"2010","09","28","3333","601","601","Florística IFFSC 577 (Arbusto) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbustiva;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:26:02-03","UNESC","CRI","14583","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","Peterson T. Padilha","Peterson T. Padilha; Martin Molz","2015","10","13","Brasil","Santa Catarina","São Bento do Sul",NA,"-49.383611","-26.249722","49º23'1''W","26º14'59''S","CRI013888","CRI013888","2016","08","24",NA,NA,NA,"Habito: Arbóreo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:26:02-03","UNESC","CRI","13117","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","Verdi, M","Verdi, M.; Burkhardt, B. & Klemz, G.","2010","06","30","Brasil","Santa Catarina","São Bonifácio","Santa Maria. Santa Maria.","-48.96","-27.993889","48º57'36''W","27º59'38''S","CRI011671",NA,"2010","06","30","5111","339","339","Florística IFFSC 197 (Arbórea) Habitat: Floresta Ombrófila Densa; Estágio Avançado; interior do fragmento Habito: arbórea;",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:26:02-03","UNESC","CRI","9379","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","A. Korte","A. Korte; A. Kniess","2009","12","07","Brasil",NA,"Brasil","Fundo Canoas.","-49.68","-27.18","49º40'48''W","27º10'48''S","CRI009602","CRI009602","2010","02","03","1407","625","625","Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:34:06-03","UNESC","CRI","9007","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","Marcos Sobral","A. Stival-Santos; E. Legal, D. Meyer & S. Silveira","2010","04","24","Brasil","Santa Catarina","Angelina","Barra Clara.","-48.985556","-27.569167","48º59'8''W","27º34'9''S","CRI009598","CRI009598","2010","08","15","2570","517","517","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:34:06-03","UNESC","CRI","9708","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","A. L. de Gasper","M. Verdi; B. Burkhardt & G. Klemz","2010","07","02","Brasil","Santa Catarina","São Bonifácio","Rio Poncho.","-48.929444","-27.901944","48º55'46''W","27º54'7''S","CRI009600","CRI009600","2010","09","21","5150","623","623","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:34:06-03","UNESC","CRI","1352","PreservedSpecimen","Plantae","Rubiaceae","Psychotria","vellosiana","Psychotria vellosiana","Benth.","Vanilde Citadini-Zanette","Vanilde Citadini-Zanette; J. J. Zochhe","1991","06","18","Brasil","Santa Catarina","Criciúma","Bairro Ceará.","-49.37","-28.678056","49º22'12''W","28º40'41''S","CRI009406","CRI009406",NA,NA,NA,"1517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
