"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","geoFlag","continentOcean","preparationType","barcode","imagecode","typeStatus","fieldNumber","class","individualCount","previousCatalogNumber"
"1","2019-06-10 10:10:51-03","FZB-BH","CVJBFZB","2480","S","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","Carlos A. Ferreira Jr.","2013","02","01","Carlos Alberto F. Jr.; Fernando Fernandes; Juliana Ordones; Lívia Echternadt","caf","2013","01","29","Brasil","Minas Gerais","Santana do Riacho","RPPN Brumas do Espinhaço & Ermo de Minas, Cidade de Pedras.","-43.7144012451172","-19.1688995361328","19º 01' 59S","43º 43' 02W","26557","1355","1355","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00950336","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","A. M. Giulietti",NA,NA,NA,"A. M. Giulietti","CFCR6339","1984","11","22","Brazil","Minas Gerais",NA,"Joaqium Felicio. Serra do Cabral. Bocaina.",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1061252' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00950336","NY00950336_01",NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00860526","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","N. Hensold",NA,NA,NA,"H. S. Irwin","27140","1970","03","07","Brazil","Minas Gerais",NA,"Summit of Serra do Cabral, ca. 8 km W. of Joaquim Felício","-44.1708333","-17.7588",NA,NA,NA,"1200","1200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960436' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00860526","NY00860526_01",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00860523","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","A. M. Giulietti",NA,NA,NA,"A. M. Giulietti","CFCR1881","1981","08","30","Brazil","Minas Gerais","Diamantina","Margem da Estrada Diamantina-Conselheiro. 12 km.","-43.6003","-18.2494",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960431' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00860523","NY00860523_01",NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00102757","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland",NA,NA,NA,NA,"C. A. W. Schwacke","8489","1892","04","06","Brazil","Minas Gerais","Diamantina","Prope Diamantina","-43.6003","-18.2494",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=125714' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00102757","NY00102757_01","type",NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00860524","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","A. M. Giulietti",NA,NA,NA,"A. M. Giulietti","928-80","1980","04","03","Brazil","Minas Gerais","Diamantina","Margem da Estrada Corinto-Conceição da Mata. Campos Rupestres no. 16.","-43.6003","-18.2494",NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960433' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00860524","NY00860524_01",NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00860525","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","N. Hensold",NA,NA,NA,"J. R. Pirani","2187","1988","02","12","Brazil","Minas Gerais","Joaquim Felício","Serra do Cabral. Campos proximos da pequena Capelinha no alto da Serra.","-44.3","-17.7",NA,NA,NA,"1160","1160","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960435' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00860525","NY00860525_01",NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00860527","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Leiothrix","echinocephala","Leiothrix echinocephala","Ruhland","A. M. Giulietti",NA,NA,NA,"N. Hensold","648","1982","04","09","Brazil","Minas Gerais","Gouveia","In vicinity of radio tower just W of Fazenda Contagem.","-43.7407989501953","-18.4543991088867",NA,NA,"37970","1100","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=960442' target='other'> <mi>dwc_moreinfo</mi></a>","auto","South America","sheet","NY00860527","NY00860527_01",NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00103691","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Eriocaulaceae","Syngonanthus","pulvinellus","Syngonanthus pulvinellus","Moldenke","H. N. Moldenke",NA,NA,NA,"B. Maguire","49183","1960","08","12","Brazil","Minas Gerais",NA,"Road between Diamantina and Gouveia",NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489677' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"South America","sheet","NY00103691","NY00103691_01","type",NA,NA,NA,NA
"10","2021-03-30 12:52:20-03","EAO","IAN","35195","PreservedSpecimen","Plantae","Monocotiledônea",NA,"Eriocaulaceae","Leiothrix","echinocephalas","Leiothrix echinocephalas","Ruhland",NA,NA,NA,NA,"Schwacke, J","8489",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,"IAN035195",NA,NA,NA,NA,NA,NA
