"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","occurrenceRemarks","barcode","imagecode","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","infraspecificEpithet","coordinatePrecision","geoFlag","fieldNumber","individualCount","typeStatus"
"1","2016-10-21 17:14:00-02","NY","NYBG","783669","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","paucifolia","Setaria paucifolia","L. R. Parodi","A. L. Woolston","G.124","1959","06","26","South America","Paraguay","Alto Paraguay","San Pedro","Primavera","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431723' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783669",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-11-01 12:41:00-02","NY","NYBG","783667","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","paucifolia","Setaria paucifolia","J. F. Pensiero","W. D. Clayton","4621","1965","02","10","South America","Brazil","São Paulo",NA,"Estaçao Florestal de Paraguaçu Paulista","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431724' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783667","NY00783667_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","783668","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Poaceae","Setaria","paucifolia","Setaria paucifolia","M. H. Nee","J. R. Swallen","9358","1946","06","01","South America","Brazil","Mato Grosso do Sul",NA,"Maracajú, Territory of Ponta Pora","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=431725' target='other'> <mi>dwc_moreinfo</mi></a>","NY00783668","NY00783668_01","(Morong) Lindm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-02 16:29:11-03","CPAN-UFMS","COR","11893","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Setaria","paucifolia","Setaria paucifolia","Damasceno-Júnior, G. A.","Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3946","2005","12","09",NA,"Brasil","Mato Grosso do Sul","Bonito","Fazenda Princesinha; banhado do rio Perdido",NA,"Erva Habito: Erva",NA,NA,"(Morong) Lindm.","2005","12","09","-56.834167","-21.086111","56º50'3''W","21º5'10''S","546","546",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:20:09-03","NBC","NL-BOTANY","L.1341497","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","paucifolia","Setaria paucifolia",NA,"Fiebrig K",NA,"1909","01","01","Southern America","Paraguay",NA,NA,"in regione fluminis Alto Paraná.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1341497 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1341497","NL-L1341497","(Morong) Lindm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:20:09-03","NBC","NL-BOTANY","L.1341498","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","paucifolia","Setaria paucifolia",NA,"Balansa B",NA,"1876","03","06","Southern America","Paraguay",NA,NA,"Caaguazu, dans les prairies marécageures. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1341498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1341498","NL-L1341498","(Morong) Lindm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:20:09-03","NBC","NL-BOTANY","L.1341499","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","paucifolia","Setaria paucifolia",NA,"Balansa B",NA,"1875","02","28","Southern America","Paraguay",NA,NA,"Pat! - Cue, dans les marais. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1341499 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1341499","NL-L1341499","(Morong) Lindm.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 10:20:09-03","NBC","NL-BOTANY","L.3812031","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","paucifolia","Setaria paucifolia",NA,"Zardini EM; Velázquez C",NA,"1990","12","08","Southern America","Paraguay",NA,NA,"Paraguari, Arroyo Yuquyty, 7km E of Nueva Italia.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3812031 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3812031","NL-L3812031","(Morong) Lindm.",NA,NA,NA,"-57.416667","-25.6","-57.416667","-25.6",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:20:09-03","NBC","NL-BOTANY","L.1341500","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","paucifolia","Setaria paucifolia planifolia",NA,"Balansa B",NA,"1874","12","10","Southern America","Paraguay",NA,NA,"Villa-Rica, dans les prairies marecagueses. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1341500 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1341500","NL-L1341500","Hack.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","planifolia",NA,NA,NA,NA,NA
"10","2020-02-08 10:20:09-03","NBC","NL-BOTANY","L.1341501","PreservedSpecimen","Plantae",NA,"Poales","Gramineae","Setaria","paucifolia","Setaria paucifolia planifolia",NA,"Balansa B",NA,"1877","01","27","Southern America","Paraguay",NA,NA,"Yaguaron, dans les prairies. humides. *.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1341501 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1341501","NL-L1341501","Hack.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","planifolia",NA,NA,NA,NA,NA
