"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","03837380","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker","G. M. Barroso","H. S. Irwin","8225","1965","09","12","South America","Brazil","Distrito Federal","Brasília","Summit of Chapada da Contagem, ca. 10 km. E. of Brasília.","-47.82337","-15.7833","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4160303' target='other'> <mi>dwc_moreinfo</mi></a>","NY03837380","NY03837380_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:02:25-03","ESALQ","ESA","34753","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Stilpnopappus","ferrugineus","Stilpnopappus ferrugineus","Baker","Souza, V.C.","Nave, A.G. et al.","1297.0","1997","03","01",NA,"Brasil","Mato Grosso","Chapada dos Guimarães",NA,"-55.749698638916","-15.460599899292",NA,NA,NA,NA,"ESA034753","ESA034753","107042","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:25:23-03","UNICAMP","UEC","184733","S","Plantae","Magnoliopsida",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L.Esteves","Nakajima, JN","Nave, AG; Dário, FR; Lopes, RF; Carneiro, PHM","1297","1997","03","01",NA,"Brazil","Maranhão","Chapada dos Guimarães","Parque Nacional da Chapada dos Guimarães - Trilha de acesso ao Morro São Gerônimo. S,W. Beira de estrada.",NA,NA,NA,NA,NA,"Arbusto com altura de 1m, flor amarela, parte abaxial.; Cerrado.","UEC129833","UEC129833",NA,NA,"2015","10",NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:25:23-03","UNICAMP","UEC","85054","S","Plantae","Magnoliopsida",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L.Esteves","Monge, M","Oliveira, FCA; Marquete, R","533","1996","06","14",NA,"Brazil","Goiás","Niquelândia","4 Km da ponte de madeira; na estrada para a Reserva do IBAMA.","-48.45","-14.496111",NA,NA,NA,"Arbusto, helifólito ca. 1 m de alt, folhas coriaceas, inflorescencias com capitulos roxos. Rara; Cerrado. Solo arenoso/argiloso, relevo plano.","UEC000006","UEC000006",NA,NA,"2015","11","-48.45","-14.496111",NA,NA,NA,NA
"5","2021-03-01 16:25:23-03","UNICAMP","UEC","99237","S","Plantae","Magnoliopsida",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L.Esteves","Monge, M","Aparecida da Silva, M; Arruda, VR; Fonseca, ML","3810","1998","05","08",NA,"Brazil","Goiás","Niquelândia","4 Km do Povoado de Muquém em direção a Niquelândia.","-48.152222","-14.520556","495","495",NA,"Arbusto helifolito em moita ca. 0.80 cm de alt, inflorescência ferrugínea capítulos vináceos, páleas creme, foljas cartáceas doscolores com parte abaxial verde ferruginea.; Relevo ígreme. Cerrado ao lado do Fundo de vale. Solo claro e","UEC048535","UEC048535",NA,NA,"2015","11","-48.152222","-14.520556",NA,NA,NA,NA
"6","2021-03-01 16:25:23-03","UNICAMP","UEC","89971","S","Plantae","Magnoliopsida",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L.Esteves","Monge, M","Silva, GP; Walter, BMT; Rocha, D; Leite, A; Camargo, M; Xavier, S; Santos, HGP","s.n.","1992","07","07",NA,"Brazil","Goiás","Niquelândia","3,7Km sul da GO-237, a 5 Km da sede da Fazenda ouro fino. Area de influencia da UHE Serra da Mesa.","-5.416667","-14.55","500","500",NA,"Capítulos extramineos; folha discolor; abaxial amarelo escuro. adaxial verde.; Ecotono cerrado sensu strictu, Campo sujo, Solo arenoso entremeado com pegregulhos, relevo ondulado.","UEC048536","UEC048536",NA,NA,"2015","11","-5.416667","-14.55",NA,NA,NA,NA
"7","2021-03-01 16:25:23-03","UNICAMP","UEC","58657","S","Plantae","Magnoliopsida",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L.Esteves","Monge, M","Negrett, A","s.n.","1984","07","25",NA,"Brazil","Distrito Federal","Brasília","Chapada da Comtagem.","-47.9296989440918","-15.7797002792358",NA,NA,NA,"Arbusto com 1,5 m de alt. Campo limpo, lactossolo vermelho-amarelo.","UEC118687","UEC118687","70570","auto","2015","11",NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:25:23-03","UNICAMP","UEC","31150","S","Plantae","Magnoliopsida",NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L.Esteves","Esteves, R","Monteiro, JRB","13.500","1982","04","12",NA,"Brazil","Mato Grosso","Pedra Preta","Est. de Mato Grosso, Rod.Federal entre os Mun. de Pedra Preta e Alto Garças.","-54.4738998413086","-16.6231002807617",NA,NA,NA,"Subarbusto, 60 cm, folhas ocre, muitas flores.","UEC169716","UEC169716","67006","auto","2012","06",NA,NA,NA,NA,NA,NA
"9","2020-12-21 16:17:25-03","MBM","MBM","30875","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.L. Esteves","Nakajima, J.","Hatschbach, G.","34634","1974","07","20","Southern America","Brazil","Goiás","Mineiros","Rod. BR 060","-52.5511016845703","-17.5694007873535",NA,NA,NA,"Planta 1m, brácteas rosadas, encostas rochosos de morro","MBM030875","MBM030875","100343","auto","2009","09",NA,NA,NA,NA,NA,NA
"10","2015-10-04 05:55:50-03","MNHN","RECOLNAT_MNHN_P","P00683097","PreservedSpecimen",NA,NA,NA,"Asteraceae","Strophopappus","ferrugineus","Strophopappus ferrugineus","(Baker) R.Esteves","Nakajima","Burchell, W.J.",NA,"1870",NA,NA,NA,"Brésil",NA,NA,"s.loc.",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00683097' target='other'> <mi>dwc_moreinfo</mi></a>","P00683097","P00683097_01",NA,NA,NA,NA,NA,NA,"type","7796",NA,NA
