"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","typeStatus","coordinatePrecision","geoFlag","class","fieldNumber","individualCount"
"1","2021-04-05 14:33:29-03","UNESC","CRI","9134","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","R. Affonso","2011","01","15","R. Affonso; A. Zanin","182","2011","01","08","Brasil","Santa Catarina","Curitibanos","Km 237 da BR 470 da Estrada Curitibanos-Caçador.","-50.584444","-27.282778","50º35'4''W","27º16'58''S","1003","1003","Habitat: banhado da beira da estrada Habito: herbácea","CRI002157","CRI002157",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00939394","PreservedSpecimen","Plantae","Cyperaceae","Scleria","catharinensis","Scleria catharinensis","Boeckeler","W. W. Thomas",NA,NA,NA,"B. M. T. Walter","1068","1991","12","12","Brazil","Goiás","Colinas do Sul","2 km da estrada S. da Mesa/ Colinas do Sul. A meio caminho entre esta estrada e a linha transmissao. Area de influencia da UHE Serra da Mesa.","-48.28","-13.83",NA,NA,"410","410","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=973368' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939394","NY00939394_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","51753","PreservedSpecimen","Plantae","Cyperaceae","Scleria","catharinensis","Scleria catharinensis","Boeckeler","E. L. Core",NA,NA,NA,"E. H. G. Ule","1923",NA,NA,NA,"Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=423011' target='other'> <mi>dwc_moreinfo</mi></a>","NY00051753","NY00051753_01","Magnoliophyta","Poales","South America","sheet","type fragment",NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00939494","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth",NA,NA,NA,NA,"M. Alves","2163","2001","01","09","Brazil","Minas Gerais","Santana do Riacho","APA da Serra do Cipó, estrada para Conceição do Mato Dentro, entrada a direita da estátua do juquinha.","-43.7142","-19.1692",NA,NA,"1300","1400","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=975257' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939494","NY00939494_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","612486","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","A. C. Araújo",NA,NA,NA,"W. Hoehne","2811","1948","11","04","Brazil","São Paulo",NA,"Av. Indianopolis, Cap. S. Paulo.","-46.65028","-23.613687",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=156804' target='other'> <mi>dwc_moreinfo</mi></a>","NY00612486","NY00612486_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","636687","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","L. B. Smith; S. F. Smith",NA,NA,NA,"G. G. Hatschbach","14659","1966","09","05","Brazil","Paraná","Ponta Grossa","Vila Velha.","-50.012929","-25.234872",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571028' target='other'> <mi>dwc_moreinfo</mi></a>","NY00636687","NY00636687_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00939488","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","T. M. Koyama",NA,NA,NA,"W. W. Thomas","4896","1985","11","24","Brazil","Minas Gerais","Diamantina","20 km S of Diamantina on rd. to Curvelo, then ca. 4 km E on dirt rd. down valley.","-43.67","-18.33",NA,NA,"1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=975128' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939488","NY00939488_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00939482","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","M. Alves",NA,NA,NA,"H. S. Irwin","21364","1968","03","18","Brazil","Tocantins","Guaraí","10 km S. of Guará.","-48.52","-8.93",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=974960' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939482","NY00939482_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","637267","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","T. M. Koyama",NA,NA,NA,"J. A. Ratter","R.927","1968","04","09","Brazil","Mato Grosso",NA,"8 km NE of the Base Camp of the Expedition. (Base Camp close to the Xavantina-Sao Felix road.)","-51.87","-12.9",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=571031' target='other'> <mi>dwc_moreinfo</mi></a>","NY00637267","NY00637267_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00939483","PreservedSpecimen","Plantae","Cyperaceae","Scleria","leptostachya","Scleria leptostachya","Kunth","E. R. Guaglianone",NA,NA,NA,"H. S. Irwin","25930","1970","02","03","Brazil","Minas Gerais","Paracatú","Serra da Anta, summit of chapada, ca. 2 km N. of Paracatú","-46.8727","-17.22555",NA,NA,"700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=974965' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939483","NY00939483_01","Magnoliophyta","Poales","South America","sheet",NA,NA,NA,NA,NA,NA
