"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","00897191","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","H. O. Sleumer","P. Clausen","9","1838","South America","Brazil","Minas Gerais","Minas-Geraes, Bresil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971915' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897191","NY00897191_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","00897193","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","D. C. Daly; Z. Marchal","G. H. von Langsdorff","s.n.","1826","South America","Brazil",NA,"Iter Brasiliense","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971926' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897193","NY00897193_01","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00897194","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler",NA,"G. M. Araújo","543","1989","South America","Brazil","Minas Gerais","Reserva Ecológica do Panga, Uberlândia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971932' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897194","NY00897194_01","10","31","Uberlândia","-48.2769","-18.9186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00897196","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","H. O. Sleumer","G. T. Prance","59670","1964","South America","Brazil","Goiás","Serra do Caiapó. 40 km south of Caiaponia.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971937' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897196","NY00897196_01","10","26","Caiapônia","-51.8103","-16.9569",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","00897198","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler",NA,"J. A. Ratter","R1113","1968","South America","Brazil","Mato Grosso","9 km E. of the Base Camp of the Expedition. (c. 270 km N. of Xavantina).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971954' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897198","NY00897198_01","04","19",NA,"-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00897195","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","H. O. Sleumer","E. P. Heringer","5522","1980","South America","Brazil","Distrito Federal","Bacia do Rio Sao Bartolomeu.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971941' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897195","NY00897195_01","09","30","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00897190","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","H. O. Sleumer","P. Clausen","9","1838","South America","Brazil","Minas Gerais","Minas-Geraes, Bresil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897190","NY00897190_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00897192","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","D. C. Daly; Z. Marchal","L. Riedel","s.n.","1824","South America","Brazil",NA,"Iter Brasiliense. Chapada.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971923' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897192","NY00897192_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00897197","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler","H. O. Sleumer","J. A. Ratter","R456","1967","South America","Brazil","Mato Grosso","2 km E. of Xavantina","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897197","NY00897197_01","08","24","Nova Xavantina","-52.33","-14.73","500","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00897199","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Salicaceae","Casearia","rupestris","Casearia rupestris","Eichler",NA,"J. A. Ratter","R1113","1968","South America","Brazil","Mato Grosso","9 km E. of the Base Camp of the Expedition. (c. 270 km N. of Xavantina).","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971964' target='other'> <mi>dwc_moreinfo</mi></a>","NY00897199","NY00897199_01","04","19",NA,"-51.87","-12.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
