"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","class","relatedCatalogItem","eventTime","fieldNumber","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","county","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","809924","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(W.A.Rodrigues) S.A.Mori, Y.-Y.Huang & Prance","Y.-Y. Huang; S. A. Mori","G. T. Prance","23466","1975","05","05","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km. 69-70.","-59.648332","-2.6569661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812027' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809924","NY00809924_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","809925","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(W.A.Rodrigues) S.A.Mori, Y.-Y.Huang & Prance","Y.-Y. Huang; S. A. Mori","L. Coêlho","s.n.","1972","06","21","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km. 69-70.","-59.648332","-2.6569661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812030' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809925","NY00809925_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","727","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(W.A.Rodrigues) S.A.Mori, Y.-Y.Huang & Prance","Y.-Y. Huang; S. A. Mori","G. T. Prance","17516","1973","09","05","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km. 69-70.","-59.648332","-2.6569661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=341058' target='other'> <mi>dwc_moreinfo</mi></a>","NY00000727","NY00000727_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","809923","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(W.A.Rodrigues) S.A.Mori, Y.-Y.Huang & Prance","Y.-Y. Huang; S. A. Mori","G. T. Prance","23455","1975","05","05","South America","Brazil","Amazonas","Manaus-Itacoatiara Road, Km. 69-70.","-59.648332","-2.6569661","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=812022' target='other'> <mi>dwc_moreinfo</mi></a>","NY00809923","NY00809923_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:02:11-03","NBC","NL-BOTANY","U 0003036","PreservedSpecimen","Plantae",NA,"Ericales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues","Prance GT","Prance GT; Rodrigues WA; et al.",NA,"1973","09","05","Southern America","Brazil","Amazonas","State of AmazonasManaus-Itacoatiara Road, Km 69-70.",NA,NA,NA,"Forest on terra firme.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003036 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003036","NL-U0003036","isotype","Magnoliopsidae","326891 B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2014-10-14 15:56:31-03","BS","M","M-0146486","S","Plantae","Magnoliophyta","Ericales","Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues",NA,"Monteiro, O.P.",NA,"1973","09","04",NA,"Brasil",NA,"Brazlian Amazonia. State of Amazonas, Manaus-Itacoatiara Road, km.69-70.",NA,NA,NA,NA,"M0146486",NA,"ISOTYPE","Magnoliopsida",NA,"21:00",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2015-11-01 21:33:27-02","MNHN","RECOLNAT_MNHN_P","P02284978","PreservedSpecimen",NA,NA,NA,"Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A.Rodrigues","Prance","Prance, G.T.|Rodrigues, W.A.|Lleras, E.|Coehlo, D.F.|Monteiro, O.P.",NA,"1973","9","5",NA,"Brésil",NA,"Territory of Rondônia, Basin of Rio Madeira : Manaus-Itacoatiara Road, Km. 69-70",NA,NA,"hb","Field work supported in greater part by the National Science Foundation and coordinated by G.T. Prance. Specimens distributed to: INPA, NY, U, US, K, S, MG, A, R, P, M, G, MO <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02284978' target='other'> <mi>dwc_moreinfo</mi></a>","P02284978","P02284978_01","isotype",NA,NA,NA,"17516",NA,NA,NA,NA,NA,NA,NA,NA
"8","2008-05-27 22:02:00-03","MO","MOBOT","3163675","PreservedSpecimen","Plantae",NA,NA,"Lecythidaceae","Cariniana","pauciramosa","Cariniana pauciramosa","W.A. Rodrigues","G.T. Prance","Ghillean T. Prance","Prance 17516","1973","9","5","South America","Brazil","Amazonas","Km . 69-70. Forest on terra firme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-01-10 20:42:43-03","INPA","INPA","210139","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(A.C.Sm.) S.A.Mori, Y.-Y.Huang & Prance","Mori, SA; Huang, YY","Sem Coletor","INPA210139","1974","06","27","Southern America","Brasil","Amazonas","AM 010, km 69, Estrada Manaus-Itacoatiara, Km 69.","-59.6","-2.661017",NA,NA,"INPA0210139","INPA0210139 INPA0210139_e",NA,NA,NA,NA,NA,"2008","09","-59.6","-2.661017",NA,NA,NA,NA
"10","2020-08-31 08:53:37-03","INPA","INPA","40712","S","Plantae","Dicotyledon Asterids","Ericales","Lecythidaceae","Allantoma","pauciramosa","Allantoma pauciramosa","(A.C.Sm.) S.A.Mori, Y.-Y.Huang & Prance","Mori, SA; Huang, YY","Prance, GT","17516","1973","09","05","Southern America","Brasil","Amazonas","AM 010, km 69-70, Estrada Manaus-Itacoatiara, km 69-70. Floresta em terra firme.","-59.648332","-2.656966",NA,NA,"INPA0040712","INPA0040712 INPA0040712_1 INPA0040712_1e INPA0040712_2 INPA0040712_2e INPA0040712_e INPA0040712_e1","holotype",NA,NA,NA,NA,"2008","09","-59.648332","-2.656966","20",NA,NA,NA
