"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","coordinatePrecision","geoFlag","infraspecificEpithet","class","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:45-03","UNESC","CRI","13856","PreservedSpecimen","Plantae","Orchidaceae","Hapalorchis","lineatus","Hapalorchis lineatus","(Lindl.) Schltr.","Alexandre Medeiros","2018","08","11","Alexandre Medeiros","930","2018","08","11","Brasil","Santa Catarina","Balneário Camboriú","Barra APA Costa Brava","-48.595556","-27.006111","48º35'44''W","27º0'22''S","Flor verde/ branca Habitat: Terrestre Habito: Herbácea","CRI012467",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","73809","PreservedSpecimen","Plantae","Orchidaceae","Hapalorchis","cheirostyloides","Hapalorchis cheirostyloides","Schltr.",NA,NA,NA,NA,"H. F. Pittier","5992","1913","03","19","Venezuela","Miranda",NA,"Guinand Estate (Cárdenas), Siquire Valley",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=399183' target='other'> <mi>dwc_moreinfo</mi></a>","NY00073809","Magnoliophyta","Asparagales","isotype","South America","500","1000","sheet","NY00073809_01",NA,NA,NA,NA,NA,NA,NA
"3","2020-01-20 14:40:47-03","UPM","MACK","2630","PreservedSpecimen","Plantae","Orchidaceae","Hapalorchis","lineatus","Hapalorchis lineatus","(Lindl.) Schltr","Gonçalves, G.F.; Barros, F.",NA,NA,NA,"Gonçalves, G.F.","24","2013",NA,NA,"Brasil","SP","Campos do Jordão","Umuarama; APA Mackenzie; área de mata","-45.5900001525879","-22.7299995422363",NA,NA,"Flores brancas, riscadas de verde; encontradas sobre tronco caido na mata; raizes intumecidas e pubescentes; folhas semitriangulares e nervação retuculada",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048","auto",NA,NA,NA,NA,NA
"4","2021-03-31 13:41:04-03","MN","R","36169","PreservedSpecimen","Plantae","Orchidaceae","Hapalorchis","lineatus","Hapalorchis lineatus var.brevicaulis","Hoehne","Hoehne, F.C.",NA,NA,NA,"Brade, A.C.","9321","1929","09","19","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,"1600","1600",NA,NA,"38539","auto","var.brevicaulis",NA,NA,NA,NA
"5","2021-03-31 13:41:04-03","MN","R","24861","PreservedSpecimen","Plantae","Orchidaceae","Hapalorchis","lineatus","Hapalorchis lineatus var.brevicaulis","Hoehne","Hoehne, F.C.",NA,NA,NA,"Brade, A.C.","10392","1930","07","04","Brasil","Rio de Janeiro","Itatiaia","Três Casas","-44.5633010864258","-22.4960994720459",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19648","auto","var.brevicaulis",NA,NA,NA,NA
"6","2019-08-27 13:26:35-03","IAP","PACA-AGP","37772","PreservedSpecimen","Plantae","Orchidaceae","Hapalorchis","lineatus","Hapalorchis lineatus","(Lindl.) Schltr.","F.B. Colla","2013","07","04","Rambo, B.",NA,"1948","10","01","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,"Confirmada por C.R. Buzatto em 04.2014. Habitat: In silva campestri Fenofase: flor","PACA037772","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"29946","auto",NA,"Liliatae",NA,NA,NA
"7","2019-11-21 14:40:40-03","UFJF","CESJ","69247","PreservedSpecimen","Plantae","Orchidaceae","Cyclopogon","lineatus","Cyclopogon lineatus","(Lindl.) Pabst","L. Menini Neto","2017","02",NA,"G.B. Oliveira; A.C.A. Pereira; R. Mello-Silva; S.G. Furtado; P.H. Cardoso","288","2016","08","23","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular, Gruta das Bromélias, 15-20m da entrada da gruta","-43.899444","-21.709167","-43.899444","-21.709167","ca. 30 cm, folha variegada e flor creme, terrícola","CESJ069247","Angiosperma",NA,NA,"América do Sul","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-11-21 14:40:40-03","UFJF","CESJ","71711","PreservedSpecimen","Plantae","Orchidaceae","Cyclopogon","lineatus","Cyclopogon lineatus","(Lindl.) Pabst","L. Menini Neto","2017","08","28","D.E.F. Barbosa; S.G. Furtado; L.V.V. Cruz; L.C. Pereira; L. Menini Neto","477","2017","08","28","Brasil","Minas Gerais","Alto Caparaó","Serra do Caparaó, Floresta semidecidual montana","-42.408611","-20.708611","-42.408611","-20.708611","Epífita a 1m. Flores creme. Interior de mata.","CESJ071711","Angiosperma",NA,NA,"América do Sul","1400","1400",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2019-11-21 14:40:40-03","UFJF","CESJ","69346","PreservedSpecimen","Plantae","Orchidaceae","Cyclopogon","lineatus","Cyclopogon lineatus","(Lindl.) Pabst","G.B. Oliveira","2017","02",NA,"G.B. Oliveira; G.C. Iote","289","2016","09","26","Brasil","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Nanofloresta Nebular, Gruta das Bromélias, 15-20m da entrada da gruta","-43.899444","-21.709167","-43.899444","-21.709167","Flores cremes","CESJ069346","Angiosperma",NA,NA,"América do Sul","1450","1450",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-11-21 14:40:40-03","UFJF","CESJ","9348","PreservedSpecimen","Plantae","Orchidaceae","Cyclopogon","lineatus","Cyclopogon lineatus","(Lindl.) Pabst","F.deBarros","1994","04","12","U.C. Câmara","s.n.","1970","09","29","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,"Terrestre, na mata de galeria. Frutos novos.","CESJ009348","Angiosperma",NA,NA,"América do Sul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
