"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","stateProvince","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","infraspecificEpithet","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01843716","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","amazonica","Dorstenia amazonica","Carauta, C.Valente & O.M.Barth","M. D. M. Vianna Filho","paratype","R. Spruce","2196","1852","01","South America","Brazil","Prope San Gabriel da Cachoeira, ad Rio Negro, Brasiliae borealis.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2092974' target='other'> <mi>dwc_moreinfo</mi></a>","NY01843716","NY01843716_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","25251","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","amazonica","Dorstenia amazonica","Carauta, C.Valente & O.M.Barth",NA,"isotype","J. P. P. Carauta","1863","1976","01","South America","Brazil","Fazenda Bóa Vista. Perto da margem do Rio Boa Vista, afluente fo Rio Lontra.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=88232' target='other'> <mi>dwc_moreinfo</mi></a>","NY00025251","NY00025251_01 NY00025251_02","28","Tocantins","Araguaína","-48.2","-6.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","869177","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","amazonica","Dorstenia amazonica","Carauta, C.Valente & O.M.Barth","M. D. M. Vianna Filho",NA,"H. S. Irwin","10675","1965","11","South America","Brazil","Ca. 12 km W. of Taguatinga on road to Brasilândia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1031199' target='other'> <mi>dwc_moreinfo</mi></a>","NY00869177","NY00869177_01","26","Distrito Federal","Brasília","-48.15","-15.8","1250","1250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02128342","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"J. A. Steyermark","89299","1961","02","South America","Venezuela","At Las Chicharras","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287047' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128342",NA,"11","Bolívar",NA,NA,NA,"150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","02128338","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","C. C. Berg",NA,"S. G. Beck","15351","1990","03","South America","Bolivia","Espiritu, en la zona de influencia del Río Yacuma","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287022' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128338",NA,"24","El Beni","José Ballivian","-66.6167","-14.2","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","565951","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","J. P. P. Carauta",NA,"P. K. H. Dusén","15695","1914","10","South America","Brazil","Villa Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565951","NY00565951_01 NY00565951_02","21","Paraná",NA,"-50.012929","-25.234872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-27 04:11:00-03","NY","NYBG","02128345","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,NA,NA,"O. Huber","604","1977","04","South America","Venezuela","Estación Piscicultura de Puerto Ayacucho. Terreno situado entre la Carretera hacia Samariapo y la pista de aterrizaje del Aeropuerto de Puerto Ayacucho.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287050' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128345",NA,"14","Amazonas",NA,"-67.6","5.62","75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-27 06:35:00-03","NY","NYBG","02128337","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis",NA,"C. C. Berg",NA,"R. Scolnik","680","1947","12","South America","Bolivia","Buen Retiro (sobre Río Blanco)","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2287018' target='other'> <mi>dwc_moreinfo</mi></a>","NY02128337",NA,"20","El Beni","Itenez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","309714","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","M. H. Nee",NA,"M. H. Nee","49241","1998","05","South America","Bolivia","5.4 km (by road) W of Todos Santos, 9 km (by road) W of Mairana, along dirt road from Mairana to Alto de Mairana.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710076' target='other'> <mi>dwc_moreinfo</mi></a>","NY00309714",NA,"08","Santa Cruz","Florida","-64.02","-18.13","1775","1775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","565943","PreservedSpecimen","Plantae","Magnoliophyta","Rosales","Moraceae","Dorstenia","brasiliensis","Dorstenia brasiliensis","Lam.","G. G. Hatschbach",NA,"C. B. Poliquesi","563","1996","10","South America","Brazil","Rodeio Santo Antônio","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=710075' target='other'> <mi>dwc_moreinfo</mi></a>","NY00565943",NA,"07","Paraná","Balsa Nova","-49.6356","-25.5842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
