"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","fieldNumber","class","individualCount","day","yearIdentified","monthIdentified","county","coordinatePrecision","geoFlag","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","00527551","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","R. M. Harley","L. Riedel","2346","1834","06","South America","Brazil","São Paulo","V[ill]a Franca","-47.408394","-20.588552","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=634946' target='other'> <mi>dwc_moreinfo</mi></a>","NY00527551","NY00527551_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2017-11-16 14:20:35-02","MNHN","RECOLNAT_MNHN_P","P00720890","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Saint-Hilaire","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes : un bois humide dans les Campos herbeux et élevés près le Serra da Canastra",NA,NA,"hb","Hyptis n. specif. alpestris A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720890' target='other'> <mi>dwc_moreinfo</mi></a>","P00720890","P00720890_01 P00720890_02","holotype","C1 418",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2009-04-14 11:52:17-03","MNHN","RECOLNAT_MNHN_P","P00720891","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Bentham","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes : un bois humide dans les Campos herbeux et élevés près le Serra da Canastra",NA,NA,"hb","Hyptis n. specif. alpestris A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720891' target='other'> <mi>dwc_moreinfo</mi></a>","P00720891","P00720891_01","isotype","C1 418",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-09-05 07:48:11-03","MNHN","RECOLNAT_MNHN_P","P00720942","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","coerulea","Hyptis coerulea","A.St.-Hil. ex Benth.","Saint-Hilaire","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes : pâturages dans la Serra da Canastra",NA,NA,"hb","Hyptis n. spec. coerulea A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720942' target='other'> <mi>dwc_moreinfo</mi></a>","P00720942","P00720942_01 P00720942_02","holotype","C1 368",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2015-09-05 07:48:11-03","MNHN","RECOLNAT_MNHN_P","P00720943","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","coerulea","Hyptis coerulea","A.St.-Hil. ex Benth.","Bentham","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes : pâturages dans la Serra da Canastra",NA,NA,"hb","Hyptis n. spec. coerulea A.St.-Hil. mss <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720943' target='other'> <mi>dwc_moreinfo</mi></a>","P00720943","P00720943_01","isotype","C1 368",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2015-09-27 06:39:45-03","MNHN","RECOLNAT_MNHN_P","P00720944","PreservedSpecimen",NA,NA,NA,"Lamiaceae","Hyptis","coerulea","Hyptis coerulea","A.St.-Hil. ex Benth.","Bentham","Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil",NA,"Province de Minas Geraes : pâturages dans la Serra da Canastra",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00720944' target='other'> <mi>dwc_moreinfo</mi></a>","P00720944","P00720944_01","isotype","C1 368",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","1440372","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A. St.-Hil. ex Benth.",NA,"Riedel, -- & -- Lund","2346","1834","6","South America - Neotropics","Brazil","São Paulo","Prope Frauca.",NA,NA,NA,NA,"US02885065","US02885065_01",NA,NA,"Docotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"8","2020-09-12 05:00:02-03","US","US","2197224","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A. St.-Hil. ex Benth.",NA,"A. Macedo","3807","1953","3","South America - Neotropics","Brazil","Minas Gerais","Antigo campo da Panais, Baneiro, Municipio Araxá, Estado MG.",NA,NA,NA,NA,"US02885062","US02885062_01",NA,NA,"Docotyledonae","1","6",NA,NA,NA,NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","1573830","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A. St.-Hil. ex Benth.",NA,"L. Riedel","2346","1834","6","South America","Brazil",NA,"Franea.",NA,NA,NA,NA,"US02885064","US02885064_01",NA,NA,"Docotyledonae","1",NA,NA,NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2952842","PreservedSpecimen","Plantae",NA,"Lamiales","Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A. St.-Hil. ex Benth.",NA,"A. Macedo","3807","1953","6","South America - Neotropics","Brazil","Minas Gerais","Antigo campo da Panais, Baneiro, Municipio Araxá, Estado Minas.",NA,NA,NA,NA,"US02885063","US02885063_01",NA,NA,"Docotyledonae","1","6",NA,NA,NA,NA,NA,NA
"11","2019-11-13 11:20:45-03","USP","SPF","137595","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Harley, RM","Farinaccio, MA","299","1999","05",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra","-46.3657989501953","-20.2453002929688",NA,NA,"SPF00137595","SPF00137595",NA,NA,NA,NA,"15","2004","04","São Roque de Minas","57119","auto",NA
"12","2019-10-07 09:16:12-03","UEFS","HUEFS","164505","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","R.M.Harley","Macedo, E.E.","37845","2006","03",NA,"Brasil","São Paulo","Parque Estadual das Furnas do Bom Jesus","-47.4700012207031","-20.25",NA,NA,"HUEFS0164505","HUEFS0164505",NA,NA,"Asteranae",NA,"07","2011","10","Pedregulho","27552","auto",NA
"13","2019-09-04 17:57:09-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris",NA,NA,"A. Saint-Hilaire","s.n.","1816",NA,"South America","Brazil","Minas Gerais",NA,"-44","-18",NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-01-23 11:13:56-02","F","FMNH-SEEDPLANTS","V0044257F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris",NA,NA,"A. Saint-Hilaire","C1, 418",NA,NA,"South America","Brazil","Minas Gerais",NA,"-44","-18",NA,NA,"V0044257F","V0044257F_01","Isotype",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-09-04 19:26:05-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lamiaceae","Hyptis","coerulea","Hyptis coerulea",NA,NA,"A. Saint-Hilaire",NA,NA,NA,"South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"Type [status unknown]",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-05-06 11:58:16-03","UFU","HUFU","32995","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Cruz, M.P.","Volpi, R.L.; Romero, R.; Pacheco, R.A.; Mendonça, I.; Cruz, M.P.; Alves, A.S. & Carvalho, S.M","617","2003","05",NA,"Brasil","Minas Gerais","Trilha Escada de Pedras","-46.8539009094238","-20.343900680542",NA,"Subarbusto, ca. 0,6 m. Cálice verde, corola lilás, perfumada.; Campo rupestre.","HUFU00040014","HUFU00040014",NA,NA,NA,NA,"15","2003","07","Delfinópolis","41380","auto","03"
"17","2019-05-06 11:58:16-03","UFU","HUFU","8909","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Nakajima, J.N.","Romero, R.; Nakajima, J.N.; Alcantara, M.B. & Prado, C.A.L.","2236","1995","05",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Estrada São Roque de Minas - Sacramento, próximo ao Córrego dos Passageiros.","-47.439998626709","-19.8652992248535",NA,"Herbácea prostrada. Cálice esverdeado com ápice dos lacínios lilás. Corola lilás e Estigmas brancos.; Campo hidromórfico.","HUFU00040019","HUFU00040019",NA,NA,NA,NA,"13","2003","11","Sacramento","69737","auto",NA
"18","2019-05-06 11:58:16-03","UFU","HUFU","8683","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Nakajima, J.N.","Romero, R.; Nakajima, J.N.; Alcantara, M.B. & Prado, C.A.L.","2133","1995","05",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Guarita de Sacramento.","-47.439998626709","-19.8652992248535",NA,"Herbáceo rasteiro. Corola lilás. Anteras creme.; Campo limpo.","HUFU00040020","HUFU00040020",NA,NA,NA,NA,"09","2003","11","Sacramento","69737","auto",NA
"19","2019-05-06 11:58:16-03","UFU","HUFU","8129","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Nakajima, J.N.","Romero, R.; Nakajima, J.N.; Zanini, E. & Cesar, R.","1859","1995","03",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Próximo a guarita de Sacramento.","-47.439998626709","-19.8652992248535",NA,"Herbáceo, ca. 0,2 m. Cálice e Corola rósea-claro.; Campo limpo.","HUFU00040031","HUFU00040031",NA,NA,NA,NA,"16","2003","11","Sacramento","69737","auto",NA
"20","2019-05-06 11:58:16-03","UFU","HUFU","12720","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.",NA,"Nakajima, J.N.; Ressel, K. & Guimarães, F.A.G.","1910","1996","07",NA,"Brasil","Minas Gerais","Chapadão do Diamante, após a antena.","-46.3657989501953","-20.2453002929688",NA,"Herbácea, ca. 0,3 m. Brácteas esverdeadas. Cálice violeta. Corola arroxeada. Estames violeta.; Campo limpo.","HUFU00040022","HUFU00040022",NA,NA,NA,NA,"09",NA,NA,"São Roque de Minas","57119","auto",NA
"21","2019-05-06 11:58:16-03","UFU","HUFU","12451","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Andrade, T.","Nakajima, J.N.; Romero, R.","1685","1996","03",NA,"Brasil","Minas Gerais","Estrada para o retiro das Pedras.","-46.3657989501953","-20.2453002929688",NA,"Herbácea prostrada ca. 0,3 m. Cálice e Estilete violeta. Corola lilás.; Campo limpo.","HUFU00040030","HUFU00040030",NA,NA,NA,NA,"21","2005","02","São Roque de Minas","57119","auto","15"
"22","2019-05-06 11:58:16-03","UFU","HUFU","5438","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Harley, R.","Nakajima, J.N.; Romero, R. & Guilherme, F.A.G.","298","1994","04",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, 20km da sede.","-46.3657989501953","-20.2453002929688",NA,"Herbácea, ca. 0,20 m. Brácteas verdes; cálice e corola arroxeados.; Campo limpo. Solo argiloso.","HUFU00040016","HUFU00040016",NA,NA,NA,NA,"19","1997","06","São Roque de Minas","57119","auto",NA
"23","2019-05-06 11:58:16-03","UFU","HUFU","9386","S","Plantae",NA,NA,"Lamiaceae","Hyptis","alpestris","Hyptis alpestris","A.St.-Hil. ex Benth.","Nakajima, J.N.","Romero, R.; Nakajima, J.N.; Oliveira, R.; Oliveira, P.E. & Schiavini, I.","2463","1995","07",NA,"Brasil","Minas Gerais","Parque Nacional da Serra da Canastra, Chapadão do Diamante.","-46.3657989501953","-20.2453002929688",NA,"Herbácea, prostrada. Cálice verde. Corola violeta.; Campo rupestre.","HUFU00040015","HUFU00040015",NA,NA,NA,NA,"16","2003","11","São Roque de Minas","57119","auto",NA
