"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","1239472","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.","isotype","J. S. Blanchet","3396","South America","Brazil","Igreja Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470363' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239472","NY01239472_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1239470","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.","isotype","J. S. Blanchet","3396","South America","Brazil","Igreja Velha","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470353' target='other'> <mi>dwc_moreinfo</mi></a>","NY01239470","NY01239470_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-08 17:37:05-03","EAO","IAN","58181","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.",NA,"Blanchet, JS","3396","Southern America","Brasil",NA,NA,NA,"IAN058181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-05-19 10:29:38-03","UFBA","ALCB","72840","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","blanchetti","Lychnophora blanchetti","Sch. Bip.",NA,"Queiroz, LP de; Silva, BM da; Gusmão, LFP; Barreto, IC","5612","Southern America","Brasil","Chapada Diamantina, ca. 4 km N de Mucugê na Chapada para Andaraí, sede do 'Projeto Sempre-Viva'. Caminho para mara acima do Tiburtino",NA,"ca. 1,0 m de alt. ramificado. Folhas discolores, com face abaxial argentea. Flor com corola e ramos do estilete liláses. Frequente na margem do rio Cumbuca, entre rochas.",NA,NA,"Roque, N; Alves, M","2019","10","01","2000","01","23","Bahia","Mucugê","-41.341389","-12.991667","-41.341389","-12.991667","1049","1049",NA,NA,NA,NA,NA,NA,NA
"5","2020-05-19 10:29:38-03","UFBA","ALCB","94645","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","blanchetti","Lychnophora blanchetti","Sch. Bip.",NA,"Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","17126","Southern America","Brasil","Chapada Diamantina, Próximo ao rio Piaba.",NA,NA,NA,NA,"Roque, N","2010","06",NA,"2010","06","15","Bahia","Mucugê","-41.278333","-12.950556","-41.278333","-12.950556","848","848",NA,NA,NA,NA,NA,NA,NA
"6","2020-05-19 10:29:38-03","UFBA","ALCB","99460","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","blanchetti","Lychnophora blanchetti","Sch. Bip.",NA,"Ogasawara, HA; Equipe Labea","58","Southern America","Brasil","Chapada Diamantina",NA,"ca. 2 m alt. Folhas cartáceas, revolutas, com tricomas na face abaxial, bicolores, alternas verticiladas; corola lilás; pápus dourado.",NA,NA,"Ogasawara, HA","2011","02",NA,"2011","01","30","Bahia","Ibicoara","-41.2846984863281","-13.4105997085571",NA,NA,NA,NA,"34188","auto",NA,NA,NA,NA,NA
"7","2020-05-19 10:29:38-03","UFBA","ALCB","97469","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","blanchetti","Lychnophora blanchetti","Sch. Bip.",NA,"Roque, N","2919","Southern America","Brasil","Chapada Diamantina, Em torno do Hotel Alpina",NA,"Ca. de 2 m de alt. Folhas discolores. Brácteas involucrais castanhas. Corolas alvas, estigmas liláses.",NA,NA,"Roque, N","2010","10",NA,"2010","10","06","Bahia","Mucugê","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"8","2020-05-19 10:29:38-03","UFBA","ALCB","98998","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Lychnophora","blanchetti","Lychnophora blanchetti","Sch. Bip.",NA,"Alves, M; Hurbath, F","23","Southern America","Brasil","Chapada Diamantina, Trilha para o Córrego do Boiadeiro.",NA,"Ca. de 1,8 m de alt. Folhas discolores. Corolas brancas. Ápice do estilete roxo.",NA,NA,"Alves, M","2011","05",NA,"2011","04","29","Bahia","Mucugê","-41.3708000183105","-13.0052995681763",NA,NA,NA,NA,"52493","auto",NA,NA,NA,NA,NA
"9","2020-02-08 08:50:19-03","NBC","NL-BOTANY","U.1136769","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch.Bip.",NA,"Harley RM; et al.",NA,"Southern America","Brazil","Estado de Bahia, Serra do Sincorá. By Rio Cumbuca ca. 3km S. of Mucugé, near site of small dam on road to Cascavel. Riverside, damp sandy soil, sandstone rocks and partly burnt-over vegetation.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136769 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136769","NL-U1136769",NA,NA,NA,NA,"1974","02","04",NA,NA,"-41.35","-13.016667","-41.35","-13.016667",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"10","2021-01-14 15:24:08-03","MN","R","15569","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lychnophora","blanchetii","Lychnophora blanchetii","Sch. Bip.",NA,"Glaziou, A.F.M.","19485",NA,"Brasil",NA,NA,"Plantas do Brasil Central","R000015569","R000015569_001",NA,NA,NA,NA,"1892","04","26","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
