"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","verbatimLongitude","verbatimLatitude","scientificNameAuthorship","imagecode","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","order","continentOcean"
"1","2020-11-04 12:15:58-03","ESALQ","ESA","143538","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Souza, V.C.","2019","09","04","Souza, V.C. & Colletta, G.D.","42514.0","2019","09","03","Brasil","São Paulo","Barra do Chapéu","Serra dos Cristais. Campo de altitude.","-49.0200004577637","-24.4699993133545","23554","Erva, até 80 cm alt.; frutos castanhos.","ESA143538","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:18:25-03","ESALQ","ESA","89282","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Souza, V.C.",NA,NA,NA,"Souza, V.C.; Tsuji, R.; Rando, J.G.","30109.0","2004","12","17","Brasil","São Paulo","Bom Sucesso de Itararé","Ventania. Campo de altitude.","-49.1399993896484","-24.3099994659424","14955","Subarbusto, ca. 50 cm alt.; corola violeta. Abundante no local e em plena floração.","ESA089282","auto","Magnoliophyta","-49,151,389","-24,269,722",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 11:18:25-03","ESALQ","ESA","15567","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Bacigalupo, N.M.","2007",NA,NA,"Souza, V.C. et al.","6112.0","1994","06","03","Brasil","São Paulo","Apiaí",NA,"-48.8400001525879","-24.5","37738",NA,"ESA015567","auto","Magnoliophyta",NA,NA,"E.L.Cabral & Bacigalupo",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:18:25-03","ESALQ","ESA","111248","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Silva, A.L.R.","2008","10","25","Oliveira, J.T.","26.0","2008","10","19","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516","27729",NA,"ESA111248","auto","Magnoliophyta",NA,NA,NA,"ESA111248",NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:15:58-03","ESALQ","ESA","143594","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Souza, V.C.","2019","09","06","Souza, V.C. & Colletta, G.D.","42570.0","2019","09","04","Brasil","São Paulo","Bom Sucesso de Itararé","Serra do Macaco. Campo de altitude com floresta ombrófila mista nos pontos mais baixos 1100-1300 m.s.m.","-49.1399993896484","-24.3099994659424","14955","Subarbusto, até 60 cm alt.; corola violeta-azulada.","ESA143594","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:18:25-03","ESALQ","ESA","93950","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Souza, V.C.",NA,NA,NA,"Souza, V.C.; Camargo, P.C.C.E.; Caliari, C.P.; Garcia, P.B.C.","31996.0","2005","12","09","Brasil","São Paulo","Bom Sucesso de Itararé","Ventania. Campo de altitude com plantação de Pinus adjacente.","-49.1399993896484","-24.3099994659424","14955","Subarbusto, até 1 m alt.; flores violeta-arroxeadas.","ESA093950","auto","Magnoliophyta",NA,NA,"E.L. Cabral & Bacigalupo","ESA093950",NA,NA,NA,NA,NA,NA
"7","2020-11-04 11:18:25-03","ESALQ","ESA","85498","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Souza, V.C.",NA,NA,NA,"Paula-Souza, J.; Souza, V.C.; Mazine, F.F.; Lucas, E.; Romão, G.O.","3710.0","2003","11","13","Brasil","São Paulo","Bom Sucesso de Itararé","Ventania. Campo de altitude em escarpa íngreme, próximo a plantio de Pinus","-49.1399993896484","-24.3099994659424","14955","Erva, flores azuladas","ESA085498","auto","Magnoliophyta","-49,151,389","-24,269,722",NA,"ESA085498","1120","1120",NA,NA,NA,NA
"8","2021-03-01 16:39:29-03","UNICAMP","UEC","85428","S","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Bacigalupo, NM; Cabral, EL","1998",NA,NA,"Souza, VC; Miyagi, PH; Moncaio, E","6112","1994","06","03","Brazil","São Paulo","Apiaí","Distrito Barra do Chapéu, Ca. 8 km de Bonsucesso de Itararé","-49.133333","-24.45",NA,"Erva, até 50 cm alt.; corola violeta - azulada; Campo","UEC055372",NA,"Magnoliopsida","-49.133333","-24.45","Cabral & Bacigalupo","UEC055372",NA,NA,"isotypus",NA,NA,NA
"9","2019-06-24 08:11:41-03","IAC","IAC","32291","S","Plantae","Rubiaceae-207.Rubioideae-Spermacoceae","Galianthe","souzae","Galianthe souzae","E.L. Cabral","1998","06","17","V.C. Souza","4431","1993","10","30","Brasil","São Paulo","Itararé","Fazenda São Nicolau","-49.3317","-24.1125",NA,NA,NA,NA,NA,"-49.3317","-24.1125","E.L.Cabral & Bacigalupo",NA,NA,NA,NA,NA,NA,NA
"10","2020-02-20 14:37:24-03","IAC","IAC","32293","S","Plantae","Rubiaceae-207.Rubioideae-Spermacoceae","Galianthe","souzae","Galianthe souzae","E.L. Cabral & E.L. Cabral","1994","08","17","K.D. Barretto et al.","2976","1994","08","17","Brasil","São Paulo","Itararé","Pedreira Cobastalco","-49.2128611","-24.3007222",NA,"PARATYPUS - Boletín de la Sociedad Argentina de Botánica 34: 153#?#154, f. 3. 2000. Coordenadas do material: 24°18#?#02.6S 49°12#?#46.3W",NA,NA,NA,"-49.2128611","-24.3007222","E.L.Cabral & Bacigalupo",NA,NA,NA,"Parátipo",NA,NA,NA
"11","2020-02-20 14:37:24-03","IAC","IAC","32325","S","Plantae","Rubiaceae-207.Rubioideae-Spermacoceae","Galianthe","souzae","Galianthe souzae","E.L. Cabral","1994","11","24","K.D. Barretto et al.","3270","1994","11","24","Brasil","São Paulo","Itararé","Pedreira Cobastalco","-49.2132222","-24.3008889",NA,"PARATYPUS - Boletín de la Sociedad Argentina de Botánica 34: 153#?#154, f. 3. 2000. Coordenadas do material: 24°18#?#03.2S 49°12#?#47.6W",NA,NA,NA,"-49.2132222","-24.3008889","E.L.Cabral & Bacigalupo",NA,NA,NA,"Parátipo",NA,NA,NA
"12","2021-03-04 15:46:04-03","IF","SPSF","53468","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","L.S. Braga","2017","01","31","O.T. Aguiar","1403","2014","11","05","Brasil","SP","Itararé","Estação Experimental de Itararé","-49.200556","-24.296389",NA,"COLETA: Erva com 50 cm de altura. Flores brancas. Botões azul-claro.; GEOGRAFIA: Vegetação de afloramento rochoso.;",NA,NA,"Magnoliophyta",NA,NA,"((E.L.Cabral) & Bacigalupo)",NA,"1120","1120",NA,"Magnoliopsida","Rubiales","América do Sul"
"13","2021-03-04 15:46:04-03","IF","SPSF","53469","PreservedSpecimen","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","L.S. Braga",NA,NA,NA,"O.T. Aguiar et al.","1404","2015","03","12","Brasil","SP","Itararé","Estação Experimental de Itararé","-49.216944","-24.305",NA,"COLETA: Erva de 1m de altura. Flores brancas e botões arroxeados.; GEOGRAFIA: Vegetação de afloramento rochoso.;",NA,NA,"Magnoliophyta",NA,NA,"((E.L.Cabral) & Bacigalupo)",NA,"1090","1090",NA,"Magnoliopsida","Rubiales","América do Sul"
"14","2019-11-21 10:17:57-03","IBt","SP","298579","S","Plantae","Rubiaceae","Galianthe","souzae","Galianthe souzae","Bacigalupo, NM","2007",NA,NA,"Souza, VC; Miyagi, PH; Moncaio, E","6112","1994","06","03","Brasil","São Paulo","Apiaí","Distr. Barra do Chapéu, ca. 8 km de Bonsucesso de Itararé. Campo","-49.133333","-24.45",NA,"Erva, até 50 cm alt., corola violeta-azulada","SP001551",NA,NA,"-49.133333","-24.45","E.L.Cabral & Bacigalupo","SP001551",NA,NA,"Holotype",NA,NA,NA
