"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","preparationType","occurrenceRemarks","barcode","class","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","fieldNumber","imagecode","typeStatus","verbatimLongitude","verbatimLatitude","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","04199133","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Lytoneuron","quinquelobatum","Lytoneuron quinquelobatum","(Fée) Yesilyurt","A. F. M. Glaziou","7011","South America","Brazil","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4527368' target='other'> <mi>dwc_moreinfo</mi></a>","NY04199133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:36:19-03","IAP","PACA-AGP","115263","PreservedSpecimen","Plantae","Pteridophyta","Polypodiales","Pteridaceae","Doryopteris","quinquelobata","Doryopteris quinquelobata var","Brade","PlKrieger","13399",NA,"Brasil",NA,"Var. septemlobata&nf;Herbário da Universidade Federal de Juiz de Fora Habitat: Sobre rochedos.","PACA115263","Filicopsida","var","A. Sehenm 15984","1978","04","13","1974","11","03","ES","Venda Nova","Sumaré",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:54:20-03","UFJF","CESJ","14151","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","L. Krieger; M.C. Brügger; L.T. Souza","CESJ14151","América do Sul","Brasil",NA,NA,"CESJ014151",NA,NA,"R.F. Novelino","1995","02","15","1976","07","11","Minas Gerais",NA,"Serra Caparaó, 2600msm. Saxícola, em lugares abrigados formando moitas, junto às rochas.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-06-30 18:33:22-03","UFJF","CESJ","27283","PreservedSpecimen","Plantae","Polypodiopsida",NA,"Pteridaceae","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","R.F. Novelino; J.E.Z. Oliveira; P.B. Pita","998","América do Sul","Brasil",NA,"Rupícila. Poucos exemplares. Boa iluminação.","CESJ027283",NA,NA,"R.F. Novelino","1995","02","13","1993","05","01","Minas Gerais","Lima Duarte","Parque Estadual do Ibitipoca, Cachoeira dos macacos. Próximo ao trilho à esquerda do Rio do Salto.","-43.793098449707","-21.8425006866455","30417","auto",NA,NA,NA,NA,NA,NA
"5","2015-09-04 03:36:47-03","MNHN","RECOLNAT_MNHN_P","P00477718","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","Glaziou, A.",NA,NA,"Brésil","hb","Herb. A. Glaziou <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477718' target='other'> <mi>dwc_moreinfo</mi></a>","P00477718",NA,NA,NA,NA,NA,NA,"1867","11","12",NA,NA,"Bico do Papagaio, Rio Janeiro",NA,NA,NA,NA,"2055","P00477718_01",NA,NA,NA,NA
"6","2016-07-27 08:59:12-03","MNHN","RECOLNAT_MNHN_P","P00477719","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","Glaziou, A.",NA,NA,"Brésil","hb","Herb. E. Cosson, Herb. A. Fée <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477719' target='other'> <mi>dwc_moreinfo</mi></a>","P00477719",NA,NA,NA,NA,NA,NA,"1867","11","12",NA,NA,"Bico do Papagaio, Rio Janeiro",NA,NA,NA,NA,"2055","P00477719_01",NA,NA,NA,NA
"7","2016-01-11 16:06:53-02","MNHN","RECOLNAT_MNHN_P","P00507694","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","Glaziou, A.",NA,NA,"Brésil","hb","Herbier de A. Fée, Herb. E. Cosson <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507694' target='other'> <mi>dwc_moreinfo</mi></a>","P00507694",NA,NA,"Cislinski-Yesilyurt",NA,NA,NA,NA,NA,NA,NA,NA,"Rio-Janeiro",NA,NA,NA,NA,"7014","P00507694_01",NA,NA,NA,NA
"8","2016-01-11 16:08:10-02","MNHN","RECOLNAT_MNHN_P","P00507695","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","Glaziou, A.",NA,NA,"Brésil","hb","Herbier de A. Fée, Herb. E. Cosson <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507695' target='other'> <mi>dwc_moreinfo</mi></a>","P00507695",NA,NA,"Cislinski-Yesilyurt",NA,NA,NA,"1873","4","19",NA,NA,"Pic de la Tijuca, Rio Janeiro",NA,NA,NA,NA,"7013","P00507695_01",NA,NA,NA,NA
"9","2015-09-03 17:00:31-03","MNHN","RECOLNAT_MNHN_P","P01366676","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","Dusén, P.K.H.",NA,NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01366676' target='other'> <mi>dwc_moreinfo</mi></a>","P01366676",NA,NA,NA,NA,NA,NA,"1904","6","25",NA,NA,"Rio de Janeiro. Tijuca",NA,NA,NA,NA,"2530","P01366676_01",NA,NA,NA,NA
"10","2015-09-03 17:00:31-03","MNHN","RECOLNAT_MNHN_P","P01366677","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Doryopteris","quinquelobata","Doryopteris quinquelobata","(Fée) Diels","Glaziou, A.|frère, avec",NA,NA,"Brésil","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01366677' target='other'> <mi>dwc_moreinfo</mi></a>","P01366677",NA,NA,NA,NA,NA,NA,"1873","4","19",NA,NA,"Pic de la Tijuca, côté du levant, dans une crevasse. Rio Janeiro",NA,NA,NA,NA,"7011","P01366677_01",NA,NA,NA,NA
