"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","929710","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","P. Taylor","H. S. Irwin","22558","1969","01","24","South America","Brazil","Minas Gerais","Datas","Serra do Espinhaço, vicinity of Datas","-43.6556","-18.44535","1300","1300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997289' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929710","NY00929710_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","929714","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","P. Taylor","W. R. Anderson","35652","1972","02","07","South America","Brazil","Minas Gerais","Gouveia","Serra do Espinhaço, ca. 17 km SW of Gouevia, km 258 on MG-259","-43.83445","-18.56465","1000","1050","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997317' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929714","NY00929714_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","929711","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","P. Taylor","H. S. Irwin","29060","1971","01","25","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, sandstone summit of Serra de Caraça","-43.508849","-20.130068","1750","1950","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997302' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929711","NY00929711_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","929709","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.",NA,"A. F. Regnell","III:848","1867","01",NA,"South America","Brazil","Minas Gerais","Caldas","Caldas","-46.3858","-21.9236",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929709","NY00929709_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","929708","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.",NA,"A. F. Regnell","III:848","1865","01","09","South America","Brazil","Minas Gerais","Caldas","Caldas, Logar socezado","-46.3858","-21.9236",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929708","NY00929708_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","929733","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","P. M. Gonella","G. G. Hatschbach","28938","1972","01","19","South America","Brazil","Minas Gerais","Serro","Rod. MG-2 entre Serro & Datas","-43.3792","-18.6047",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997422' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929733","NY00929733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","929713","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","P. Taylor","H. S. Irwin","20665","1968","02","23","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, at Lapinha, ca. 18km N. of Sêrro on road (MG 2) to Diamantina.","-43.55","-18.55","1200","1200","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997312' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929713","NY00929713_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","929712","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","P. Taylor","H. S. Irwin","27877","1970","03","18","South America","Brazil","Minas Gerais","Diamantina","Serra do Espinhaço, Ca. 18 km E. of Diamantina","-43.5367","-18.1838","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=997310' target='other'> <mi>dwc_moreinfo</mi></a>","NY00929712","NY00929712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-30 12:43:04-03","EAO","IAN","138472","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","Taylor, P","Irwin, HS; Santos, RR dos","22558","1969","01","24","Southern America","Brasil","Minas Gerais",NA,"Meadow. Campo bordering meadow and slow creek, with adjacent outcrops, vicinity of Datas.",NA,NA,"1300","1300",NA,"Terrestrial, the inflorescences to ca. 8cm tall. Corolla violet. Fruit green.","IAN138472",NA,"1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:43:04-03","EAO","IAN","148692","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","Taylor, P","Irwin, HS; Maxwell, HS","20665","1968","02","23","Southern America","Brasil","Minas Gerais","Diamantina","In wet sand beneath very shallow water. Common, Quartz outcrops, serra do espinhaço at Lapinha, ca. 18km N of Sêrro on road (MG2) to Diamantina.","-43.6002998352051","-18.2493991851807","1200","1200",NA,"Corolla lavender-purple, the basal white spot margined with dark purple.","IAN148692",NA,"1973","101169","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2020-02-08 09:33:06-03","NBC","NL-BOTANY","U.1360457","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","Taylor PG","Regnell AF",NA,"1877","01","08","Southern America","Brazil","Minas Gerais",NA,"Minas Gerais, Pedra Branca",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1360457 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1360457","NL-U1360457",NA,NA,NA,"Magnoliopsidae","U 0257469",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 09:33:06-03","NBC","NL-BOTANY","U.1360458","PreservedSpecimen","Plantae",NA,"Lamiales","Lentibulariaceae","Genlisea","violacea","Genlisea violacea","A.St.-Hil.","Taylor PG","Regnell AF",NA,"1870","03","12","Southern America","Brazil","Minas Gerais",NA,"Minas Gerais, Caldas",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1360458 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1360458","NL-U1360458",NA,NA,NA,"Magnoliopsidae","U 0257468",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:12:11-03","ESALQ","ESA","97937","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Lentibulariaceae","Genlisea","violacea","Genlisea violacea",NA,"Gonella, P.M.","Souza, V.C.; Zappi, D.C.; Hind, D.J.N.; Paula-Souza, J.; Jennings, L.; Romão, G.O.; Rando, J.G.; Ferreira, M.A.P.; Miranda, E.","32835.0","2007","02","19",NA,"Brasil","Minas Gerais","Santana do Pirapama.","Serra do Cipó (Serra da Lapa). Distrito de São José da Cachoeira. Trilha da Senhorinha. Campo rupestre.","-437.498","-189.422","1300","1300",NA,"Erva, flores roxas com o centro amarelo","ESA097937","ESA097937","2011",NA,NA,NA,NA,"03","31","-437,498","-189,422",NA,NA,NA,NA
