NM_MUNICIP,CD_GEOCMU,geometry,mpo_check,municipio_padronizado,col
OSASCO,3534401,"c(-46.7887866360782, -23.533528999)",osasco,Osasco,red
BARUERI,3505708,"c(-46.8870471323499, -23.511832499)",barueri,Barueri,red
ITAPECERICA DA SERRA,3522208,"c(-46.8644741349313, -23.7361022144999)",itapecericadaserra,Itapecerica da Serra,red
CABREÚVA,3508405,"c(-47.0672318766982, -23.3135698255)",cabreuva,Cabreúva,red
SANTANA DE PARNAÍBA,3547304,"c(-46.9099123373149, -23.4465029989999)",santanadeparnaiba,Santana de Parnaíba,red
SÃO LOURENÇO DA SERRA,3549953,"c(-46.9325051337593, -23.8564807115)",saolourencodaserra,São Lourenço da Serra,red
ITAPEVI,3522505,"c(-46.9595983242925, -23.551249999)",itapevi,Itapevi,red
SÃO PAULO,3550308,"c(-46.7169858367786, -23.682307999)",saopaulo,São Paulo,red
JUQUITIBA,3526209,"c(-47.0134661041763, -23.9497657835)",juquitiba,Juquitiba,red
PIRAPORA DO BOM JESUS,3539103,"c(-46.9791744849226, -23.3777522329999)",piraporadobomjesus,Pirapora do Bom Jesus,red
COTIA,3513009,"c(-46.9800264654632, -23.6831264989999)",cotia,Cotia,red
MAIRINQUE,3528403,"c(-47.1984187769395, -23.5185216455)",mairinque,Mairinque,red
PEDRO DE TOLEDO,3537206,"c(-47.1630727002268, -24.177728999)",pedrodetoledo,Pedro de Toledo,red
ALUMÍNIO,3501152,"c(-47.2711080661752, -23.533635195)",aluminio,Alumínio,red
IBIÚNA,3519709,"c(-47.1347081825371, -23.810600659)",ibiuna,Ibiúna,red
JUNDIAÍ,3525904,"c(-46.9394929678873, -23.201601941)",jundiai,Jundiaí,red
ARAÇARIGUAMA,3502754,"c(-47.0844597686411, -23.4336652489999)",aracariguama,Araçariguama,red
CARAPICUÍBA,3510609,"c(-46.8415811979236, -23.5474561765)",carapicuiba,Carapicuíba,red
SÃO ROQUE,3550605,"c(-47.0811670654631, -23.5327599989999)",saoroque,São Roque,red
EMBU-GUAÇU,3515103,"c(-46.8191811330862, -23.8532585279999)",embuguacu,Embu-Guaçu,red
VOTORANTIM,3557006,"c(-47.4017869741592, -23.584107315)",votorantim,Votorantim,red
PIEDADE,3537800,"c(-47.4459466040058, -23.8017563735)",piedade,Piedade,red
EMBU DAS ARTES,3515004,"c(-46.8537570133531, -23.649165499)",embudasartes,Embu das Artes,red
TABOÃO DA SERRA,3552809,"c(-46.7875194844997, -23.621068499)",taboaodaserra,Taboão da Serra,red
VARGEM GRANDE PAULISTA,3556453,"c(-47.0227034243843, -23.6242872985)",vargemgrandepaulista,Vargem Grande Paulista,red
JANDIRA,3525003,"c(-46.9046378824754, -23.5408874594999)",jandira,Jandira,red
RIO GRANDE DA SERRA,3544103,"c(-46.3852702906275, -23.7381374989999)",riograndedaserra,Rio Grande da Serra,red
MAUÁ,3529401,"c(-46.4398233942354, -23.665897999)",maua,Mauá,red
VÁRZEA PAULISTA,3556503,"c(-46.824763038976, -23.2212329989999)",varzeapaulista,Várzea Paulista,red
ARUJÁ,3503901,"c(-46.3272829595696, -23.379425499)",aruja,Arujá,red
GUARAREMA,3518305,"c(-46.0664725735498, -23.4255304989999)",guararema,Guararema,red
FRANCO DA ROCHA,3516408,"c(-46.7345442879427, -23.3126601755)",francodarocha,Franco da Rocha,red
CAJAMAR,3509205,"c(-46.8667105680055, -23.3540636179999)",cajamar,Cajamar,red
CAIEIRAS,3509007,"c(-46.7417651610226, -23.376608999)",caieiras,Caieiras,red
SÃO JOSÉ DOS CAMPOS,3549904,"c(-45.9575052115214, -23.061548999)",saojosedoscampos,São José dos Campos,red
SUZANO,3552502,"c(-46.321238846582, -23.614832024)",suzano,Suzano,red
RIBEIRÃO PIRES,3543303,"c(-46.3879166468005, -23.694283725)",ribeiraopires,Ribeirão Pires,red
POÁ,3539806,"c(-46.3432864654063, -23.539138136)",poa,Poá,red
JACAREÍ,3524402,"c(-46.0062790609042, -23.295954499)",jacarei,Jacareí,red
MAIRIPORÃ,3528502,"c(-46.5455477420077, -23.3285214989999)",mairipora,Mairiporã,red
JARINU,3525201,"c(-46.7201803731059, -23.096360632)",jarinu,Jarinu,red
SÃO CAETANO DO SUL,3548807,"c(-46.5643007293398, -23.6250319989999)",saocaetanodosul,São Caetano do Sul,red
SANTA BRANCA,3546009,"c(-45.8853392205466, -23.4182121175)",santabranca,Santa Branca,red
SANTO ANDRÉ,3547809,"c(-46.5047488633909, -23.7107639989999)",santoandre,Santo André,red
NATIVIDADE DA SERRA,3532306,"c(-45.3697152247592, -23.4271041055)",natividadedaserra,Natividade da Serra,red
SÃO BERNARDO DO CAMPO,3548708,"c(-46.5269757454921, -23.804307999)",saobernardodocampo,São Bernardo do Campo,red
SANTA ISABEL,3546801,"c(-46.2361925960706, -23.2955539989999)",santaisabel,Santa Isabel,red
NAZARÉ PAULISTA,3532405,"c(-46.3773223875, -23.2048184989999)",nazarepaulista,Nazaré Paulista,red
JAMBEIRO,3524907,"c(-45.7108954248969, -23.276137499)",jambeiro,Jambeiro,red
MOGI DAS CRUZES,3530607,"c(-46.1912105614413, -23.556538554)",mogidascruzes,Mogi das Cruzes,red
ITAQUAQUECETUBA,3523107,"c(-46.3385740412245, -23.464061366)",itaquaquecetuba,Itaquaquecetuba,red
SALESÓPOLIS,3545001,"c(-45.84883188065, -23.5775459675)",salesopolis,Salesópolis,red
FRANCISCO MORATO,3516309,"c(-46.7285077892183, -23.2754204989999)",franciscomorato,Francisco Morato,red
CAMPO LIMPO PAULISTA,3509601,"c(-46.7575565519877, -23.210408748)",campolimpopaulista,Campo Limpo Paulista,red
FERRAZ DE VASCONCELOS,3515707,"c(-46.3688103463447, -23.5645004989999)",ferrazdevasconcelos,Ferraz de Vasconcelos,red
DIADEMA,3513801,"c(-46.6086965913621, -23.698190999)",diadema,Diadema,red
REDENÇÃO DA SERRA,3542305,"c(-45.5148676254484, -23.2491390275)",redencaodaserra,Redenção da Serra,red
GUARULHOS,3518800,"c(-46.4601951409939, -23.391980499)",guarulhos,Guarulhos,red
IGARATÁ,3520202,"c(-46.1573942091629, -23.1211529989999)",igarata,Igaratá,red
PARAIBUNA,3535606,"c(-45.6522931112345, -23.473950278)",paraibuna,Paraibuna,red
BIRITIBA MIRIM,3506607,"c(-46.0192777670319, -23.621676499)",biritibamirim,Biritiba Mirim,red
TUIUTI,3554953,"c(-46.6900345031952, -22.8306300975)",tuiuti,Tuiuti,red
PIRACAIA,3538600,"c(-46.2882482285703, -23.043369499)",piracaia,Piracaia,red
BOM JESUS DOS PERDÕES,3507100,"c(-46.4890191945407, -23.173923499)",bomjesusdosperdoes,Bom Jesus dos Perdões,red
VARGEM,3556354,"c(-46.416351231014, -22.8943168714999)",vargem,Vargem,red
ATIBAIA,3504107,"c(-46.5859840454217, -23.129464082)",atibaia,Atibaia,red
BRAGANÇA PAULISTA,3507605,"c(-46.5645427293735, -22.9366616359999)",bragancapaulista,Bragança Paulista,red
JOANÓPOLIS,3525508,"c(-46.2119568646907, -22.9349289989999)",joanopolis,Joanópolis,red
ITARIRI,3523305,"c(-47.1105517217941, -24.2860579225)",itariri,Itariri,red
JUQUIÁ,3526100,"c(-47.6627550103647, -24.2162316964999)",juquia,Juquiá,red
MIRACATU,3529906,"c(-47.4212708618272, -24.1937431789999)",miracatu,Miracatu,red
SETE BARRAS,3551801,"c(-47.9425659191613, -24.295585341)",setebarras,Sete Barras,red
SANTOS,3548500,"c(-46.2904109040392, -23.864074499)",santos,Santos,red
CUBATÃO,3513504,"c(-46.4140305386301, -23.861306999)",cubatao,Cubatão,red
PRAIA GRANDE,3541000,"c(-46.5159406671985, -24.018304883)",praiagrande,Praia Grande,red
ITANHAÉM,3522109,"c(-46.851592486125, -24.0954635195)",itanhaem,Itanhaém,red
MONGAGUÁ,3531100,"c(-46.6746768544787, -24.070587309)",mongagua,Mongaguá,red
SÃO VICENTE,3551009,"c(-46.4404029263659, -23.9548813549999)",saovicente,São Vicente,red
PERUÍBE,3537602,"c(-46.9843417093591, -24.2854007765)",peruibe,Peruíbe,red
SALTO DE PIRAPORA,3545308,"c(-47.5897865272628, -23.6614041169999)",saltodepirapora,Salto de Pirapora,red
SARAPUÍ,3551108,"c(-47.7886636819718, -23.649281396)",sarapui,Sarapuí,red
ITU,3523909,"c(-47.2856712695858, -23.297334432)",itu,Itu,red
ARAÇOIABA DA SERRA,3502903,"c(-47.6493737238256, -23.5429640659999)",aracoiabadaserra,Araçoiaba da Serra,red
CAPELA DO ALTO,3510302,"c(-47.7277177354232, -23.4734346609999)",capeladoalto,Capela do Alto,red
SOROCABA,3552205,"c(-47.442051863842, -23.4697824974999)",sorocaba,Sorocaba,red
IPERÓ,3521002,"c(-47.6166784928414, -23.4053974989999)",ipero,Iperó,red
ALAMBARI,3500758,"c(-47.8694830885241, -23.5504581465)",alambari,Alambari,red
BOITUVA,3507001,"c(-47.6895360282008, -23.2849613565)",boituva,Boituva,red
PORTO FELIZ,3540606,"c(-47.5230987358178, -23.2377707584999)",portofeliz,Porto Feliz,red
