"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","year","month","day","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","continentOcean","typeStatus"
"1","2019-08-27 13:26:46-03","IAP","PACA-AGP","60756","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Aristolochiales","Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","Emrich-Rambo","1957","08","19","Rau","552","Brasil","RS","Santa Maria","-53.8069000244141","-29.6842002868652","37819","VULNERÁVEL Habitat: In campestribus.","PACA060756","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-27 13:26:43-03","IAP","PACA-AGP","59082","PreservedSpecimen","Plantae","Magnoliophyta","Magnoliatae","Aristolochiales","Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","D. S.Nascimento","2008","02",NA,"J. Pivetta","921","Brasil","RS","Santa Maria","-53.8069000244141","-29.6842002868652","37819","Habitat: In graminosis. Fenofase: flor","PACA059082","auto","1953","11","28",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-10-14 09:58:35-03","FURB","FURB","40605","PreservedSpecimen","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","Araújo, A","2013","04","12","Verdi, M.; Jarenkow, J.A.","6363","Brasil","Rio Grande do Sul","Piratini","-53.0522222","-30.9808334",NA,NA,"FURB04302",NA,"2012","12","02","Pousada e camping Costa do Camaquã.","-53.0522222","-30.9808334","118","118","FURB04302",NA,NA
"4","2019-11-08 08:49:17-03","FURB","FURB","41859","PreservedSpecimen","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","Funez, L.A.","2016","07","04","Verdi, M.; Jarenkow, J.A.","6342","Brasil","Rio Grande do Sul","Santana da Boa Vista","-53.2647222","-30.8647222",NA,NA,"FURB04199",NA,"2012","12","02","Cerro do Diogo.","-53.2647222","-30.8647222","277","277","FURB04199",NA,NA
"5","2019-11-25 12:11:27-03","UFSM","SMDB","226","S","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","Rambo, B","1957",NA,NA,"Rau, G","s.n.","Brasil","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819",NA,"SMDB000226","auto","1936","12","01",NA,NA,NA,NA,NA,"SMDB000226",NA,NA
"6","2019-11-25 12:11:27-03","UFSM","SMDB","1388","S","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme",NA,NA,NA,NA,"Alvarez, A.F.","326","Brasil","Rio Grande do Sul","Santa Maria","-53.8069000244141","-29.6842002868652","37819",NA,"SMDB001388","auto","1977","10","15","Vila Zulmira",NA,NA,NA,NA,"SMDB001388",NA,NA
"7","2010-03-18 21:18:00-03","MO","MOBOT","2457126","PreservedSpecimen","Plantae",NA,NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme",NA,NA,NA,NA,"G. Malme","Malme 916","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,NA,NA,"1902","1","3","Cachoeira, in campis arenosis, siccis, apricis nec non in arenosis siccis, subnudis ad viam ferream",NA,NA,NA,NA,NA,"South America",NA
"8","2019-09-04 18:58:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora",NA,NA,NA,NA,NA,"G. O. A. Malme","916","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","Type [status unknown]"
"9","2021-02-08 12:33:11-03","UFRGS","ICN","065392","S","Plantae","Dicotyledon",NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","Nascimento, DS",NA,NA,NA,"Sobral, M","3388","Brasil","RS","Barra do Quaraí","-57.5546989440918","-30.2071990966797","42332","Espécie ameaçada de extinção (Vulnerável).; Erva. flores roxo-claras ou roxas.; em barranco à beira de curso d'água.","ICN00029336","auto","1984","11","17","Parque do Espinilho",NA,NA,NA,NA,NA,"América do Sul",NA
"10","2021-02-08 12:33:11-03","UFRGS","ICN","040003","S","Plantae","Dicotyledon",NA,NA,"Aristolochiaceae","Aristolochia","curviflora","Aristolochia curviflora","Malme","Fleig, M",NA,NA,NA,"Fleig, M","261","Brasil","RS","Porto Alegre","-51.2299995422363","-30.0331001281738","29946","Espécie ameaçada de extinção (Vulnerável).; Solo arenoso.","ICN00029334","auto","1976","12","31","Restinga Sêca",NA,NA,NA,NA,NA,"América do Sul",NA
