"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","individualCount","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","251540","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.","isotype fragment","A. S. Lima","7433","1944","05","10","South America","Brazil","São Paulo","Aguas da Prata","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93395' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251540","NY00251540_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","251539","PreservedSpecimen","Plantae","Magnoliophyta","Piperales","Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.","isotype","A. S. Lima","7433","1944","05","10","South America","Brazil","São Paulo","Aguas da Prata","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00251539","NY00251539_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-11 11:40:13-03","UFMG","BHCB","47274","PreservedSpecimen","Plantae","Dicotyledon",NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3406","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.","28","2015",NA,NA,NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15",NA,NA,NA,NA,NA,NA,NA,NA
"5","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3407","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.","29","2015",NA,NA,NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15",NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3410","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.","32","2015",NA,NA,NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15",NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3437","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.; Cavali, A.P.; Jesus, C.S.; Cavali, A.P.; Jesus, C.S.","59","2015","06","15",NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15","Céu Azul","-53.8485984802246","-25.1466999053955","51148","auto",NA,NA,NA
"8","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3391","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.; Boff, L.; Hoffmann, F.; Boff, L.; Hoffmann, F.","13","2015","02","10",NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15","Céu Azul","-53.8485984802246","-25.1466999053955","51148","auto",NA,NA,NA
"9","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3433","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.; Cavali, A.P.; Jesus, C.S.; Cavali, A.P.; Jesus, C.S.","55","2015","06","15",NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15","Céu Azul","-53.8485984802246","-25.1466999053955","51148","auto",NA,NA,NA
"10","2016-07-25 15:01:49-03","UNIOESTE","UNOP","3474","S","Plantae",NA,NA,"Piperaceae","Piper","oblancifolium","Piper oblancifolium","Yunck.",NA,"Machado-Silva, T.; Jesus, C.S.; Jesus, C.S.","96","2015","07","14",NA,"Brasil","Paraná","Parque Nacional do Iguaçu, Floresta Estacional Semidecidual",NA,"Arbusto, 2 a 4m, caule verde ereto com pontos esverdeados abundantes e nós proeminentes, folha lisa verde escura a verde com manchas esverdeadas ad., esverdeada ab., pecíolo castanho, espiga verde a amarelada com pedúnculo verde.",NA,NA,"Machado-Silva, T.","2016","02","15","Foz do Iguaçu","-54.5881004333496","-25.5478000640869","39570","auto",NA,NA,NA
