"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","imagecode","typeStatus","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2020-09-23 10:41:33-03","E","E","69088","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cinerea","Microlicia cinerea","Harley, R.M., Bromley, G.L., de Carvalho, A.M., Soares Nunes, J.M., Hage, J.L. & dos Santos, E.B.","22796","1980","05","30","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:76927","<a href=http://data.rbge.org.uk/herb/E00069088 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00069088",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:41:33-03","E","E","83713","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","fasciculata","Microlicia fasciculata","Simon, M.F., Proenca, C., Cardoso, C.F.Rozendo","66","1996","12","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:92682","<a href=http://data.rbge.org.uk/herb/E00083713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083713",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","522496","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cinerea","Microlicia cinerea","R. M. Harley","22796","1980","05","30","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160635' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522496","Magnoliophyta","Myrtales","Cogn.","Bahia","Morro do Chapéu","Morro do Chapeu. Summit of Morro do Chapeu, ca. 8 km SW of the town of Morro do Chapeu to the west of the road to Utinga. D6","-41.2","-11.58","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","522497","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cinerea","Microlicia cinerea","A. M. Amorim","1032","1993","02","22","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160634' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522497","Magnoliophyta","Myrtales","Cogn.","Bahia","Morro do Chapéu","Estrada p/ o Morro da Torre de transmissao, ca. de 10 km a partir da Sede do município","-41.1558","-11.5503","1100","1100","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","522498","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cinerea","Microlicia cinerea","V. Assis","7","1945","10","25","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=160636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522498","Magnoliophyta","Myrtales","Cogn.","Minas Gerais","Santa Luzia","Fazenda da Chicaca","-43.8514","-19.7697","1100","1100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00925941","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuneata","Microlicia cuneata","G. G. Hatschbach","45626","1982","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998636' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925941","Magnoliophyta","Myrtales","Naudin","Minas Gerais","Araxá","Rod. BR-262.","-46.9406","-19.5933",NA,NA,"J. J. Wurdack","NY00925941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00925940","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","cuneata","Microlicia cuneata","H. L. de M. Barreto","9610","1937","11","08","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998621' target='other'> <mi>dwc_moreinfo</mi></a>","NY00925940","Magnoliophyta","Myrtales","Naudin","Minas Gerais","Diamantina","Sentinella.","-43.6003","-18.2494",NA,NA,NA,"NY00925940_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1551896","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","fasciculata","Microlicia fasciculata","R. S. Santos","24160","1963","09","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1415770' target='other'> <mi>dwc_moreinfo</mi></a>","NY01551896","Magnoliophyta","Myrtales","Mart. ex Naudin","Minas Gerais",NA,"Entre Corinto e Três Marias.",NA,NA,NA,NA,"R. Romero","NY01551896_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","522516","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","fasciculata","Microlicia fasciculata","H. S. Irwin","10515","1965","11","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=413475' target='other'> <mi>dwc_moreinfo</mi></a>","NY00522516","Magnoliophyta","Myrtales","Mart. ex Naudin","Minas Gerais",NA,"Serra do Rio Preto; 25 km E of Cabeceiras (ca. 4 km E of Goias-Minas Gerais border","-47","-16","1000","1000","J. J. Wurdack","NY00522516_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","4218414","PreservedSpecimen","Plantae","Melastomataceae","Microlicia","fasciculata","Microlicia fasciculata","F. Almeda","8370","2001","10","05","South America","Brazil","Sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4451311' target='other'> <mi>dwc_moreinfo</mi></a>","NY04218414","Magnoliophyta","Myrtales","Mart. ex Naudin","Minas Gerais","Tiradentes","Serra de São José.","-44.16638947","-21.0847187","1152","1152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
