"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","typeStatus","imagecode","locality","class","order","individualCount"
"1","2020-12-21 16:19:23-03","MBM","MBM","34065b","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hatschbachii","Dyckia hatschbachii","L.B. Sm.","Smith, L.B.","Hatschbach, G.","2725","1951","11","01","Southern America","Brazil","Paraná","Matinhos","-48.5428009033203","-25.8174991607666","15275","Inflorescência até 1,50m, laranjada. De restinga; Inflorescência até 1,5m, laranjada.; Restinga.","MBM034065b","auto",NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:19:23-03","MBM","MBM","34065","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hatschbachii","Dyckia hatschbachii","L.B. Sm.","Smith, L.B.","Hatschbach, G.","2725","1951","11","01","Southern America","Brazil","Paraná","Matinhos","-48.5428009033203","-25.8174991607666","15275","Inflorescência até 1,50m, laranjada. De restinga; Inflorescência até 1,5m, laranjada.; Restinga.","MBM034065","auto","ISOTYPE","MBM034065 MBM034065_1 MBM034065_2",NA,NA,NA,NA
"3","2009-07-09 17:05:00-03","MO","MOBOT","2452886","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hatschbachii","Dyckia hatschbachii","L.B. Sm.",NA,"Gert G. Hatschbach","Hatschbach 2725","1951","11","1","South America","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paranaguá.",NA,NA,NA
"4","2020-09-12 05:00:02-03","US","US","2058806","PreservedSpecimen","Plantae","Bromeliaceae","Dyckia","hatschbachii","Dyckia hatschbachii","L.B. Sm.",NA,"G. Hatschbach","2725","1951",NA,NA,"South America","Brazil","Paraná",NA,NA,NA,NA,NA,"US00089057",NA,"Holotype","US00089057_01","Matinhos.","Monocotyledonae","Bromeliales","1"
