"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","class","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00939306","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","T. M. Koyama","H. S. Irwin","9857","1965","11","03","South America","Brazil","Goiás","Cristalina","Serra dos Cristais. 3 km W. of Cristalina","-47.62814","-16.75","1175","1175","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972730' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939306","NY00939306_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","668345","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","W. W. Thomas","L. P. Roth","CESJ1578","1955","08","28","South America","Brazil","Minas Gerais","Belo Horizonte","Belo Horizonte - Serra do Curral - (Pico).","-43.9378","-19.9208",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760358' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668345","NY00668345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","00939309","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","T. M. Koyama","R. M. Harley","10161","1968","09","20","South America","Brazil","Mato Grosso",NA,"R. 10, c. 12 km SW of base camp.","-51.77","-12.82",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972736' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939309","NY00939309_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00939307","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","T. M. Koyama","H. S. Irwin","10460","1965","11","18","South America","Brazil","Goiás","Cabeceiras","Serra do Rio Preto, ca. 8 km E. of Cabeceiras","-46.90863","-15.8","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972732' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939307","NY00939307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","668348","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","A. C. Araújo","G. T. Prance","19207","1973","10","19","South America","Brazil","Mato Grosso",NA,"Road behind Veu de Noiva; Chapada dos Guimaraes.","-55.832445","-15.40761","720","720","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668348","NY00668348_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","668347","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","A. C. Araújo","J. A. Ratter","R4239","1978","11","01","South America","Brazil","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km. SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668347","NY00668347_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","00939305","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler",NA,"H. S. Irwin","6757","1964","10","10","South America","Brazil","Mato Grosso",NA,"Ca. 70 km. N. of Xavantina, on rd. to Garapú.","-52.37","-14.22","300","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972727' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939305","NY00939305_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00939312","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","W. W. Thomas","A. F. M. Glaziou","22339","1898","09","16","South America","Brazil","Goiás",NA,"Serra das Cristas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972748' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939312","NY00939312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","668346","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","T. M. Koyama","H. S. Irwin","7339","1964","10","25","South America","Brazil","Goiás","Caiapônia","Cerrado at summit of mesa, near escarpment, ca. 50 km S. of Caiaponia on road to Jataí. Serra do Caiapó.","-51.78","-17.2","800","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=760360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00668346","NY00668346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","00939311","PreservedSpecimen","Plantae","Magnoliophyta","Poales","Cyperaceae","Rhynchospora","warmingii","Rhynchospora warmingii","Boeckeler","W. W. Thomas","A. F. M. Glaziou","22339","1898","09","16","South America","Brazil","Goiás",NA,"Serra das Cristas.",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=972742' target='other'> <mi>dwc_moreinfo</mi></a>","NY00939311","NY00939311_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
