"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","identifiedBy","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","phylum","continentOcean","class","order","relatedCatalogItem","imagecode","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","preparationType","fieldNumber","individualCount"
"1","2021-01-06 11:42:39-03","UFPI-MRV","HDELTA","1010","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Lima, A.A.","67","2012","11","23","Brasil","Piauí","Parnaíba","Lagoa da Prata","-41.784167","-2.974111","41°47'03,00''W","02°58'26,80''S","Erva aquatica <ll>dwc_commonname:</ll> Águapé","HDELTA001010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2013-07-03 11:18:56-03","EBDA","BAH","6019","S","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Maria Nilza G. Passos","39","1985","01","22","Brasil","Bahia","Mairi","Margem direita do rio Jacuipe","-40.1489","-11.7114",NA,NA,"Planta aquatica. Flor branca.",NA,"Edna L.P.G. de Oliveira","1985","01","25726","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-09 11:21:55-03","UFBA","ALCB","048623","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Santana, DL","95","2000","03","23","Brasil","Bahia","Mata de São João","Litoral Norte, Rio Capivara Grande, Arembepe","-38.283333","-12.516667","-38.283333","-12.516667","aquática flutuante, 0,70 m. Folhas coriáceas, discolores. Flores com cálice esverdeado e corola branca.",NA,"Guedes, ML; Santana, DL","2000","05",NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:21:55-03","UFBA","ALCB","048628","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Santana, DL","100","2000","03","23","Brasil","Bahia","Mata de São João","Litoral Norte, Praia do Forte, Rio Açu","-38.283333","-12.516667","-38.283333","-12.516667","aquática. Folhas flutuantes, coriáceas, discolores. Flores com cálice esverdeado e corola alva. Comum.",NA,"Guedes, ML; Santana, DL","2000","05",NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2019-10-09 11:21:55-03","UFBA","ALCB","048938","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Santana, DL","108","2000","10","13","Brasil","Bahia","Camaçari","Lagoa de Arembepe, pto 2","-38.169444","-12.764722","-38.169444","-12.764722","aquática. Folhas flutuantes, coriáceas, discolores. Botões com cálice esverdeado.",NA,"Guedes, ML; Santana, DL","2000","10",NA,NA,"Dicotyledon","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 10:08:45-03","NBC","NL-BOTANY","U.1446162","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Cramer J",NA,NA,NA,NA,"Guyana",NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1446162 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1446162","Wiersema JH",NA,NA,NA,NA,NA,"Southern America","Magnoliopsidae","Nymphaeales","U 0020033","NL-U1446162",NA,NA,NA,NA,NA,NA
"7","2021-01-14 15:32:21-03","MN","R","221266","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Vieira, T.A.F.; Lourenço, A.R.","2","2014","07","14","Brasil","Rio de Janeiro","São Cristóvão",NA,"-43.377775","-23.522222","43°22'39.99W","23°31'20S",NA,NA,"Vieira, T.A.F.","2014","07",NA,NA,NA,NA,NA,NA,NA,NA,"17","15","15",NA,NA,NA
"8","2021-01-14 15:32:21-03","MN","R","221267","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Vieira, T.A.F.; Lourenço, A.R.","1","2014","07","14","Brasil","Rio de Janeiro","São Cristóvão",NA,"-43.377775","-23.522222","43°22'39.99W","23°31'20S",NA,NA,"Vieira, T.A.F.","2014","07",NA,NA,NA,NA,NA,NA,NA,NA,"17","15","15",NA,NA,NA
"9","2021-01-14 15:32:21-03","MN","R","216822","PreservedSpecimen","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Verde, L.W.L.","s.n.","1994","12","17","Brasil","Ceará","Baturité",NA,"-38.8847007751465","-4.32860994338989",NA,NA,NA,NA,"Moreira, C.B.","1999","05","35980","auto",NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA
"10","2015-07-02 14:03:28-03","JBP","HPL","5779","S","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","E.R. Salviani & H. Lorenzi","1831","2000","11","26","Brasil","RJ","Ilhéus","Coletado nas proximidades da cidade em lagoa.",NA,NA,NA,NA,NA,NA,"R. Tsuji","2004","06",NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA
"11","2019-02-15 11:46:41-02","IPA","IPA","50252","S","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Belo, D.","03","1986","04","04","Brasil","Pernambuco","Recife","Dois Irmãos, açude do horto de Dois Irmãos.","-34.8810997009277","-8.05389022827148",NA,NA,"Erva. Flores alvas. Herbácea 18 lóculos carpelares.","IPA0050252","Lima, C.T.","2017","04","18865","auto","Plantae","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-18 09:35:33-03","UNICAMP","UEC","93970","S","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Amaral, MCE; Bittrich, V","1997173","1997","11","01","Brazil","São Paulo","Araraquara",NA,"-48.166667","-21.75","-48.166667","-21.75",NA,"UEC051043","Feres, FR","1997","07",NA,NA,"Magnoliopsida",NA,NA,NA,NA,"UEC051043",NA,NA,NA,NA,NA,NA
"13","2020-02-18 09:35:33-03","UNICAMP","UEC","94286","S","Plantae","Nymphaeaceae","Nymphaea","lotus","Nymphaea lotus","L.","Nardone, JD; Schlinttler, FHM","197612","1976","12","14","Brazil","São Paulo","Rio Claro",NA,"-47.566667","-22.4","-47.566667","-22.4",NA,"UEC051044","Feres, FR","1997","06",NA,NA,"Magnoliopsida",NA,NA,NA,NA,"UEC051044",NA,NA,NA,NA,NA,NA
