"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","phylum","imagecode","typeStatus","class","continentOcean","individualCount","order","minimumElevationInMeters","maximumElevationInMeters"
"1","2021-03-24 17:09:09-03","UFES","SAMES","2400","PreservedSpecimen","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Ribeiro,M.; Almeida,T.R.R.","540","2011","06","05","Brasil","Espírito Santo","Conceição da Barra","Reserva Biológica do Córrego Grande. Floresta Alta de Tabuleiro, km 5 a 6 da estrada interna.","-39.7322006225586","-18.5932998657227","-398050000.0","-182625000.0","41644","Árvore de dois metros, frutos verdes cobertos por tricomas castanho claro.","SAMES02400","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-24 17:09:09-03","UFES","SAMES","2399","PreservedSpecimen","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Jesus,L.M.; Kaique,L.P.M.;MachadoFilho,C.","24","2013","05","15","Brasil","Espírito Santo","Linhares","Floresta Nacional de Goytacazes. Floresta estacional semidecidual na planície aluvial do Rio Doce.","-40.0722007751465","-19.3910999298096","-400863889.0","-194363889.0","48094","Árvore de aproximadamente 6,30m.","SAMES02399","auto","Chagas,A.P.","2014","07","25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-24 17:09:09-03","UFES","SAMES","7182","PreservedSpecimen","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Menezes,L.F.T.",NA,"2017","05","25","Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama, estrada do quirino.","-40.0978012084961","-19.1968994140625","-401458333.0","-190591667.0","33715","Flores brancas Habitat: Floresta de Tabuleiro Habito: Árvore","SAMES07182","auto","M.P.Morim",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2019-08-20 10:13:44-03","UNICAMP","UEC","107969","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Kuhlmann, JG; Pennington, TD","6492","1998","11","19","Brazil","Espírito Santo","Goitacazes","Rio Doce",NA,NA,NA,NA,NA,"flor, Árvore pequena, 2-3m alt., flores alvas, mata.",NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:09:53-03","UFES","VIES","29991","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Jesus, L.M.; Kaique, L.P.M. & Machado Filho, C.","24","2013","05","15","Brasil","Espírito Santo","Linhares","Floresta Nacional de Goytacazes.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES029991","auto","Chagas, A.P.","2014","07","25",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:09:53-03","UFES","VIES","19467","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Folli, D.A.","4907","2004","08","23","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES019467","auto","A.P. Chagas","2014","02",NA,NA,"VIES019467",NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:09:53-03","UFES","VIES","19673","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Folli, D.A.","4585","2003","08","27","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES019673","auto","A.P. Chagas","2014","02",NA,NA,"VIES019673",NA,NA,NA,NA,NA,NA,NA
"8","2020-04-27 16:09:53-03","UFES","VIES","19458","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Folli, D.A.","4005","2001","08","15","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES019458","auto","A.P. Chagas","2014","02",NA,NA,"VIES019458",NA,NA,NA,NA,NA,NA,NA
"9","2020-04-27 16:09:53-03","UFES","VIES","10501","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Demuner, V.; Bausen, E. & Pizziolo, W.","1335","2000","08","03","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis.","-40.6002998352051","-19.9356002807617",NA,NA,"23813",NA,"VIES010501","auto","Chagas, A.P.","2013","06",NA,NA,"VIES010501",NA,NA,NA,NA,NA,NA,NA
"10","2020-04-27 16:09:53-03","UFES","VIES","19907","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Valadares, R.T.; Sarnaglia Júnior, V.B.","799","2009","08","09","Brasil","Espírito Santo","Vila Velha","Morro do Moreno.","-40.2924995422363","-20.3297004699707",NA,NA,"27156",NA,"VIES019907","auto","Chagas, A.P.","2014","04","25",NA,"VIES019907",NA,NA,NA,NA,NA,NA,NA
"11","2020-04-27 16:09:53-03","UFES","VIES","19525","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Valadares, R.T.; Sarnaglia Júnior, V.B.","957","2009","11","08","Brasil","Espírito Santo","Vila Velha","Morro do Moreno.","-40.2924995422363","-20.3297004699707",NA,NA,"27156",NA,"VIES019525","auto","A.P. Chagas","2014","05","12",NA,"VIES019525",NA,NA,NA,NA,NA,NA,NA
"12","2020-04-27 16:09:53-03","UFES","VIES","19900","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Pereira, O.J.; Martins, J.","7309","2003","09","26","Brasil","Espírito Santo","Vitória","Parque Estadual da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,"15291",NA,"VIES019900","auto","A.P. Chagas","2014","02",NA,NA,"VIES019900",NA,NA,NA,NA,NA,NA,NA
"13","2020-04-27 16:09:53-03","UFES","VIES","19672","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Folli, D.A.","5325","2006","07","18","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES019672","auto","A.P. Chagas","2014","02",NA,NA,"VIES019672",NA,NA,NA,NA,NA,NA,NA
"14","2020-04-27 16:09:53-03","UFES","VIES","19464","S","Plantae","Fabaceae","Inga","cabelo","Inga cabelo","T.D.Penn.","Siqueira, G.S.","117","2004","09","30","Brasil","Espírito Santo","Linhares","Reserva Natural Vale.","-40.0722007751465","-19.3910999298096",NA,NA,"48094",NA,"VIES019464","auto","A.P. Chagas","2014","02",NA,NA,"VIES019464",NA,NA,NA,NA,NA,NA,NA
