"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","639082","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","R. M. Harley","19057","1977","02","25","South America","Brazil","Bahia","Serra do Açuruá. Ca. 4 km N. of Sao Inácio on road to Xique Xique","-42.72","-11.08","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493413' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639082","NY00639082_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","639081","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","R. M. Harley","16376","1974","02","26","South America","Brazil","Bahia","49 km N. of Senhor do Bonfim on the BA 130 highway to Juazeiro.","-40.22","-10.08","500","500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493408' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639081","NY00639081_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","639079","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","H. S. Irwin","32655","1971","02","20","South America","Brazil","Bahia","Serra do Tombador, ca. 22 km W. of Morro do Chapéu","-41.1558","-11.5503","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493407' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639079","NY00639079_01","Morro do Chapéu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","639086","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","P. von Luetzelburg","12658","1921","05","01","South America","Brazil","Paraíba","Parahyba do North. Serra do Ohho d'Agua",NA,NA,NA,NA,"sheet","Communicavit herb. reg. monacense <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493414' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639086","NY00639086_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","639083","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","R. M. Harley","16303","1974","02","25","South America","Brazil","Bahia","64 km North of Senhor do bonfim on the BA 130 highway to Juazeiro","-40.25","-9.92","400","400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493409' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639083","NY00639083_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1019298","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","L. Senna","R. F. Souza-Silva","201","2006","04","13","South America","Brazil","Bahia","Base da Crista, próximo ao rio.","-40.2297","-10.1033","560","560","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280286' target='other'> <mi>dwc_moreinfo</mi></a>","NY01019298","NY01019298_01","Jaguarari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","639084","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","G. Gardner","1404","1839","04",NA,"South America","Brazil","Alagoas","In provinica Dos Alagoas",NA,NA,NA,NA,"sheet","Com. am. Shuttleworth 1839 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493412' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639084","NY00639084_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","02461009","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.",NA,"G. G. Hatschbach","42818","1980","03","20","South America","Brazil","Minas Gerais","arredores.","-44.9622001647949","-17.3511009216309","500",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2689806' target='other'> <mi>dwc_moreinfo</mi></a>","NY02461009","NY02461009_01","Buritizeiro","88041","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","639080","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","P. von Luetzelburg","452","1914",NA,NA,"South America","Brazil","Piauí","Piauhy. Guarihas. Nur sur Regenreitt",NA,NA,NA,NA,"sheet","Communicavit herb. reg. monacense <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493411' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639080","NY00639080_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","639085","PreservedSpecimen","Plantae","Magnoliophyta","Caryophyllales","Amaranthaceae","Froelichia","humboldtiana","Froelichia humboldtiana","(Schult.) Seub.","M. S. Marchioretto","G. Eiten","4956","1962","07","16","South America","Brazil","Pernambuco","Ca. 16 km N of Cabrobró. Near the place called Pau Ferro on road from Terra Nova to Cabrobró","-39.325","-8.375",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=493410' target='other'> <mi>dwc_moreinfo</mi></a>","NY00639085","NY00639085_01","Cabrobró",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
