"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","day","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","county","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","71320","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Hiraea","poeppigiana","Hiraea poeppigiana","A.Juss.","isolectotype","E. F. Poeppig","2799","1831","11","South America","Brazil","Amazonas","In ripis Rio Teffé; Ega [Tefé]. Amazon","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=425098' target='other'> <mi>dwc_moreinfo</mi></a>","NY00071320","NY00071320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","67675","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Mascagnia","subsericea","Mascagnia subsericea","Cuatrec.","isotype","H. García-Barriga","14089","1951","12","South America","Colombia","Amazonas","Río Apaporis, entre los ríos Kananarí y Pacoa. Soratama.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=97026' target='other'> <mi>dwc_moreinfo</mi></a>","NY00067675","NY00067675_01","15","-71.158152","0.071602","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1181370","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"E. J. Lucas","799","2006","11","South America","Brazil","Espírito Santo","Alto Santo Antônio, estrada de terra visinho a Reserva Agusto Ruschi.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369093' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181370","NY01181370_01","29","-40.5722","-19.8703","790","790","Santa Teresa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","537811","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"Schott","5671",NA,NA,"South America","Brazil","Rio de Janeiro","Tingua","sheet","(1524.d.) <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239192' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537811","NY00537811_01",NA,"-43.4508","-22.7594",NA,NA,"Nova Iguaçú","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1181369","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"E. J. Lucas","610","2006","11","South America","Brazil","Rio de Janeiro","Parque Nacional da Serra dos Orgãos., estrada entre a pousada e a casa do pesquisador.","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1369089' target='other'> <mi>dwc_moreinfo</mi></a>","NY01181369","NY01181369_01","21","-42.98","-22.45","1100","1100","Teresópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1184405","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"B. A. Krukoff","8733","1936","10","South America","Brazil","Amazonas","Basin of Rio Solimoes, basin of creek Belém","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1470181' target='other'> <mi>dwc_moreinfo</mi></a>","NY01184405","NY01184405_01","26","-68.8724975585938","-3.37832999229431",NA,NA,"São Paulo de Olivença","W. R. Anderson","362329","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","537810","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"G. G. Hatschbach","61501","1995","01","South America","Brazil","Espírito Santo","Sao Bento de Urânia","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=239191' target='other'> <mi>dwc_moreinfo</mi></a>","NY00537810","NY00537810_01","14","-40.917605","-20.471909",NA,NA,"Venda Nova do Imigrante","W. R. Anderson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:09-03","UFRJ","RFA","29578","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"F.B. Pereira","20/129","2001","11",NA,"Brasil","Rio de Janeiro","1º Distrito - Lidice, Sítio da Barra",NA,"Trepadeira, folha verde, fruto e flor amarelos, abundante no local","RFA41049",NA,"26","-44.206944","-22.852778","608","608","Rio Claro","R. F. Almeida",NA,NA,"2015","44º12'25''W","22º51'10''S",NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:09-03","UFRJ","RFA","29901","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R.Anderson",NA,"F. B. Pereira","03/139","2002","01",NA,"Brasil","Rio de Janeiro","Distrito de Lídice",NA,"Trepadeira, folha verde, caule amarelo, raiz vinho, flor branca, comum na região","RFA41050",NA,"04","-44.176111","-22.855833","680","680","Rio Claro","R. F. Almeida",NA,NA,"2015","44º10'34''W","22º51'21''S",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-30 12:43:37-03","EAO","IAN","37203","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Malpighiaceae","Niedenzuella","poeppigiana","Niedenzuella poeppigiana","(A.Juss.) W.R. Anderson",NA,"Dedecca, D","s.n.","1947","06","Southern America","Brasil","São Paulo","Peruibe, mata.",NA,"Arbusto.","IAN037203","IAN037203 IAN037203_e IAN037203_e1","05",NA,NA,NA,NA,NA,"Almeida, RF",NA,NA,"2015",NA,NA,"04","16",NA,NA,NA,NA,NA
