"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","individualCount","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","1015053","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","A. Piratininga","54","1994","02","25","South America","Brazil","Rio de Janeiro","Silva Jardim","Reserva Biológica de Poço das Antas, Estrada para Juturnaiba, trilha a 1 km do portao da ReBio, a direita.","-42.3917","-22.6508","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1098911' target='other'> <mi>dwc_moreinfo</mi></a>","NY01015053","NY01015053_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1801776","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","R. P. Belém","3268","1967","02","03","South America","Brazil","Bahia","Belmonte","Belmonte","-38.88","-15.86","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2039494' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801776","NY01801776_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","1183739","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","A. P. Fontana","2808","2007","02","07","South America","Brazil","Espírito Santo","Ibiraçu","APA Goiapaba-açu. piabas, propriedade de Francisco Tófoli.","-40.47883","-19.8658","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1452754' target='other'> <mi>dwc_moreinfo</mi></a>","NY01183739","NY01183739_01","A. P. Fontana","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","416368","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","W. W. Thomas","11341","1996","11","14","South America","Brazil","Bahia","Porto Seguro","Parque Nacional Monte Pascoal. Along road from park entrance to nature/conference center.","-40.5747","-15.2647","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704361' target='other'> <mi>dwc_moreinfo</mi></a>","NY00416368","NY00416368_01","N. K. B. Robson","150","150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","477439","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","T. Peckolt","s.n.",NA,NA,NA,"South America","Brazil",NA,NA,"In montosis siccis prov. austr. orient",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704362' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477439","NY00477439_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","1018095","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","S. J. da Silva Neto","1524","2001","11","14","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Trilha para o rancho dos Bobos. Mato Escuro.","-43.4508","-22.7594","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1248664' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018095","NY01018095_01","R. C. Forzza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01022941","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","A. P. Duarte","1068","1947","12","31","South America","Brazil","Minas Gerais","Juiz de Fora","Juiz de Fóra","-43.377068","-21.736337","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179586' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022941","NY01022941_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","477440","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","C. Farney","262","1983","04","19","South America","Brazil","Espírito Santo","Linhares","Margens da Lagoa Juparana","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=704360' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477440","NY00477440_01","C. Farney; A. M. S. da F. Vaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:19:58-03","UFRJ","RFA","13561","PreservedSpecimen","Plantae",NA,NA,"Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","J.I.A. Falcão; W.A. Egler, E.Pereira","1216","1954","09","25",NA,"Brasil","Pernambuco","Rio Formoso","Horto Florestal de Saltinho.","-35.1585998535156","-8.66361045837402",NA,"Árvore, resina vermelho-alaranjada parecendo lacre.","RFA36007",NA,NA,NA,NA,"21734","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-11-13 09:19:58-03","UFRJ","RFA","24472","PreservedSpecimen","Plantae",NA,NA,"Hypericaceae","Vismia","martiana","Vismia martiana","Reichardt","F.M. Pereira","89/11","2000","05","12",NA,"Brasil","Rio de Janeiro","Sapucaia","3º Distrito. Fazenda Selo Verde","-42.85","-22.089444",NA,"Arbusto com 3,5 m de altura e DAP de 4 cm. Folhas discolores, caule marrom ferrugineo, comum no local. Escorre um líquido abóbora quando cortada","RFA36083",NA,"C.M. Vieira","798","798",NA,NA,"2000","06","06","42º51'0''W","22º5'22''S",NA,NA,NA,NA
