"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","phylum","yearIdentified","monthIdentified","occurrenceRemarks","coordinatePrecision","imagecode","geoFlag","class","order","continentOcean","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","typeStatus","individualCount"
"1","2021-01-06 11:41:55-03","UFPI-MRV","HDELTA","1374","PreservedSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","( Phil.) Helgelm","Freitas, R. N.","Freitas, R. N.","82","2012","05","29","Brasil","Piauí","Parnaíba","Braço do Rio Igaraçu","-41.803056","-2.869444","41°48'11,00''W","02°52'10,00''S","HDELTA001374",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-30 12:52:33-03","EAO","IAN","108227","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","Pott, VJ","Smith, SG; Chisaki, F","3132","1958","08","17","Estados Unidos","Califórnia",NA,"in small pond on east side of road.",NA,NA,NA,NA,"IAN108227","Monocotiledônea","1993","03","about 2miles south of Olema along Highway I, Marin County.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-12-04 15:26:24-03","PUCPR","HUCP","23508","S","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","Dunaiski, A","Dunaiski, A","3717","2009","05","30","Brasil","Paraná","São José dos Pinhais",NA,"-49.2064018249512","-25.5347003936768",NA,NA,"HUCP00002725","Monocotiledonea",NA,NA,NA,"45291","HUCP00002725","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:07:05-03","CPAN-UFMS","COR","3571","PreservedSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Sanches,A.L. et al.","37","1994","07","14","Brasil","Mato Grosso do Sul","Ladário",NA,"-57.6016998291016","-19.0046997070312",NA,NA,NA,NA,NA,NA,"flutuante livre","23141",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:43:25-03","NBC","NL-BOTANY","AMD.28228","PreservedSpecimen","Plantae","Lemnaceae","Wolffia","oblonga","Wolffia oblonga","(Phil.) Hegelm.",NA,"Herter WG",NA,"1924","06","01","Uruguay",NA,NA,"Pocitos, Departamento de Montevideo.",NA,NA,NA,NA,"NL-AMD28228",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.28228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-AMD28228",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:43:25-03","NBC","NL-BOTANY","L.1423749","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Hieronymus GHEW",NA,"1877","04","01","Argentina",NA,NA,"Laguna de Peitiado bei Cordoba.",NA,NA,NA,NA,"NL-L1423749",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1423749 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L1423749",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:43:25-03","NBC","NL-BOTANY","L.1423750","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Grüner G",NA,NA,NA,NA,"Argentina",NA,NA,"Loreto, Gobernacion de Misiones. Flotate en una laguna cerca del rio Jabebire. ?",NA,NA,NA,NA,"NL-L1423750",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1423750 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L1423750",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:43:25-03","NBC","NL-BOTANY","L.3887117","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Pedersen TM",NA,"1981","12","20","Argentina",NA,NA,"Plantae Argentinae. Pdo. Nueve de Julio. Prov. Buenos Aires.",NA,NA,NA,NA,"NL-L3887117",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3887117 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L3887117",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"9","2020-02-08 08:43:25-03","NBC","NL-BOTANY","L.3887137","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Lindeman JC; Haas AJP de",NA,"1967","01","10","Surinam",NA,NA,"Suriname. Curisiba. Stuwmeertje en beek, O. van de stad.",NA,NA,NA,NA,"NL-L3887137",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3887137 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-L3887137",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"10","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1098044","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Lindeman JC; Haas JH de",NA,"1967","01","10","Brazil",NA,NA,"Brasiliae Australis, Est. Paraná, In Pond behind dike at chacara of Dr. Nowacki, near Barreirinha, 5 km of Curitiba, Among roots of Eichhornia crassipes.",NA,NA,NA,NA,"NL-U1098044",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1098044 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-U1098044",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"11","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1098045","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Lindeman JC; Valls JFM",NA,"1971","12","29","Brazil",NA,NA,"Pôrto Alegre, Brasil pequena lagoa na estrada da peninsula de Itapoa, 40 km S de P. Alegre.",NA,NA,NA,NA,"NL-U1098045",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1098045 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-U1098045",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:43:25-03","NBC","NL-BOTANY","U.1098048","PreservedSpecimen","Plantae","Lemnaceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Herter",NA,"1929","11","29","Uruguay",NA,NA,"Dep. De Montevideo, Loc. Dict. Miguelete.",NA,NA,NA,NA,"NL-U1098048",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1098048 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"NL-U1098048",NA,"Magnoliopsidae","Alismatales","Southern America",NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:23:13-03","MN","R","183903","PreservedSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","Pott, V.J.","Pott, V.J. 6436; Araujo, S.M.C. & Branco, O.D.",NA,"1993","06","07","Brasil","Mato Grosso do Sul","Corumbá","Fazenda Barrinhos","-56.433333","-18.916667","56°26'W","18°55'S",NA,NA,"1993","06",NA,NA,NA,NA,NA,NA,NA,"09","90","90",NA,NA,NA
"14","2021-01-14 15:23:13-03","MN","R","1913","PreservedSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","Landolt, E.","Kurtz, F.","8324","1995","01","15","Argentina",NA,"Córdoba","Pazo Algarrobo",NA,NA,NA,NA,NA,NA,"1978",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-19 10:22:44-03","CPAP","CPAP","10164","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.",NA,"Bueno, N. C.","400","1992","07","30","Brasil","MS","Corumbá","Estrada para Forte Coimbra a 10km da BR-262","-57.316667","-19.2","57°19' W","19°12' S",NA,NA,NA,NA,"Erva aquática flutuante livre. FLOR: . FRUTO: . INTERESSE: . FREQUÊNCIA: Frequente. AMBIENTE: Aquático. SUBSTRATO: solo arenoso. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,"90","90",NA,NA,NA
"16","2020-11-19 10:22:44-03","CPAP","CPAP","10392","PreserverdSpecimen","Plantae","Araceae","Wolffiella","oblonga","Wolffiella oblonga","(Phil.) Hegelm.","V. J. Pott","Pott, V. J.","1863","1993","02","28","Brasil","MS","Corumbá","Lagoa do Jacadigo, km 735 da BR-262, Pantanal","-57.483333","-19.433333","57°29' W","19°26' S",NA,NA,"1993","03","Erva aquática flutuante (SUB-submersa) livre. FLOR: . FRUTO: . INTERESSE: Levantamento florístico. FREQUÊNCIA: Ocasional. AMBIENTE: Pirizal (Cyperus giganteus) em margem de lagoa, 25cm profundidade. SUBSTRATO: solo argiloso hidromórfico eutrófico. RELEVO",NA,NA,NA,NA,NA,NA,"01","120","120",NA,NA,NA
