"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","day","imagecode","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:18-03","UNESC","CRI","13470","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel","Renato Colares","2018","05","29","Renato Colares","2018","03","Brasil","Santa Catarina","Criciúma","UNESC","-49.410833","-28.705278","49º24'39''W","28º42'19''S","37","37","Habitat: Terrestre Habito: Arbóreo","CRI012077",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:18-03","UNESC","CRI","10203","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel","M. G. Caxambu","2012","03","19","M. G. Caxambu; et al.","2012","03","Brasil","Paraná","Tuneiras do Oeste","Cerrado Alterado.","-52.752633","-23.9063","52º45'158''W","23º54'378''S","526","526","Savana Habito: árvore heliófita","CRI003090","3881","07","CRI003090",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:42-03","E","E","50212","PreservedSpecimen","Plantae","Leguminosae","Machaerium","acutifolium","Machaerium acutifolium",NA,NA,NA,NA,NA,"Dubs, B.","1994","07","BR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00050212 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00050212","1571","24",NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:56783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01081282","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel","J. D. C. Arouck-Ferreira",NA,NA,NA,"E. de F. Almeida","1984","03","Brazil","Bahia","Barreiras","Estrada para aeroporto antigo, 18 km de Barreiras à direita do Projeto FRUTOESTE (caju). Folha SD.23-V-B; Ponto 09.","-45","-12.12",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224021' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081282","292","27","NY01081282_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01057487","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium pseudoacutifolium","(Pittier) Rudd","V. E. Rudd",NA,NA,NA,"H. S. Irwin","1969","03","Brazil","Goiás","Cavalcante","Chapada dos Veadeiros, ca. 7 km south of Cavalcante","-47.5","-13.86327",NA,NA,"1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143256' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057487","24108","09","NY01057487_01","South America","sheet",NA,"Magnoliophyta","Fabales","pseudoacutifolium",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01057565","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium acutifolium","Vogel","V. E. Rudd",NA,NA,NA,"E. P. Heringer","1960","11","Brazil","Minas Gerais","Paracatú","Margem do rio da Prata","-46.8744","-17.2222",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143325' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057565","s.n.","25","NY01057565_01","South America","sheet",NA,"Magnoliophyta","Fabales","acutifolium",NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01081283","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel","I. Silberbauer-Gottsberger",NA,NA,NA,"I. Silberbauer-Gottsberger","1974","11","Brazil","São Paulo","Botucatu","18 km ao norte de Botucatu, 14 km a leste do São Manuel, Ao longo da estada São Manuel-Piracicaba. Perto da Estação 13 de Maio, da antiga linha de trem.","-48.42","-22.75",NA,NA,"550","550","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081283","14-221174","22","NY01081283_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01057586","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium pseudoacutifolium","(Pittier) Rudd",NA,NA,NA,NA,"L. Riedel","1834","03","Brazil",NA,NA,"in camp. Ypanéma",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1143272' target='other'> <mi>dwc_moreinfo</mi></a>","NY01057586","635",NA,"NY01057586_01","South America","sheet",NA,"Magnoliophyta","Fabales","pseudoacutifolium",NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01058609","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel","H. C. de Lima",NA,NA,NA,"E. P. Heringer","1980","11","Brazil","Distrito Federal","Brasília","Catetinho.","-47.9294","-15.7797",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142120' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058609","5763","25","NY01058609_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01058628","PreservedSpecimen","Plantae","Fabaceae","Machaerium","acutifolium","Machaerium acutifolium","Vogel",NA,NA,NA,NA,"G. Gardner","1836",NA,"Brazil","Ceará",NA,"Prov. Ceará",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142109' target='other'> <mi>dwc_moreinfo</mi></a>","NY01058628","1933",NA,"NY01058628_01","South America","sheet",NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
