"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-03-15 16:37:00-03","NY","NYBG","402783","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.","A. H. Gentry","P. E. Gibbs","3459","1976","11","09","South America","Brazil","São Paulo","Ubatuba","Ubatuba, ao redor do Hotel das Flores.","-45.0697","-23.4303","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715281' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402783","NY00402783_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","02423827","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.","R. C. Forzza","R. C. Forzza","7792","2014","02","14","South America","Brazil","Espírito Santo",NA,"Próximo a rio Cricaré","-40.5664","-18.7128","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675538' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423827","NY02423827_01","106",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","720642","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.",NA,"W. Hoehne","2320","1946","11","13","South America","Brazil","São Paulo","São Paulo","Proximo a Interlagos.","-46.702004","-23.702324","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2519287' target='other'> <mi>dwc_moreinfo</mi></a>","NY00720642","NY00720642_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","402780","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.",NA,"A. H. Gentry","49295","1985","01","08","South America","Brazil","São Paulo","Ubatuba",NA,"-45.08","-22.5","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715288' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402780","NY00402780_01","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","402781","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.","A. H. Gentry","A. Peixoto","3014","1985","01","31","South America","Brazil","Espírito Santo","Linhares","Linhares, Reserva Florestal da CVRD. Estrada 243.","-40.0719","-19.3911","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715280' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402781","NY00402781_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","886428","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.","A. H. Gentry","W. H. Stubblebine","13228","1981","12","11","South America","Brazil","São Paulo","Iguape","Restinga de Grajáu.","-47.5497","-24.7003","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023883' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886428","NY00886428_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","402785","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.",NA,"J. A. de Jesus","1443","1972","04","10","South America","Brazil","Rio de Janeiro","Rio de Janeiro","Guanabara, Lagoa de Marapendi, entrando pela estrada do Autódromo. Terra arenosa.","-43.40493","-23.011683","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=715285' target='other'> <mi>dwc_moreinfo</mi></a>","NY00402785","NY00402785_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01112660","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.","M. H. Nee","J. R. Pirani","3488","1994","12","08","South America","Brazil","Espírito Santo","Guarapari","ES-060, restinga da Praia de Setiba, ca. 15 km N de Guaraparí.","-40.5108","-20.6581",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1212383' target='other'> <mi>dwc_moreinfo</mi></a>","NY01112660","NY01112660_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","886427","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.","L. G. Lohmann","J. G. Jardim","361","1993","12","03","South America","Brazil","Bahia","Una","Reserva Biológica do Mico-leão (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Proximo da sede, estrada para o Rio.","-39.08","-15.15","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023881' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886427","NY00886427_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01096234","PreservedSpecimen","Plantae","Magnoliophyta","Lamiales","Bignoniaceae","Tabebuia","cassinoides","Tabebuia cassinoides","(Lam.) DC.",NA,"S. J. da Silva Neto","1719","2002","11","02","South America","Brazil","Rio de Janeiro","Nova Iguaçú","Rebio do Tinguá. Brejo do macuco.","-43.4661","-22.5753","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1235697' target='other'> <mi>dwc_moreinfo</mi></a>","NY01096234","NY01096234_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
