"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","imagecode","geoFlag","dayIdentified","continentOcean","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:54-03","FZB-BH","CVJBFZB","1045","S","Plantae","Magnoliophyta","Equisetopsida","Alismatales","Araceae","Asterostigma","colubrinum","Asterostigma colubrinum","Schott","Eduardo G. Gonçalves;","EGG598","254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-08-20 09:59:04-03","UNICAMP","UEC","128353","S","Plantae","Liliopsida",NA,NA,"Araceae","Asterostigma","colubrinum","Asterostigma colubrinum","Schott","Meireles, LD","1183","Erva terrestre, folhas ainda jovens, espata esverdeada externamente, arroxeada internamente, espádice com flores masculinas.","Meireles, LD","2003","01","2002","10","19","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506","22140","UEC087249","UEC087249","auto",NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:18:55-03","UNICAMP","UEC","60970","S","Plantae","Liliopsida",NA,NA,"Araceae","Asterostigma","colubrinum","Asterostigma colubrinum","Schott","Meira Neto, JAA; et al.","795","Erva com folha de cerca de 70 cm, espiga vinosa","Gonçalves, EG","2002","12","1991","09","25","Brazil","São Paulo","Nazaré Paulista",NA,"-46.3899993896484","-23.1800003051758","18850","UEC121242","UEC121242","auto",NA,NA,NA,NA,NA,NA
"4","2020-12-21 16:13:17-03","MBM","MBM","420658","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Asterostigma","colubrinum","Asterostigma colubrinum","Schott","Mazziero, F.F.F.; Bonin Junior, P.; Bonin Junior, P.","4216","Erva terrícola, crescendo no interior da floresta. Espata acinzentada; Vegetação secundária média/avançada","Mazziero, F.F.F.","2019","02","2019","01","28","Brazil","Minas Gerais","Itueta",NA,"-41.132778","-19.393611",NA,"MBM420658",NA,NA,"01","Southern America","-41.132778","-19.393611","98","98"
"5","2008-05-27 22:02:00-03","MO","MOBOT","1375913","PreservedSpecimen","Plantae",NA,NA,NA,"Araceae","Asterostigma","colubrinum","Asterostigma colubrinum","Schott","Keiichi Mizoguchi","Mizoguchi 992",NA,"E.G. Goncalves",NA,NA,"1979","9","29","Brazil","São Paulo",NA,"Pico de Jaragua, 25 km NW from São Paulo City",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA
