"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","typeStatus","recordedBy","recordNumber","year","month","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","continentOcean","imagecode","order","monthIdentified","day","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"1","2020-06-29 11:31:11-03","UFRJ","RFA","18619","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","occhionii","Heteropterys occhionii","Amorim","A.M. Amorim","2001","Holotipo","P. Occhioni","8213","1977","05","Brasil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.5633010864258","-22.4960994720459","19648","Volúvel; flor amarelada","RFA34397","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:32:47-03","MBM","MBM","57395","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","occhionii","Heteropterys occhionii","Amorim",NA,NA,"ISOTYPE","Occhioni, P.","8213","1977","05","Brazil","Rio de Janeiro",NA,"Parque Nacional do Itatiaia",NA,NA,NA,"Orla da mata. Volúvel, flor amarelada; Volúvel, flor amarelada.; Orla da mata.","MBM057395",NA,"Southern America","MBM057395",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-01 15:33:06-03","PUC-RIO","FCAB","7583","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","occhionii","Heteropterys occhionii","Amorim","Haroldo C. de Lima","2016",NA,"Haroldo C. de Lima; J.M.A. Braga; L.J.T. Cardoso; C. de Carvalho; W. da Silva","8398","2016","11","Brasil","Rio de Janeiro","Nova Iguaçu","Reserva Biológica do Tinguá. Tinguá, Estrada do Comércio, a 6,6 km o entroncamento para a Sede da Rebio.","-43.480556","-22.563056",NA,"Trepadeira com ramos roliços. Flores com cálice fulvo-tomentoso e corola amarela. Ocasional. Fotos HCL e JM.; Mato escuro. Mata de encosta.","FCAB007583",NA,NA,NA,"Angiospermae","11","02","-43.480556","-22.563056","763","763",NA
"4","2020-07-23 12:11:31-03","CEPLAC","CEPEC","109401","PreservedSpecimen","Plantae","Malpighiaceae","Heteropterys","occhioni","Heteropterys occhioni",NA,"A. M. Amorim",NA,"Isótipo","P. Occhioni","8213","1977","05","Brasil","Rio de Janeiro","resende","Parque Nacional do Itatiaia.","-44.4467010498047","-22.468900680542","36089",NA,NA,"auto",NA,NA,NA,NA,"01",NA,NA,NA,NA,"30/12/2001"
