"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","class","monthIdentified","dayIdentified"
"1","2021-03-15 16:37:00-03","NY","NYBG","1032167","PreservedSpecimen","Plantae","Magnoliophyta","Asparagales","Orchidaceae","Maxillaria","phoenicanthera","Maxillaria phoenicanthera","Barb.Rodr.","F. W. L. Kraenzlin","P. K. H. Dusén","s.n.","1908","11","26","South America","Brazil","Paraná","Villa Velha, in rupibus.","-50.012929","-25.234872","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032167","NY01032167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:46-03","UFABC","HUFABC","001170","PreservedSpecimen","Plantae","Angiospermas",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera","(Barb.Rodr.) R.B.Singer et al.",NA,"Bicalho, H D; Mattos, J R","s.n.","1962","11","21",NA,"Brasil","Paraná","Divisa com o municipio de Arapoti, perto da ponte do rio que separa os municipios","-49.7057991027832","-24.2511005401611",NA,"Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt2732","HUFABC001170","HUFABC001170","Jaguariaíva","44368","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-04 12:17:23-03","ESALQ","ESA","123025","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera",NA,"Koehler, S.","Novello, M. ; Bicalho, H.D.",NA,"2012","09","20",NA,"Brasil","Paraná","Parque Nacional Sete Quedas (cultivado no Orquidário do Instituto de Botânica de São Paulo, sob registro nº 6549).","-54.2557983398438","-24.0799999237061",NA,NA,"ESA123025","ESA123025","Guaira","33984","auto","2013",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 12:17:23-03","ESALQ","ESA","123029","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera",NA,"Koehler, S.","Novello, M. ; Bicalho, H.D.",NA,"2012","09","20",NA,"Brasil","Paraná","Cultivado no Orquidário do Instituto de Botânica de São Paulo, sob registro nº 2731.","-49.7057991027832","-24.2511005401611",NA,NA,"ESA123029","ESA123029","Jaguariaíva","44368","auto","2013",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 12:17:23-03","ESALQ","ESA","123028","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera",NA,"Koehler, S.","Martuscelli, P. Novello, M.",NA,"2012","09","20",NA,"Brasil","São Paulo","Morro do Diabo (cultivado no Orquidário do Instituto de Botânica de São Paulo, sob registro nº 14243)","-52.1599998474121","-22.5300006866455",NA,NA,"ESA123028","ESA123028","Teodoro Sampaio","54606","auto","2013",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:20:02-03","UNICAMP","UEC","203103","S","Plantae","Liliopsida",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera","(Barb.Rodr.) R. Singer, S. Koehler & Carnevali",NA,"Polizelli Ricci, NA","NAPR20","2018","08","06",NA,"Brazil","Minas Gerais","Estrada entre São Tomé das Letras-Três Corações, 14km da estação de C. Rezende da Rede Mineira de viação","-45","-21.716667",NA,"Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira","UEC183100","UEC183100","Baependi",NA,NA,NA,"-45","-21.716667",NA,NA,NA,NA,NA
"7","2021-03-01 16:20:02-03","UNICAMP","UEC","203097","S","Plantae","Liliopsida",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera","(Barb.Rodr.) R. Singer, S. Koehler & Carnevali",NA,"Polizelli Ricci, NA","NAPR127","2018","07","30",NA,"Brazil","Paraná","Parque Nacional de Sete Quedas","-54.246972","-24.071944",NA,"Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira","UEC183087","UEC183087","Guaíra",NA,NA,NA,"-54.246972","-24.071944",NA,NA,NA,NA,NA
"8","2021-03-01 16:20:02-03","UNICAMP","UEC","203100","S","Plantae","Liliopsida",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera","(Barb.Rodr.) R. Singer, S. Koehler & Carnevali",NA,"Polizelli Ricci, NA","NAPR53","2018","08","28",NA,"Brazil","Sem procedência","Sem procedência",NA,NA,NA,"Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira","UEC183082","UEC183082","Sem procedência",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:20:02-03","UNICAMP","UEC","203102","S","Plantae","Liliopsida",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera","(Barb.Rodr.) R. Singer, S. Koehler & Carnevali",NA,"Polizelli Ricci, NA","NAPR39","2018","08","28",NA,"Brazil","São Paulo","Serra do Mar, entre Cunha-Parati","-44.959722","-23.074444",NA,"Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira","UEC183080","UEC183080","Cunha",NA,NA,NA,"-44.959722","-23.074444",NA,NA,NA,NA,NA
"10","2021-03-01 16:20:02-03","UNICAMP","UEC","203107","S","Plantae","Liliopsida",NA,"Orchidaceae","Brasiliorchis","phoenicanthera","Brasiliorchis phoenicanthera","(Barb.Rodr.) R. Singer, S. Koehler & Carnevali",NA,"Polizelli Ricci, NA","NAPR37","2018","06","12",NA,"Brazil","São Paulo","Estação Experimental de Silvicultura, Reserva Florestal Federal, Serra da Bocaina",NA,NA,NA,"Descrições originais encontram-se para consulta no livro ata do Orquidário do Estado (IBTSP); Mata Atlântica Brasileira","UEC183102","UEC183102","Sem procedência",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
