"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","infraspecificEpithet","typeStatus","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01093117","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","R. R. Guedes","160","1982","08","28","South America","Brazil","Rio de Janeiro","Magé","Magé","-43.028311","-22.652693","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1249356' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093117","NY01093117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","440745","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","S. A. Mori","10653","1978","09","18","South America","Brazil","Bahia","Prado","Rod. BA 284, trecho Prado/Itamaraju, ca. de 65 km a NW de Prado. Folha SE-24 (17-39c)","-39.2206","-17.3411","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440745","NY00440745_01","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2016-09-29 13:41:00-03","NY","NYBG","318374","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta pubiflora","Müll.Arg.","G. Gardner","5011",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=472181' target='other'> <mi>dwc_moreinfo</mi></a>","NY00318374","NY00318374_01",NA,"pubiflora","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","440738","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","G. G. Hatschbach","46972","1983","10","18","South America","Brazil","Espírito Santo","Jaguaré","Agua Limpa","-40.0758","-18.9058","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297109' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440738","NY00440738_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01252449","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","E. de Oliveira","3655","1967","11","21","South America","Brazil","Amapá",NA,"margem do Castanhal, entre São João e o 1º deserto.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1499567' target='other'> <mi>dwc_moreinfo</mi></a>","NY01252449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","971364","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","Y. E. J. Mexia","5250","1930","11","04","South America","Brazil","Minas Gerais",NA,"Districto Rio Branco. Fazenda Bom Jardim, Cambusca.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1071492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00971364","NY00971364_01","L. Allorge",NA,NA,"720","720",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","440744","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","S. A. Mori","10739","1978","09","20","South America","Brazil","Bahia","Itamarajú","Ca. 5 km a W de Itamaraju. Folha SE - 24 (17-40d)","-39.5815229","-17.0363517","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297105' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440744","NY00440744_01","A. J. M. Leeuwenberg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2016-09-29 10:34:00-03","NY","NYBG","440740","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta",NA,"C. Mello",NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro","Itatiaia","P.N. Itatiaia","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297123' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440740","NY00440740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","1018013","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","S. Hallard","1","1976","03","30","South America","Brazil","São Paulo","São José do Barreiro",NA,"-44.5697","-22.64","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1240900' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018013","NY01018013_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","02423661","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","L. B. Pimentel","s.n.","2013","11","08","South America","Brazil","Rio de Janeiro","Araruama","Conglomerado 134-4-4-18","-42.435","-22.815","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2675438' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423661","NY02423661_01","M. Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2021-03-15 16:37:00-03","NY","NYBG","440735","PreservedSpecimen","Plantae","Magnoliophyta","Gentianales","Apocynaceae","Tabernaemontana","laeta","Tabernaemontana laeta","Mart.","G. Gardner","75","1836",NA,NA,"South America","Brazil",NA,NA,"Brasilia",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=297116' target='other'> <mi>dwc_moreinfo</mi></a>","NY00440735","NY00440735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
