"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","identifiedBy","stateProvince","locality","imagecode","scientificNameAuthorship","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","sex"
"1","2020-09-23 10:36:36-03","E","E","68864","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","Killeen, T.J. & Surubi, J.","7283","1994","11","25","W. Tropical South America","BO","herbarium specimen of unspecif","BGBASE:76503","<a href=http://data.rbge.org.uk/herb/E00068864 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00068864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2016-09-28 12:59:00-03","NY","NYBG","483813","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","A. P. Duarte","8832","1965","02","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483813","Magnoliophyta","Lamiales","A. H. Gentry","Espírito Santo","De Vitória para Linhares.","NY00483813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","483810","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","S. A. Mori","9970","1978","04","26","South America","Brazil","sheet",NA,"Frutos pardos e separados. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31715' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483810","Magnoliophyta","Lamiales",NA,"Bahia","Rod. BA 026, 13 a 15 km ao SW de Maracás. Folha SD-24 (14-40a)","NY00483810_01","(Vell.) Bureau ex Verl.","Maracás","-40.4306","-13.4411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2016-09-29 22:07:00-03","NY","NYBG","948741","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","R. P. Belém","442","1965","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015788' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948741","Magnoliophyta","Lamiales","D. R. Hunt","Minas Gerais","18 km de Pirapora p/ Várzea da Palma.","NY00948741_01",NA,"Pirapora","-44.9417","-17.345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1114037","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","J. Carneiro","835","1999","12","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1257027' target='other'> <mi>dwc_moreinfo</mi></a>","NY01114037","Magnoliophyta","Lamiales","G. G. Hatschbach","Paraná","Sítio João Donha","NY01114037_01","(Vell.) Bureau ex Verl.","Ribeirao do Pinhal","-50.3567","-23.4075",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2016-09-28 12:59:00-03","NY","NYBG","483818","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","E. Pereira","9665","1965","01","23","South America","Brazil","sheet",NA,"C.Pabst 8554 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31718' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483818","Magnoliophyta","Lamiales",NA,"Bahia","Mata sêca próximo Maracás.","NY00483818_01",NA,"Maracás","-40.4306","-13.4411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2016-09-29 22:12:00-03","NY","NYBG","886441","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","A. L. Peixoto","3475","1985","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023956' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886441","Magnoliophyta","Lamiales","A. H. Gentry","Espírito Santo","Estrada de Acesso a cidade, ca. 8 km.","NY00886441_01",NA,"Santa Teresa","-40.6003","-19.9358","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","00483825","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","J. U. M. dos Santos","625","1983","02","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483825","Magnoliophyta","Lamiales","J. A. Kallunki","Maranhão","Lugar Caiçara, a 15 km SE de Fortuna.","NY00483825_01","(Vell.) Bureau ex Verl.","Fortuna","-44.05","-5.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 22:07:00-03","NY","NYBG","948740","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","J. A. Ratter","R.6426V","1989","11","18","South America","Brazil","sheet",NA,"This specimen is from the same tree as the leafless, fruiting R5052. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015785' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948740","Magnoliophyta","Lamiales",NA,"Minas Gerais","Sagarana, Projeto Integrado de Colonização (INCRA), NW Minas Gerais","NY00948740_01",NA,NA,"-47","-16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 22:07:00-03","NY","NYBG","948742","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","R. P. Belém","442","1965","01","31","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015803' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948742","Magnoliophyta","Lamiales","A. H. Gentry","Minas Gerais","18 km de Pirapora p/ Várzea da Palma.","NY00948742_01",NA,"Pirapora","-44.9417","-17.345",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-09-30 16:10:00-03","NY","NYBG","2063274","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","V. C. Souza","5211","1994","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2364923' target='other'> <mi>dwc_moreinfo</mi></a>","NY02063274","Magnoliophyta","Lamiales",NA,"Bahia","estrada que liga Itaberaba a Lençois a 1 km ENE de Lençois.","NY02063274_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","483811","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","S. A. Mori","9970","1978","04","26","South America","Brazil","separate fruit",NA,"Frutos pardos e separados. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483811","Magnoliophyta","Lamiales",NA,"Bahia","Rod. BA 026, 13 a 15 km ao SW de Maracás. Folha SD-24 (14-40a)","NY00483811_01","(Vell.) Bureau ex Verl.","Maracás","-40.4306","-13.4411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","483812","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","G. G. Hatschbach","50867","1987","01","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31709' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483812","Magnoliophyta","Lamiales","A. H. Gentry","Paraná","Fda. Cruzeiro","NY00483812_01","(Vell.) Bureau ex Verl.","Colorado","-51.9731","-22.8375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","483823","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","A. H. Gentry","49647","1985","01","17","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483823","Magnoliophyta","Lamiales",NA,"Minas Gerais","14 km S of Ypanema, road to Manhuaçu.","NY00483823_01","(Vell.) Bureau ex Verl.",NA,"-41.75","-19.67","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 22:07:00-03","NY","NYBG","948738","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","B. A. S. Pereira","3456","1998","01","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015773' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948738","Magnoliophyta","Lamiales","B. A. S. Pereira","Goiás","Km 83 da Rodovia Brasília/Belo Horizonte.","NY00948738_01",NA,"Cristalina","-47.6133","-16.7686","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-28 12:59:00-03","NY","NYBG","483816","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","R. P. Belém","3615","1968","05","23","South America","Brazil","sheet",NA,"Frutos separados. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31707' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483816","Magnoliophyta","Lamiales","A. H. Gentry","Bahia","Encruzilhada, margem de Rio Pardo.","NY00483816_01",NA,"Encruzilhada","-40.9092","-15.5317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-28 12:59:00-03","NY","NYBG","483817","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","E. Pereira","9665","1965","01","23","South America","Brazil","sheet",NA,"C.Pabst 8554 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31717' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483817","Magnoliophyta","Lamiales",NA,"Bahia","Mata sêca próximo Maracás.","NY00483817_01",NA,"Maracás","-40.4306","-13.4411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","886442","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","R. M. Harley","21933","1980","04","29","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023958' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886442","Magnoliophyta","Lamiales","A. H. Gentry","Bahia","Chapadão Ocidental da Bahia. 25 km approx. N from Correntina on the Inhaúmas road. F3.","NY00886442_01","(Vell.) Bureau ex Verl.",NA,"-44.63","-13.22","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","948744","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","G. G. Hatschbach","50171","1985","11","20","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015813' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948744","Magnoliophyta","Lamiales","A. H. Gentry","Minas Gerais","Virgem da Lapa, arredores","NY00948744_01","(Vell.) Bureau ex Verl.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-28 12:59:00-03","NY","NYBG","483819","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","L. A. Mattos Silva","243","1979","02","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31719' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483819","Magnoliophyta","Lamiales",NA,"Bahia","Rod. Maracás//Contendas do Sincorá (BA 026), km 6. Folha SD 24 (14-40a).","NY00483819_01",NA,"Maracás","-40.4306","-13.4411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","483820","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","R. M. Harley","18645","1977","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31711' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483820","Magnoliophyta","Lamiales","A. H. Gentry","Bahia","Serra do Sincorá. 15-20 km from Andaraí, along the road to Itaeté which branches East off the road to Mucugé","NY00483820_01","(Vell.) Bureau ex Verl.",NA,"-41.2","-12.85","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 22:07:00-03","NY","NYBG","948739","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","E. P. Heringer","9701","1964","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015781' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948739","Magnoliophyta","Lamiales","A. H. Gentry","Minas Gerais","Varzea da Palma","NY00948739_01",NA,"Várzea da Palma","-44.7306","-17.5983",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","483815","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","H. S. Irwin","31239","1971","02","28","South America","Brazil","separate fruit",NA,"Fruit separate. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31706' target='other'> <mi>dwc_moreinfo</mi></a>","NY00483815","Magnoliophyta","Lamiales","A. H. Gentry","Bahia","Serra da Agua de Rega. Ca. 1 km N of Agua de Rega, road to Carfarnaúm.","NY00483815_01 NY00483815_02","(Vell.) Bureau ex Verl.","Souto Soares","-41.6378","-12.0886","1000","1000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-29 22:07:00-03","NY","NYBG","00948743","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","R. Vilhena","969","1983","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1015806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00948743","Magnoliophyta","Lamiales","J. A. Kallunki","Maranhão","estrada a direita entre Grajaú e Arame, km 52.","NY00948743_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 22:12:00-03","NY","NYBG","886439","PreservedSpecimen","Plantae","Bignoniaceae","Zeyheria","tuberculosa","Zeyheria tuberculosa","A. L. Peixoto","3475","1985","02","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1023947' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886439","Magnoliophyta","Lamiales","A. H. Gentry","Espírito Santo","Estrada de Acesso a cidade, ca. 8 km.","NY00886439_01",NA,"Santa Teresa","-40.6003","-19.9358","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
