"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","class","typeStatus","year","month","day","continentOcean","barcode","imagecode","recordNumber","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters"
"1","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1383","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","cf. multicostatus","Pilosocereus cf. multicostatus","Ritter","Nygel Taylor","Inês Ribeiro de Andrade;","Brasil","Minas Gerais","Itinga","Fazenda Campestre","-41.7653007507324","-16.6131000518799","41806","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:32-03","FZB-BH","CVJBFZB","1404","S","Plantae","Magnoliophyta","Caryophyllales","Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter","Nygel Taylor","Inês Ribeiro de Andrade;","Brasil","Minas Gerais","Itinga","Fazenda Bom Jardim","-41.7653007507324","-16.6131000518799","41806","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:54:54-03","NBC","NL-BOTANY","U 0180576","PreservedSpecimen","Plantae",NA,"Caryophyllales","Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","F.Ritter",NA,"Ritter F","Brazil","Minas Gerais",NA,"Brazil. Minas Gerais. Itaobim.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200180576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"Magnoliopsidae","holotype","1965","01","01","Southern America","NL-U0180576","NL-U0180576",NA,NA,NA,NA,NA
"4","2020-12-11 11:34:16-03","UFMG","BHCB","21298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter",NA,"Taylor, NP; Zappi, DC; Eggli, V","Brasil","Minas Gerais","Águas Vermelhas",NA,"-41.4599990844727","-15.747200012207","36450",NA,NA,"auto",NA,NA,"1991","01","31","Southern America",NA,NA,"s.n.",NA,NA,NA,NA
"5","2020-12-11 11:34:16-03","UFMG","BHCB","21298","PreservedSpecimen","Plantae","Dicotyledon",NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter",NA,"Taylor, NP; Zappi, DC; Eggli, V","Brasil","Minas Gerais","Águas Vermelhas",NA,"-41.4599990844727","-15.747200012207","36450",NA,NA,"auto",NA,NA,"1991","01","31","Southern America",NA,NA,"s.n.",NA,NA,NA,NA
"6","2020-07-10 09:44:56-03","MBML","MBML-HERBARIO","49061",NA,"Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","F.Ritter","L. Kollmann/29-08-2013","A. P. Fontana; L.Kollmann","Brasil","Espírito Santo","Alegre","Rive, Braúna, Cachoeira da Braúna","-41.5331001281738","-20.763599395752","26101",NA,"Rupícola. Espinhos vermelhos. Flores amarelas.","auto",NA,NA,"2013","08","29",NA,"MBML049061","MBML049061","7756",NA,NA,NA,NA
"7","2021-03-04 11:04:46-03","UFRB","HURB","13696","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter",NA,"Mendes, D. B.; Machado, M.","Brasil","Minas Gerais","Salinas","34,3 a leste de Salinas na BR-251 contados a partir do entroncamento da BR-251 com a MG-404 (estrada para Novo Horizonte), dobrar à direita em estrada de chão no ponto 16º01'12,6S, 42º04'05,1W; Dirigir por ca. 2km sempre dobrando a esquerda até chegar a","-42.056194","-16.028417",NA,NA,"No mesmo local também havia: Melocactus bahiensis subsp. amethystinus, Pilosocereus cenepequei, Coleocephalocereus aureus.",NA,NA,NA,"2015","11","15",NA,"HURB000013696","HURB000013696","88","42º03'22,3W","16º01'42,3S","868","868"
"8","2021-03-04 11:04:46-03","UFRB","HURB","13697","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter",NA,"Mendes, D. B.; Machado, M.","Brasil","Minas Gerais","Santa Cruz de Salinas","67,8 km a leste de Salinas na BR-251 contados a partir do entroncamento da BR-251 com a MG-404 (estrada para Novo Horizonte), dobrar à direita em estrada de chão no ponto 16º00'16,8S, 41º48'37,7W; Dirigir por ca. 1,5km até chegar a um afloramento de gra","-41.807278","-16.016694",NA,NA,"No mesmo local também havia: Melocactus bahiensis subsp. amethystinus, Pilosocereus cenepequei, Coleocephalocereus aureus.",NA,NA,NA,"2015","11","15",NA,"HURB000013697","HURB000013697","89","41º48'26,2W","16º01'00,1S","954","954"
"9","2020-06-15 15:29:45-03","UNESP-RC","HRCB","13964","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","F.Ritter",NA,"Taylor, N. P.","Brasil","Minas Gerais","Aguas Vermelhas",NA,"-41.4599990844727","-15.747200012207","36450",NA,"Plants mostly branched from the base. Fruits purplish-grey, with purplish pulp","auto",NA,NA,"1991","01","31",NA,NA,NA,"1517",NA,NA,NA,NA
"10","2019-06-10 10:10:28-03","FZB-BH","BHZB","4536","S","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus",NA,NA,"Andrade, I.R. et al.","Brasil","MG","Pedra Azul","Fazenda Dr. Marcílio","-41.291667","-16.041111",NA,NA,"Coord: 16°02'28S - 41°17'30W.",NA,NA,NA,"2004","03","19",NA,NA,NA,NA,"41W 17' 30","16S 02' 28",NA,NA
"11","2019-11-13 11:17:22-03","USP","SPF","80909","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","F.Ritter","Anônimo","Harley, RM","Brasil","Minas Gerais","Pedra Azul",NA,"-41.2","-16.133333",NA,NA,NA,NA,NA,NA,"1988","10","19",NA,"SPF00080909",NA,"25188","-41.2","-16.133333","750","750"
"12","2019-10-03 10:03:30-03","UFSCar","SORO","2649","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter",NA,"Moraes, E.M.; Perez, M.F.; Machado, M.C.; Franco, F.F.","Brasil","Minas Gerais","Salinas","S41-SAL","-42.05","-16.016667",NA,NA,NA,NA,NA,NA,"2011","01","04",NA,NA,NA,NA,"42°03'W","16°01'S",NA,NA
"13","2019-10-03 10:03:30-03","UFSCar","SORO","2653","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Pilosocereus","multicostatus","Pilosocereus multicostatus","Ritter",NA,"Moraes, E.M.; Perez, M.F.; Machado, M.C.; Franco, F.F.","Brasil","Minas Gerais","Pedra Azul","S39-PAZ1","-41.233333","-16.05",NA,NA,NA,NA,NA,NA,"2011","01","04",NA,NA,NA,NA,"41°14'W","16°03'S",NA,NA
