"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","class","order","scientificNameAuthorship","year","month","day","imagecode","phylum","identifiedBy","recordNumber","stateProvince","decimalLongitude","decimalLatitude","minimumElevationInMeters","county","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount","maximumElevationInMeters"
"1","2020-09-23 10:38:15-03","E","E","322757","PreservedSpecimen","Plantae","Compositae","Wedelia","silphioides","Wedelia silphioides","unspecified kind of","Tweedie, John","Temperate South America","AR","Buenos Ayres","herbarium specimen of unspecif","BGBASE:462898","<a href=http://data.rbge.org.uk/herb/E00322757 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00322757",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:47:43-03","NBC","NL-BOTANY","AMD.31347","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Herter WG","Southern America","Uruguay","Loc. Dict. Cerro, Lit. Plantes. Departamento de Montevideo.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/AMD.31347 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-AMD31347","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1926","02","01","NL-AMD31347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-02-08 08:47:43-03","NBC","NL-BOTANY","L.3017867","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Pedersen TM","Southern America","Argentina","Plantae Argentinenses. Piedras Blancas. Dep. La Paz. Prov. Entre Ríos.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3017867 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3017867","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1967","04","06","NL-L3017867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-02-08 08:47:43-03","NBC","NL-BOTANY","L.3756229","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Pedersen TM","Southern America","Argentina","Plantae Paraquayenses, Ea. 'Carumbe' Distr. Lima, Dep. San Pedro.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3756229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3756229","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1969","11","24","NL-L3756229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 08:47:43-03","NBC","NL-BOTANY","U.1108221","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Carnier K","Southern America","Paraguay","ZanjaMoroti.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108221 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1108221","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1909","01","01","NL-U1108221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-02-08 08:47:43-03","NBC","NL-BOTANY","U.1108251","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Schinini A; Carnevali R","Southern America","Argentina","Prov. Corrientes, Dep. Esquina. Esquina. Erecto, 1m alt. Ligulas amarillo-anaranjadas.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108251 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1108251","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1986","11","04","NL-U1108251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 08:47:43-03","NBC","NL-BOTANY","U.1108252","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Schinini A","Southern America","Argentina","Chaco, Dep. Bermejo. Isla del Cerrito, confluencia de los rios Paraguay y Paraná.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108252 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1108252","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1993","01","18","NL-U1108252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-02-08 08:47:43-03","NBC","NL-BOTANY","U.1108254","PreservedSpecimen","Plantae","Compositae","Aspilia","silphioides","Aspilia silphioides",NA,"Herter WGF","Southern America","Uruguay","Cerro, Lit. Platens.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1108254 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1108254","Magnoliopsidae","Asterales","(Hook. & Arn.) Benth. ex Benth. & Hook.f.","1926","02","01","NL-U1108254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005480","PreservedSpecimen","Plantae","Asteraceae","Aspilia","silphioides","Aspilia silphioides",NA,"E. I. Meza Torres; M. S. Ferrucci, G. Marquez, C. Macluf",NA,"Argentina","Isla del Cerrito, rio Ancho, Puente San Pedro",NA,NA,"Capitulos amarillos, hierba, expuesta al sol, sublenosa en la base",NA,NA,"Asterales","Benth. & Hook.f.","2007","4","21",NA,"Magnoliophyta","Dematteis","602","Chaco","-58.9028","-27.3444","47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-05-21 23:43:22-03","ASU","ASU-PLANTS","ASU0083516","PreservedSpecimen","Plantae","Asteraceae","Aspilia","silphioides","Aspilia silphioides",NA,"J.P. Coulleri; M.S. Ferrucci",NA,"Argentina","Estancia Pai Curuzu",NA,NA,"Glutinosa, hojas discoloras. Capitulos amarillos",NA,NA,"Asterales","Benth. & Hook.f.","2012","3","21",NA,"Magnoliophyta","M. Dematteis","340","Formosa","-58.472111","-25.017222","96","Pilcomayo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
