"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","recordNumber","continentOcean","preparationType","imagecode","coordinatePrecision","geoFlag","class","infraspecificEpithet","relatedCatalogItem","typeStatus","eventTime","individualCount"
"1","2021-04-05 14:25:38-03","UNESC","CRI","9618","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","2009","09","19","Brasil","Santa Catarina","Blumenau","Fidélis","-49.049444","-26.819722","49º2'58''W","26º49'11''S","264","264","Habito: Arbóreo","CRI010178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","558060","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1967","08","09","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3289","-25.3069",NA,NA,"100","100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479416' target='other'> <mi>dwc_moreinfo</mi></a>","NY00558060","Magnoliophyta","Myrtales","16883","South America","sheet","NY00558060_01",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","579951","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"J. M. Silva","1996","10","31","Brazil","Paraná","Sao José dos Pinhais","Castelhanos Rio Sao Joao.","-49.2064","-25.5347",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98057' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579951","Magnoliophyta","Myrtales","1766","South America","sheet","NY00579951_01",NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","594888","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1967","10","20","Brazil","Paraná","Guaratuba","Praia do Mendanha","-48.5744","-25.8831",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479702' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594888","Magnoliophyta","Myrtales","17888","South America","sheet","NY00594888_01",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","579952","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1994","11","14","Brazil","Paraná","Antonina","Porto das Moças.","-48.7117","-25.4286",NA,NA,"10","10","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=98056' target='other'> <mi>dwc_moreinfo</mi></a>","NY00579952","Magnoliophyta","Myrtales","61220","South America","sheet","NY00579952_01",NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","594918","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral",NA,NA,NA,"G. G. Hatschbach","1966","11","29","Brazil","Paraná","Morretes","Rio Ipiranga","-48.8342","-25.4769",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=479275' target='other'> <mi>dwc_moreinfo</mi></a>","NY00594918","Magnoliophyta","Myrtales","15296","South America","sheet","NY00594918_01",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:36-03","UFRJ","RFA","5093","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","C. Proença","2010",NA,NA,"Mendes Magalhães","1956","09",NA,"Brasil","Minas Gerais","Guanhães","Pintos","-42.9324989318848","-18.7749996185303",NA,NA,NA,NA,"Frequência média, flor, fruto, árvore 8 - 4 m alto","RFA46456",NA,NA,"9763",NA,NA,NA,"43982","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-13 09:20:23-03","UFRJ","RFA","9365","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral","2001",NA,NA,"G.G. Hatschbach","1966","11","29","Brasil","Paraná","Ipiranga","Rio Ipiranga","-50.5842018127441","-25.0238990783691",NA,NA,NA,NA,"Árvore de 10 m, flor alva, tronco de cerca de 30 cm na base Habitat: Mata pluvial","RFA28035",NA,NA,"15296",NA,NA,NA,"31827","auto",NA,NA,NA,NA,NA,NA
"9","2020-11-24 17:10:53-03","UTFPR","DVPR","5821","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","Sobral, M","2010","08","15","Cadorin, TJ; Grosch, B; Lopes, CP","2010","02","02","Brasil","Santa Catarina","Joinvile","Rio Manso.","-49.0824","-26.1648","-49.0824","-26.1648","770","770","Arbusto, fruto vinho.; Floresta Ombrófila Densa. Estágio primário, interior do fragmento","DVPR005821","Magnoliophyta",NA,"1202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2020-01-20 14:40:43-03","UPM","MACK","1290","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","M. Sobral","2010","01","25","T. J. Cadorin; et al.","2009","12","10","Brasil","SC","Joinville","Serra Dona Francisca, floresta ombrófila densa, interior do fragmento","-48.8456001281738","-26.3043994903564","S","W",NA,NA,NA,NA,NA,NA,"885",NA,NA,NA,"37150","auto",NA,NA,NA,NA,NA,NA
"11","2019-10-09 11:21:12-03","UFBA","ALCB","48786","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","melanogyna","Eugenia melanogyna","(D.Legrand) Sobral","Giaretta, A","2019","05","17","Jesus, NG de","2000","03","23","Brasil","Bahia","Entre Rios","Litoral Norte, RPPN Fazenda Lontra/Saudade","-38.083333","-11.95","-38.083333","-11.95","150","150","15,0 m. Folhas semicrassas, discolores, glabras. Fruto baciforme verde.","ALCB058446","Dicotyledon",NA,"1121","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:06:31-03","NBC","NL-BOTANY","U 0285133","PreservedSpecimen","Plantae","Myrtaceae","Eugenia","stictosepala","Eugenia stictosepala melanogyna","D.Legrand",NA,NA,NA,NA,"Lindeman JC; Horreüs de Haas R",NA,NA,NA,"Brazil","Paraná",NA,"Serro do Mar Bela Vista",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200285133 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0285133",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,"Magnoliopsidae","melanogyna","Uw12471",NA,NA,NA
